"","x"
"1","Medtr0001s0660"
"2","Medtr0053s0030"
"3","Medtr0059s0060"
"4","Medtr0212s0020"
"5","Medtr0236s0040"
"6","Medtr0294s0010"
"7","Medtr0314s0030"
"8","Medtr0370s0010"
"9","Medtr0438s0020"
"10","Medtr1g009190"
"11","Medtr1g009640"
"12","Medtr1g012330"
"13","Medtr1g017990"
"14","Medtr1g019540"
"15","Medtr1g022450"
"16","Medtr1g027520"
"17","Medtr1g034320"
"18","Medtr1g035540"
"19","Medtr1g040475"
"20","Medtr1g046650"
"21","Medtr1g047660"
"22","Medtr1g050478"
"23","Medtr1g071480"
"24","Medtr1g071610"
"25","Medtr1g076310"
"26","Medtr1g082680"
"27","Medtr1g083840"
"28","Medtr1g085550"
"29","Medtr1g088610"
"30","Medtr1g089000"
"31","Medtr1g089570"
"32","Medtr1g094720"
"33","Medtr1g094820"
"34","Medtr1g094840"
"35","Medtr1g096250"
"36","Medtr1g102030"
"37","Medtr1g102570"
"38","Medtr1g103050"
"39","Medtr1g103150"
"40","Medtr1g111190"
"41","Medtr1g111830"
"42","Medtr1g113960"
"43","Medtr2g009900"
"44","Medtr2g011490"
"45","Medtr2g013140"
"46","Medtr2g013250"
"47","Medtr2g016470"
"48","Medtr2g045050"
"49","Medtr2g045490"
"50","Medtr2g048385"
"51","Medtr2g063813"
"52","Medtr2g069210"
"53","Medtr2g076350"
"54","Medtr2g078070"
"55","Medtr2g082090"
"56","Medtr2g083430"
"57","Medtr2g083840"
"58","Medtr2g091015"
"59","Medtr2g097230"
"60","Medtr2g101710"
"61","Medtr2g102370"
"62","Medtr2g449780"
"63","Medtr3g021430"
"64","Medtr3g023940"
"65","Medtr3g028520"
"66","Medtr3g045040"
"67","Medtr3g051570"
"68","Medtr3g062930"
"69","Medtr3g064290"
"70","Medtr3g066060"
"71","Medtr3g067890"
"72","Medtr3g074210"
"73","Medtr3g075510"
"74","Medtr3g078340"
"75","Medtr3g080800"
"76","Medtr3g082050"
"77","Medtr3g084990"
"78","Medtr3g087070"
"79","Medtr3g087230"
"80","Medtr3g090350"
"81","Medtr3g091690"
"82","Medtr3g093970"
"83","Medtr3g096390"
"84","Medtr3g098940"
"85","Medtr3g100890"
"86","Medtr3g110032"
"87","Medtr3g110180"
"88","Medtr3g111730"
"89","Medtr3g437840"
"90","Medtr3g462710"
"91","Medtr4g010720"
"92","Medtr4g019165"
"93","Medtr4g021875"
"94","Medtr4g022570"
"95","Medtr4g030070"
"96","Medtr4g036080"
"97","Medtr4g046757"
"98","Medtr4g051350"
"99","Medtr4g063935"
"100","Medtr4g078180"
"101","Medtr4g078885"
"102","Medtr4g080790"
"103","Medtr4g085890"
"104","Medtr4g085900"
"105","Medtr4g086255"
"106","Medtr4g088615"
"107","Medtr4g092010"
"108","Medtr4g092750"
"109","Medtr4g092790"
"110","Medtr4g103550"
"111","Medtr4g107280"
"112","Medtr4g109220"
"113","Medtr4g109470"
"114","Medtr4g115330"
"115","Medtr4g117380"
"116","Medtr4g119195"
"117","Medtr4g123543"
"118","Medtr4g125950"
"119","Medtr4g127130"
"120","Medtr4g131910"
"121","Medtr4g133230"
"122","Medtr5g006660"
"123","Medtr5g012850"
"124","Medtr5g016200"
"125","Medtr5g017810"
