"","x"
"1","Medtr0007s0090"
"2","Medtr0009s0480"
"3","Medtr0016s0050"
"4","Medtr0022s0200"
"5","Medtr0071s0030"
"6","Medtr0087s0020"
"7","Medtr0121s0060"
"8","Medtr0189s0050"
"9","Medtr0194s0050"
"10","Medtr0368s0010"
"11","Medtr0460s0010"
"12","Medtr0881s0020"
"13","Medtr1301s0010"
"14","Medtr1439s0010"
"15","Medtr1g008350"
"16","Medtr1g008910"
"17","Medtr1g012190"
"18","Medtr1g016370"
"19","Medtr1g017140"
"20","Medtr1g018320"
"21","Medtr1g022495"
"22","Medtr1g025680"
"23","Medtr1g026470"
"24","Medtr1g027670"
"25","Medtr1g031930"
"26","Medtr1g033670"
"27","Medtr1g034330"
"28","Medtr1g043450"
"29","Medtr1g043690"
"30","Medtr1g049070"
"31","Medtr1g052130"
"32","Medtr1g052715"
"33","Medtr1g055435"
"34","Medtr1g057130"
"35","Medtr1g064150"
"36","Medtr1g068630"
"37","Medtr1g071800"
"38","Medtr1g073730"
"39","Medtr1g078170"
"40","Medtr1g079450"
"41","Medtr1g080780"
"42","Medtr1g083420"
"43","Medtr1g089910"
"44","Medtr1g090250"
"45","Medtr1g090330"
"46","Medtr1g094145"
"47","Medtr1g099010"
"48","Medtr1g099880"
"49","Medtr1g100110"
"50","Medtr1g100667"
"51","Medtr1g101015"
"52","Medtr1g102730"
"53","Medtr1g103720"
"54","Medtr1g105700"
"55","Medtr1g110120"
"56","Medtr1g110930"
"57","Medtr1g111640"
"58","Medtr1g113050"
"59","Medtr2g005210"
"60","Medtr2g005255"
"61","Medtr2g005340"
"62","Medtr2g007530"
"63","Medtr2g008540"
"64","Medtr2g008710"
"65","Medtr2g012870"
"66","Medtr2g014900"
"67","Medtr2g015510"
"68","Medtr2g016170"
"69","Medtr2g017955"
"70","Medtr2g026600"
"71","Medtr2g031460"
"72","Medtr2g031560"
"73","Medtr2g037050"
"74","Medtr2g038420"
"75","Medtr2g040000"
"76","Medtr2g042200"
"77","Medtr2g045060"
"78","Medtr2g045135"
"79","Medtr2g061360"
"80","Medtr2g063150"
"81","Medtr2g072160"
"82","Medtr2g072170"
"83","Medtr2g084375"
"84","Medtr2g086700"
"85","Medtr2g089100"
"86","Medtr2g090110"
"87","Medtr2g090340"
"88","Medtr2g094490"
"89","Medtr2g096110"
"90","Medtr2g097840"
"91","Medtr2g098015"
"92","Medtr2g103620"
