"","x"
"1","Medtr0069s0080"
"2","Medtr0082s0140"
"3","Medtr0087s0040"
"4","Medtr0154s0010"
"5","Medtr1g008950"
"6","Medtr1g011680"
"7","Medtr1g015470"
"8","Medtr1g017890"
"9","Medtr1g026380"
"10","Medtr1g028060"
"11","Medtr1g028150"
"12","Medtr1g029990"
"13","Medtr1g031560"
"14","Medtr1g032620"
"15","Medtr1g033000"
"16","Medtr1g038430"
"17","Medtr1g040083"
"18","Medtr1g040575"
"19","Medtr1g040730"
"20","Medtr1g041625"
"21","Medtr1g047970"
"22","Medtr1g050750"
"23","Medtr1g052120"
"24","Medtr1g056870"
"25","Medtr1g059720"
"26","Medtr1g061120"
"27","Medtr1g063210"
"28","Medtr1g069015"
"29","Medtr1g070070"
"30","Medtr1g071870"
"31","Medtr1g072260"
"32","Medtr1g072790"
"33","Medtr1g073360"
"34","Medtr1g075760"
"35","Medtr1g077260"
"36","Medtr1g079260"
"37","Medtr1g083260"
"38","Medtr1g083770"
"39","Medtr1g083870"
"40","Medtr1g085355"
"41","Medtr1g086510"
"42","Medtr1g086650"
"43","Medtr1g089005"
"44","Medtr1g090330"
"45","Medtr1g096000"
"46","Medtr1g096490"
"47","Medtr1g098430"
"48","Medtr1g100663"
"49","Medtr1g103870"
"50","Medtr1g107385"
"51","Medtr1g109700"
"52","Medtr1g110380"
"53","Medtr1g111260"
"54","Medtr1g111430"
"55","Medtr1g111450"
"56","Medtr1g114210"
"57","Medtr1g116020"
"58","Medtr1g116940"
"59","Medtr2g007790"
"60","Medtr2g008750"
"61","Medtr2g010010"
"62","Medtr2g017440"
"63","Medtr2g020160"
"64","Medtr2g020580"
"65","Medtr2g024270"
"66","Medtr2g032610"
"67","Medtr2g033820"
"68","Medtr2g036480"
"69","Medtr2g037690"
"70","Medtr2g037770"
"71","Medtr2g041070"
"72","Medtr2g042550"
"73","Medtr2g044830"
"74","Medtr2g050170"
"75","Medtr2g056060"
"76","Medtr2g064620"
"77","Medtr2g067240"
"78","Medtr2g067600"
