"","x"
"1","Medtr0002s1270"
"2","Medtr0003s0090"
"3","Medtr0003s0350"
"4","Medtr0005s0210"
"5","Medtr0006s0140"
"6","Medtr0007s0020"
"7","Medtr0014s0200"
"8","Medtr0014s0310"
"9","Medtr0016s0040"
"10","Medtr0017s0100"
"11","Medtr0018s0170"
"12","Medtr0064s0050"
"13","Medtr0067s0010"
"14","Medtr0078s0010"
"15","Medtr0079s0070"
"16","Medtr0082s0090"
"17","Medtr0082s0130"
"18","Medtr0084s0030"
"19","Medtr0086s0070"
"20","Medtr0092s0090"
"21","Medtr0109s0050"
"22","Medtr0121s0060"
"23","Medtr0137s0060"
"24","Medtr0160s0030"
"25","Medtr0174s0090"
"26","Medtr0177s0070"
"27","Medtr0212s0020"
"28","Medtr0219s0040"
"29","Medtr0223s0040"
"30","Medtr0246s0020"
"31","Medtr0271s0050"
"32","Medtr0286s0040"
"33","Medtr0294s0020"
"34","Medtr0312s0020"
"35","Medtr0380s0030"
"36","Medtr0381s0030"
"37","Medtr0443s0040"
"38","Medtr0468s0010"
"39","Medtr0491s0030"
"40","Medtr0598s0020"
"41","Medtr0685s0020"
"42","Medtr0783s0010"
"43","Medtr0891s0010"
"44","Medtr1344s0010"
"45","Medtr1457s0010"
"46","Medtr1643s0010"
"47","Medtr1g006590"
"48","Medtr1g006605"
"49","Medtr1g007450"
"50","Medtr1g007600"
"51","Medtr1g008140"
"52","Medtr1g008900"
"53","Medtr1g009310"
"54","Medtr1g009570"
"55","Medtr1g012490"
"56","Medtr1g013280"
"57","Medtr1g014110"
"58","Medtr1g014700"
"59","Medtr1g015073"
"60","Medtr1g015350"
"61","Medtr1g015520"
"62","Medtr1g016080"
"63","Medtr1g016280"
"64","Medtr1g016830"
"65","Medtr1g018515"
"66","Medtr1g019530"
"67","Medtr1g019670"
"68","Medtr1g021845"
"69","Medtr1g022325"
"70","Medtr1g025560"
"71","Medtr1g025950"
"72","Medtr1g025960"
"73","Medtr1g026035"
"74","Medtr1g027290"
"75","Medtr1g027820"
"76","Medtr1g028020"
"77","Medtr1g028220"
"78","Medtr1g029190"
"79","Medtr1g029440"
"80","Medtr1g030275"
"81","Medtr1g030440"
"82","Medtr1g030810"
"83","Medtr1g031210"
"84","Medtr1g032560"
"85","Medtr1g033240"
"86","Medtr1g033540"
"87","Medtr1g033610"
"88","Medtr1g033660"
"89","Medtr1g033740"
"90","Medtr1g037500"
"91","Medtr1g037700"
"92","Medtr1g040525"
"93","Medtr1g041225"
"94","Medtr1g041605"
"95","Medtr1g043080"
"96","Medtr1g044550"
"97","Medtr1g045040"
"98","Medtr1g046340"
"99","Medtr1g046690"
"100","Medtr1g047720"
"101","Medtr1g048610"
"102","Medtr1g049070"
"103","Medtr1g050550"
"104","Medtr1g051195"
"105","Medtr1g051210"
"106","Medtr1g051385"
"107","Medtr1g051540"
"108","Medtr1g052880"
"109","Medtr1g054045"
"110","Medtr1g054185"
"111","Medtr1g054965"
"112","Medtr1g055145"
"113","Medtr1g056370"
"114","Medtr1g060460"
"115","Medtr1g061340"
"116","Medtr1g063170"
"117","Medtr1g063330"
"118","Medtr1g063400"
"119","Medtr1g063960"
"120","Medtr1g064170"
"121","Medtr1g066400"
"122","Medtr1g067260"
"123","Medtr1g069085"
"124","Medtr1g069675"
"125","Medtr1g070010"
"126","Medtr1g071240"
"127","Medtr1g073170"
"128","Medtr1g073350"
"129","Medtr1g073700"
"130","Medtr1g075450"
"131","Medtr1g075690"
"132","Medtr1g076910"
"133","Medtr1g077760"
"134","Medtr1g077780"
"135","Medtr1g077860"
"136","Medtr1g078410"
"137","Medtr1g079340"
"138","Medtr1g080110"
"139","Medtr1g080475"
"140","Medtr1g081420"
"141","Medtr1g081760"
"142","Medtr1g082820"
"143","Medtr1g082830"
"144","Medtr1g083470"
"145","Medtr1g083490"
"146","Medtr1g083983"
"147","Medtr1g085320"
"148","Medtr1g085570"
"149","Medtr1g085750"
"150","Medtr1g086430"
"151","Medtr1g087050"
"152","Medtr1g087060"
"153","Medtr1g088880"
"154","Medtr1g088920"
"155","Medtr1g089920"
"156","Medtr1g089940"
"157","Medtr1g090220"
"158","Medtr1g090370"
"159","Medtr1g090640"
"160","Medtr1g090707"
"161","Medtr1g090813"
"162","Medtr1g090903"
"163","Medtr1g092680"
"164","Medtr1g092990"
"165","Medtr1g093960"
"166","Medtr1g094635"
"167","Medtr1g094845"
"168","Medtr1g096270"
"169","Medtr1g096600"
"170","Medtr1g097290"
"171","Medtr1g097870"
