"","x"
"1","Medtr0110s0010"
"2","Medtr0384s0020"
"3","Medtr0608s0010"
"4","Medtr1g017840"
"5","Medtr1g018580"
"6","Medtr1g025910"
"7","Medtr1g027450"
"8","Medtr1g031710"
"9","Medtr1g060040"
"10","Medtr1g064390"
"11","Medtr1g088945"
"12","Medtr1g100773"
"13","Medtr1g105640"
"14","Medtr1g107360"
"15","Medtr1g110220"
"16","Medtr1g117090"
"17","Medtr2g019400"
"18","Medtr2g038420"
"19","Medtr2g083300"
"20","Medtr2g090520"
"21","Medtr3g012270"
"22","Medtr3g015280"
"23","Medtr3g027360"
"24","Medtr3g055740"
"25","Medtr3g061380"
"26","Medtr3g077200"
"27","Medtr3g080450"
"28","Medtr3g080760"
"29","Medtr3g081580"
"30","Medtr3g088965"
"31","Medtr3g095340"
"32","Medtr3g105930"
"33","Medtr3g111460"
"34","Medtr3g466460"
"35","Medtr4g006310"
"36","Medtr4g036695"
"37","Medtr4g037530"
"38","Medtr4g055460"
"39","Medtr4g061650"
"40","Medtr4g062450"
"41","Medtr4g071880"
"42","Medtr4g072840"
"43","Medtr4g072980"
"44","Medtr4g074600"
"45","Medtr4g074710"
"46","Medtr4g104450"
"47","Medtr4g116040"
"48","Medtr4g123573"
"49","Medtr4g134110"
"50","Medtr4g134870"
"51","Medtr5g008320"
"52","Medtr5g035040"
"53","Medtr5g046650"
"54","Medtr5g090690"
"55","Medtr5g094440"
"56","Medtr5g094535"
"57","Medtr6g013200"
"58","Medtr6g055180"
"59","Medtr6g077490"
"60","Medtr6g471150"
"61","Medtr7g060470"
"62","Medtr7g077350"
"63","Medtr7g086190"
"64","Medtr7g112560"
"65","Medtr7g113910"
"66","Medtr8g008755"
"67","Medtr8g010280"
"68","Medtr8g031230"
"69","Medtr8g066280"
"70","Medtr8g068900"
"71","Medtr8g069575"
"72","Medtr8g076040"
"73","Medtr8g076570"
"74","Medtr8g085750"
"75","Medtr8g106940"
"76","Medtr8g107750"
