"","x"
"1","Medtr0007s0220"
"2","Medtr0016s0020"
"3","Medtr0016s0060"
"4","Medtr0022s0430"
"5","Medtr0025s0060"
"6","Medtr0042s0230"
"7","Medtr0082s0280"
"8","Medtr0093s0090"
"9","Medtr0116s0130"
"10","Medtr0147s0050"
"11","Medtr0154s0040"
"12","Medtr0165s0050"
"13","Medtr0189s0040"
"14","Medtr0194s0030"
"15","Medtr0258s0040"
"16","Medtr0279s0020"
"17","Medtr0279s0030"
"18","Medtr0654s0010"
"19","Medtr0734s0010"
"20","Medtr0929s0010"
"21","Medtr1396s0010"
"22","Medtr1g007490"
"23","Medtr1g010100"
"24","Medtr1g010230"
"25","Medtr1g011670"
"26","Medtr1g016360"
"27","Medtr1g019490"
"28","Medtr1g019540"
"29","Medtr1g020000"
"30","Medtr1g021110"
"31","Medtr1g022950"
"32","Medtr1g024850"
"33","Medtr1g026200"
"34","Medtr1g029420"
"35","Medtr1g030420"
"36","Medtr1g032730"
"37","Medtr1g034320"
"38","Medtr1g035300"
"39","Medtr1g036390"
"40","Medtr1g040320"
"41","Medtr1g040460"
"42","Medtr1g040500"
"43","Medtr1g040545"
"44","Medtr1g044340"
"45","Medtr1g045930"
"46","Medtr1g047800"
"47","Medtr1g050478"
"48","Medtr1g051205"
"49","Medtr1g051585"
"50","Medtr1g054265"
"51","Medtr1g054370"
"52","Medtr1g054550"
"53","Medtr1g054630"
"54","Medtr1g059810"
"55","Medtr1g060490"
"56","Medtr1g066390"
"57","Medtr1g066940"
"58","Medtr1g067000"
"59","Medtr1g069195"
"60","Medtr1g073890"
"61","Medtr1g076190"
"62","Medtr1g081620"
"63","Medtr1g081665"
"64","Medtr1g081790"
"65","Medtr1g084660"
"66","Medtr1g086840"
"67","Medtr1g089000"
"68","Medtr1g089600"
"69","Medtr1g089855"
"70","Medtr1g093670"
"71","Medtr1g097560"
"72","Medtr1g097880"
"73","Medtr1g098350"
"74","Medtr1g098820"
"75","Medtr1g099480"
"76","Medtr1g099610"
"77","Medtr1g102770"
"78","Medtr1g103050"
"79","Medtr1g103110"
"80","Medtr1g104820"
"81","Medtr1g105465"
"82","Medtr1g107475"
"83","Medtr1g107500"
"84","Medtr1g110300"
"85","Medtr1g110410"
"86","Medtr1g110820"
"87","Medtr1g111010"
"88","Medtr1g111330"
"89","Medtr1g111540"
"90","Medtr1g111880"
"91","Medtr1g112020"
"92","Medtr1g113020"
"93","Medtr1g114330"
"94","Medtr1g114510"
"95","Medtr1g114580"
"96","Medtr1g115145"
"97","Medtr1g115400"
"98","Medtr1g485020"
"99","Medtr1g492640"
"100","Medtr2g006520"
"101","Medtr2g006730"
"102","Medtr2g008100"
"103","Medtr2g008190"
"104","Medtr2g008390"
"105","Medtr2g009910"
"106","Medtr2g010870"
"107","Medtr2g011160"
"108","Medtr2g011400"
"109","Medtr2g012270"
"110","Medtr2g013980"
"111","Medtr2g014830"
"112","Medtr2g016630"
"113","Medtr2g017420"
"114","Medtr2g018125"
"115","Medtr2g020020"
"116","Medtr2g022100"
"117","Medtr2g022700"
"118","Medtr2g023100"
"119","Medtr2g026160"
"120","Medtr2g027650"
"121","Medtr2g028360"
"122","Medtr2g029820"
"123","Medtr2g033080"
"124","Medtr2g033520"
"125","Medtr2g034650"
"126","Medtr2g034720"
"127","Medtr2g040760"
"128","Medtr2g044880"
"129","Medtr2g045240"
"130","Medtr2g047845"
"131","Medtr2g055320"
"132","Medtr2g061380"
"133","Medtr2g068685"
"134","Medtr2g071810"
"135","Medtr2g072600"
"136","Medtr2g075250"
"137","Medtr2g075340"
"138","Medtr2g076470"
"139","Medtr2g079000"
"140","Medtr2g082770"
"141","Medtr2g083260"
"142","Medtr2g087610"
"143","Medtr2g089360"
"144","Medtr2g091215"
"145","Medtr2g094160"
"146","Medtr2g098440"
"147","Medtr2g099440"
"148","Medtr2g099530"
"149","Medtr2g100690"
"150","Medtr2g102510"
"151","Medtr2g103313"
"152","Medtr2g103360"
"153","Medtr2g104140"
"154","Medtr2g104430"
"155","Medtr2g105570"
"156","Medtr2g438150"
"157","Medtr2g449780"
"158","Medtr2g450730"
"159","Medtr2g461250"
"160","Medtr2g461920"
"161","Medtr3g005290"
"162","Medtr3g007830"
"163","Medtr3g007920"
"164","Medtr3g009520"
"165","Medtr3g011660"
"166","Medtr3g012360"
"167","Medtr3g014030"
"168","Medtr3g021160"
"169","Medtr3g025330"
"170","Medtr3g027200"
"171","Medtr3g032980"
"172","Medtr3g034650"
"173","Medtr3g035660"
"174","Medtr3g035840"
"175","Medtr3g037470"
"176","Medtr3g045450"
"177","Medtr3g047390"
"178","Medtr3g051520"
"179","Medtr3g053780"
"180","Medtr3g054360"
"181","Medtr3g055230"
"182","Medtr3g056360"
"183","Medtr3g058980"
"184","Medtr3g063410"
"185","Medtr3g067670"
"186","Medtr3g071780"
"187","Medtr3g072800"
"188","Medtr3g072980"
"189","Medtr3g077360"
"190","Medtr3g079650"
"191","Medtr3g079860"
"192","Medtr3g080810"
"193","Medtr3g081580"
"194","Medtr3g082510"
"195","Medtr3g084390"
"196","Medtr3g084870"
"197","Medtr3g085130"
"198","Medtr3g086130"
"199","Medtr3g088535"
"200","Medtr3g088745"
"201","Medtr3g091080"
"202","Medtr3g094110"
"203","Medtr3g095580"
"204","Medtr3g096110"
"205","Medtr3g096520"
"206","Medtr3g098310"
"207","Medtr3g099620"
"208","Medtr3g099773"
"209","Medtr3g100270"
"210","Medtr3g100690"
"211","Medtr3g101510"
"212","Medtr3g101960"
"213","Medtr3g105830"
"214","Medtr3g106830"
"215","Medtr3g107680"
"216","Medtr3g108290"
"217","Medtr3g109900"
"218","Medtr3g111460"
"219","Medtr3g114080"
"220","Medtr3g114110"
"221","Medtr3g115940"
"222","Medtr3g117860"
"223","Medtr3g434800"
"224","Medtr3g448370"
"225","Medtr3g451690"
"226","Medtr3g460810"
"227","Medtr3g462500"
"228","Medtr3g465060"
"229","Medtr3g465770"
"230","Medtr4g005390"
"231","Medtr4g008630"
"232","Medtr4g009873"
"233","Medtr4g010270"
"234","Medtr4g013235"
"235","Medtr4g014240"
"236","Medtr4g015790"
"237","Medtr4g022540"
"238","Medtr4g022940"
"239","Medtr4g023070"
"240","Medtr4g023260"
"241","Medtr4g027070"
"242","Medtr4g028960"
"243","Medtr4g029030"
"244","Medtr4g032750"
"245","Medtr4g033310"
"246","Medtr4g035330"
"247","Medtr4g049270"
"248","Medtr4g050190"
"249","Medtr4g050760"
"250","Medtr4g051380"
"251","Medtr4g052250"
"252","Medtr4g052320"
