"","x"
"1","Medtr0052s0100"
"2","Medtr0055s0120"
"3","Medtr1g010100"
"4","Medtr1g019510"
"5","Medtr1g027670"
"6","Medtr1g032490"
"7","Medtr1g040320"
"8","Medtr1g040460"
"9","Medtr1g041870"
"10","Medtr1g052715"
"11","Medtr1g078170"
"12","Medtr1g089855"
"13","Medtr1g099010"
"14","Medtr1g105595"
"15","Medtr1g110120"
"16","Medtr2g014900"
"17","Medtr2g029860"
"18","Medtr2g040000"
"19","Medtr2g071960"
"20","Medtr2g084210"
"21","Medtr2g090110"
"22","Medtr2g098015"
"23","Medtr2g099860"
"24","Medtr2g101560"
"25","Medtr2g101930"
"26","Medtr3g011650"
"27","Medtr3g035510"
"28","Medtr3g037750"
"29","Medtr3g045140"
"30","Medtr3g064290"
"31","Medtr3g067565"
"32","Medtr3g067580"
"33","Medtr3g067820"
"34","Medtr3g074000"
"35","Medtr3g078330"
"36","Medtr3g079620"
"37","Medtr3g080790"
"38","Medtr3g082780"
"39","Medtr3g084390"
"40","Medtr3g086070"
"41","Medtr3g086890"
"42","Medtr3g093240"
"43","Medtr3g094110"
"44","Medtr3g104000"
"45","Medtr3g118160"
"46","Medtr3g452870"
"47","Medtr4g005750"
"48","Medtr4g015790"
"49","Medtr4g025430"
"50","Medtr4g026050"
"51","Medtr4g050190"
"52","Medtr4g061827"
"53","Medtr4g072660"
"54","Medtr4g077630"
"55","Medtr4g079630"
"56","Medtr4g094342"
"57","Medtr4g102840"
"58","Medtr4g120940"
"59","Medtr4g129140"
"60","Medtr4g131090"
"61","Medtr5g066960"
"62","Medtr5g075480"
"63","Medtr5g095680"
"64","Medtr6g008820"
"65","Medtr6g014150"
"66","Medtr6g021730"
"67","Medtr6g027360"
"68","Medtr6g034670"
"69","Medtr6g036490"
"70","Medtr6g046940"
"71","Medtr6g053980"
"72","Medtr6g087700"
"73","Medtr6g087770"
"74","Medtr6g093140"
"75","Medtr6g464840"
"76","Medtr6g471290"
"77","Medtr7g011800"
"78","Medtr7g014630"
"79","Medtr7g021750"
"80","Medtr7g034015"
"81","Medtr7g070480"
"82","Medtr7g070860"
"83","Medtr7g073600"
"84","Medtr7g077313"
"85","Medtr7g078210"
"86","Medtr7g087400"
"87","Medtr7g088300"
"88","Medtr7g091020"
"89","Medtr7g093510"
"90","Medtr7g095340"
"91","Medtr7g096300"
"92","Medtr7g104360"
"93","Medtr7g106840"
"94","Medtr7g117720"
"95","Medtr7g118160"
"96","Medtr7g407000"
"97","Medtr8g018640"
"98","Medtr8g039950"
"99","Medtr8g063260"
"100","Medtr8g063350"
"101","Medtr8g063680"
"102","Medtr8g066155"
"103","Medtr8g071270"
"104","Medtr8g088460"
"105","Medtr8g102430"
"106","Medtr8g432460"
"107","Medtr8g470050"
"108","Medtr8g479430"
