"","x"
"1","Medtr0003s0470"
"2","Medtr0004s0610"
"3","Medtr0014s0040"
"4","Medtr0014s0310"
"5","Medtr0018s0090"
"6","Medtr0022s0360"
"7","Medtr0032s0070"
"8","Medtr0045s0080"
"9","Medtr0047s0040"
"10","Medtr0055s0090"
"11","Medtr0072s0020"
"12","Medtr0117s0080"
"13","Medtr0168s0100"
"14","Medtr0325s0020"
"15","Medtr0388s0020"
"16","Medtr0419s0010"
"17","Medtr0571s0030"
"18","Medtr0652s0020"
"19","Medtr0658s0020"
"20","Medtr1g008140"
"21","Medtr1g011610"
"22","Medtr1g012440"
"23","Medtr1g014300"
"24","Medtr1g014710"
"25","Medtr1g015110"
"26","Medtr1g015930"
"27","Medtr1g019970"
"28","Medtr1g021470"
"29","Medtr1g022940"
"30","Medtr1g024025"
"31","Medtr1g024095"
"32","Medtr1g024830"
"33","Medtr1g026078"
"34","Medtr1g027700"
"35","Medtr1g028010"
"36","Medtr1g029690"
"37","Medtr1g030265"
"38","Medtr1g031520"
"39","Medtr1g031710"
"40","Medtr1g033040"
"41","Medtr1g033630"
"42","Medtr1g035260"
"43","Medtr1g037590"
"44","Medtr1g038793"
"45","Medtr1g038840"
"46","Medtr1g040475"
"47","Medtr1g040690"
"48","Medtr1g040925"
"49","Medtr1g041310"
"50","Medtr1g041735"
"51","Medtr1g050340"
"52","Medtr1g050528"
"53","Medtr1g051120"
"54","Medtr1g051825"
"55","Medtr1g053260"
"56","Medtr1g057400"
"57","Medtr1g059610"
"58","Medtr1g060580"
"59","Medtr1g061130"
"60","Medtr1g062690"
"61","Medtr1g062740"
"62","Medtr1g068875"
"63","Medtr1g069225"
"64","Medtr1g069695"
"65","Medtr1g069910"
"66","Medtr1g070160"
"67","Medtr1g073230"
"68","Medtr1g075740"
"69","Medtr1g075880"
"70","Medtr1g076330"
"71","Medtr1g077800"
"72","Medtr1g077940"
"73","Medtr1g078400"
"74","Medtr1g081870"
"75","Medtr1g083620"
"76","Medtr1g084180"
"77","Medtr1g086230"
"78","Medtr1g086250"
"79","Medtr1g087050"
"80","Medtr1g087380"
"81","Medtr1g088945"
"82","Medtr1g089085"
"83","Medtr1g089630"
"84","Medtr1g090020"
"85","Medtr1g090340"
"86","Medtr1g092440"
"87","Medtr1g094155"
"88","Medtr1g094845"
"89","Medtr1g095030"
"90","Medtr1g095880"
"91","Medtr1g096410"
"92","Medtr1g097110"
"93","Medtr1g097610"
"94","Medtr1g098980"
"95","Medtr1g099620"
"96","Medtr1g099825"
"97","Medtr1g100060"
"98","Medtr1g100950"
"99","Medtr1g104710"
"100","Medtr1g105860"
"101","Medtr1g106765"
"102","Medtr1g108990"
"103","Medtr1g112350"
"104","Medtr1g114150"
"105","Medtr1g114490"
"106","Medtr1g116085"
"107","Medtr1g442780"
"108","Medtr2g007000"
"109","Medtr2g007690"
"110","Medtr2g007890"
"111","Medtr2g009580"
"112","Medtr2g011730"
"113","Medtr2g015290"
"114","Medtr2g017495"
"115","Medtr2g019450"
"116","Medtr2g021050"
"117","Medtr2g021950"
"118","Medtr2g022250"
"119","Medtr2g022770"
"120","Medtr2g024100"
"121","Medtr2g024140"
"122","Medtr2g025700"
"123","Medtr2g028200"
"124","Medtr2g028870"
"125","Medtr2g032860"
"126","Medtr2g033460"
"127","Medtr2g034040"
"128","Medtr2g036060"
"129","Medtr2g037620"
"130","Medtr2g037900"
"131","Medtr2g039940"
"132","Medtr2g040350"
"133","Medtr2g040410"
"134","Medtr2g043890"
"135","Medtr2g048680"
"136","Medtr2g058470"
"137","Medtr2g058970"
"138","Medtr2g062990"
"139","Medtr2g066060"
"140","Medtr2g067080"
"141","Medtr2g067200"
"142","Medtr2g074870"
"143","Medtr2g076140"
"144","Medtr2g078060"
"145","Medtr2g078450"
"146","Medtr2g078540"
"147","Medtr2g082880"
"148","Medtr2g083410"
"149","Medtr2g084010"
"150","Medtr2g084715"
"151","Medtr2g086277"
"152","Medtr2g086970"
"153","Medtr2g087470"
"154","Medtr2g089080"
"155","Medtr2g090595"
"156","Medtr2g093960"
"157","Medtr2g094190"
"158","Medtr2g095730"
"159","Medtr2g096000"
"160","Medtr2g099155"
"161","Medtr2g103730"
