"","x"
"1","Medtr0003s0630"
"2","Medtr0016s0040"
"3","Medtr0019s0180"
"4","Medtr0021s0130"
"5","Medtr0024s0110"
"6","Medtr0036s0050"
"7","Medtr0082s0050"
"8","Medtr0126s0080"
"9","Medtr0144s0030"
"10","Medtr0170s0030"
"11","Medtr0221s0060"
"12","Medtr0251s0050"
"13","Medtr0332s0010"
"14","Medtr0591s0010"
"15","Medtr1g008160"
"16","Medtr1g009170"
"17","Medtr1g011460"
"18","Medtr1g011600"
"19","Medtr1g012330"
"20","Medtr1g012520"
"21","Medtr1g013790"
"22","Medtr1g014110"
"23","Medtr1g014340"
"24","Medtr1g017830"
"25","Medtr1g018140"
"26","Medtr1g018300"
"27","Medtr1g018810"
"28","Medtr1g019750"
"29","Medtr1g021070"
"30","Medtr1g022325"
"31","Medtr1g023170"
"32","Medtr1g023230"
"33","Medtr1g026480"
"34","Medtr1g027160"
"35","Medtr1g027360"
"36","Medtr1g027440"
"37","Medtr1g027580"
"38","Medtr1g028470"
"39","Medtr1g029650"
"40","Medtr1g031440"
"41","Medtr1g032600"
"42","Medtr1g032850"
"43","Medtr1g033590"
"44","Medtr1g035300"
"45","Medtr1g036570"
"46","Medtr1g037650"
"47","Medtr1g041605"
"48","Medtr1g047400"
"49","Medtr1g047730"
"50","Medtr1g049240"
"51","Medtr1g050478"
"52","Medtr1g050765"
"53","Medtr1g051105"
"54","Medtr1g052640"
"55","Medtr1g053715"
"56","Medtr1g054185"
"57","Medtr1g059280"
"58","Medtr1g060040"
"59","Medtr1g061760"
"60","Medtr1g061840"
"61","Medtr1g062130"
"62","Medtr1g062540"
"63","Medtr1g062710"
"64","Medtr1g064170"
"65","Medtr1g067350"
"66","Medtr1g067550"
"67","Medtr1g067570"
"68","Medtr1g070470"
"69","Medtr1g073580"
"70","Medtr1g073630"
"71","Medtr1g074950"
"72","Medtr1g074990"
"73","Medtr1g076590"
"74","Medtr1g079570"
"75","Medtr1g080680"
"76","Medtr1g081890"
"77","Medtr1g084160"
"78","Medtr1g084610"
"79","Medtr1g086320"
"80","Medtr1g086510"
"81","Medtr1g087740"
"82","Medtr1g088225"
"83","Medtr1g088460"
"84","Medtr1g088885"
"85","Medtr1g089920"
"86","Medtr1g090680"
"87","Medtr1g091003"
"88","Medtr1g093030"
"89","Medtr1g093920"
"90","Medtr1g094840"
"91","Medtr1g096490"
"92","Medtr1g097250"
"93","Medtr1g097530"
"94","Medtr1g098580"
"95","Medtr1g099800"
"96","Medtr1g100345"
"97","Medtr1g101240"
"98","Medtr1g101390"
"99","Medtr1g103850"
"100","Medtr1g104890"
"101","Medtr1g105465"
"102","Medtr1g105930"
"103","Medtr1g106730"
"104","Medtr1g111430"
"105","Medtr1g113760"
"106","Medtr2g005245"
"107","Medtr2g007450"
"108","Medtr2g009310"
"109","Medtr2g009910"
"110","Medtr2g010200"
"111","Medtr2g010580"
"112","Medtr2g011720"
"113","Medtr2g013120"
"114","Medtr2g014380"
"115","Medtr2g015710"
"116","Medtr2g016200"
"117","Medtr2g016230"
"118","Medtr2g017660"
"119","Medtr2g017930"
"120","Medtr2g017935"
"121","Medtr2g018710"
"122","Medtr2g019220"
"123","Medtr2g019360"
"124","Medtr2g022080"
"125","Medtr2g022610"
"126","Medtr2g023650"
"127","Medtr2g023930"
"128","Medtr2g025080"
"129","Medtr2g025140"
"130","Medtr2g025440"
"131","Medtr2g028000"
"132","Medtr2g029790"
"133","Medtr2g030855"
"134","Medtr2g031930"
"135","Medtr2g037760"
"136","Medtr2g037890"
"137","Medtr2g038305"
"138","Medtr2g040830"
"139","Medtr2g041500"
"140","Medtr2g043200"
"141","Medtr2g044830"
