"","x"
"1","Medtr0006s0110"
"2","Medtr0017s0100"
"3","Medtr0019s0180"
"4","Medtr0050s0130"
"5","Medtr0068s0080"
"6","Medtr0082s0230"
"7","Medtr0094s0020"
"8","Medtr0219s0070"
"9","Medtr0394s0020"
"10","Medtr0590s0020"
"11","Medtr1384s0010"
"12","Medtr1g007020"
"13","Medtr1g007380"
"14","Medtr1g008360"
"15","Medtr1g013060"
"16","Medtr1g018300"
"17","Medtr1g021250"
"18","Medtr1g022200"
"19","Medtr1g023790"
"20","Medtr1g026760"
"21","Medtr1g028620"
"22","Medtr1g033010"
"23","Medtr1g033040"
"24","Medtr1g036750"
"25","Medtr1g044520"
"26","Medtr1g046660"
"27","Medtr1g047730"
"28","Medtr1g051195"
"29","Medtr1g052505"
"30","Medtr1g053715"
"31","Medtr1g059780"
"32","Medtr1g062130"
"33","Medtr1g063400"
"34","Medtr1g064170"
"35","Medtr1g068960"
"36","Medtr1g069015"
"37","Medtr1g072470"
"38","Medtr1g073700"
"39","Medtr1g075650"
"40","Medtr1g075700"
"41","Medtr1g077480"
"42","Medtr1g079250"
"43","Medtr1g079340"
"44","Medtr1g080890"
"45","Medtr1g082810"
"46","Medtr1g084840"
"47","Medtr1g085440"
"48","Medtr1g089005"
"49","Medtr1g090240"
"50","Medtr1g090450"
"51","Medtr1g091840"
"52","Medtr1g092650"
"53","Medtr1g095260"
"54","Medtr1g097170"
"55","Medtr1g098390"
"56","Medtr1g098733"
"57","Medtr1g098970"
"58","Medtr1g101880"
"59","Medtr1g105640"
"60","Medtr1g106020"
"61","Medtr1g107550"
"62","Medtr1g107580"
"63","Medtr1g110380"
"64","Medtr1g111580"
"65","Medtr1g115410"
"66","Medtr1g115440"
"67","Medtr1g115580"
"68","Medtr2g005830"
"69","Medtr2g007640"
"70","Medtr2g009900"
"71","Medtr2g012550"
"72","Medtr2g014730"
"73","Medtr2g017950"
"74","Medtr2g018870"
"75","Medtr2g019400"
"76","Medtr2g020810"
"77","Medtr2g022990"
"78","Medtr2g024430"
"79","Medtr2g028140"
"80","Medtr2g029370"
"81","Medtr2g030855"
"82","Medtr2g031770"
"83","Medtr2g031880"
"84","Medtr2g034870"
"85","Medtr2g037890"
"86","Medtr2g038200"
"87","Medtr2g039870"
"88","Medtr2g040510"
"89","Medtr2g048300"
"90","Medtr2g050170"
"91","Medtr2g068655"
"92","Medtr2g072930"
"93","Medtr2g076970"
"94","Medtr2g089665"
"95","Medtr2g091140"
"96","Medtr2g091370"
"97","Medtr2g099870"
"98","Medtr2g100600"
"99","Medtr2g100740"
"100","Medtr2g101810"
"101","Medtr2g102730"
"102","Medtr2g103280"
"103","Medtr2g104950"
"104","Medtr2g436580"
"105","Medtr2g436710"
"106","Medtr2g437230"
"107","Medtr3g006810"
"108","Medtr3g007870"
"109","Medtr3g010695"
"110","Medtr3g011150"
"111","Medtr3g012070"
"112","Medtr3g013490"
"113","Medtr3g020880"
"114","Medtr3g022600"
"115","Medtr3g022732"
"116","Medtr3g028150"
"117","Medtr3g030250"
"118","Medtr3g032170"
"119","Medtr3g035670"
"120","Medtr3g036100"
"121","Medtr3g045840"
"122","Medtr3g046350"
"123","Medtr3g048590"
"124","Medtr3g049800"
"125","Medtr3g051230"
"126","Medtr3g052710"
"127","Medtr3g053370"
"128","Medtr3g054110"
"129","Medtr3g054330"
"130","Medtr3g054400"
"131","Medtr3g055260"
"132","Medtr3g064250"
"133","Medtr3g067885"
"134","Medtr3g068170"
"135","Medtr3g069753"
"136","Medtr3g070340"
"137","Medtr3g070755"
"138","Medtr3g070850"
"139","Medtr3g082810"
"140","Medtr3g083660"
"141","Medtr3g084230"
"142","Medtr3g085580"
"143","Medtr3g088850"
"144","Medtr3g092470"
"145","Medtr3g093160"
"146","Medtr3g093240"
"147","Medtr3g093750"
"148","Medtr3g093940"
"149","Medtr3g094870"
"150","Medtr3g095690"
"151","Medtr3g096290"
"152","Medtr3g096570"
"153","Medtr3g106470"
"154","Medtr3g106485"
"155","Medtr3g106560"
"156","Medtr3g106850"
"157","Medtr3g107800"
"158","Medtr3g108900"
"159","Medtr3g109270"
"160","Medtr3g110048"
"161","Medtr3g113720"
"162","Medtr3g117720"
