"","x"
"1","Medtr0009s0080"
"2","Medtr0018s0230"
"3","Medtr0024s0110"
"4","Medtr0024s0260"
"5","Medtr0032s0060"
"6","Medtr0041s0140"
"7","Medtr0177s0070"
"8","Medtr0388s0020"
"9","Medtr0473s0030"
"10","Medtr0598s0020"
"11","Medtr0652s0020"
"12","Medtr0886s0010"
"13","Medtr1g007450"
"14","Medtr1g009980"
"15","Medtr1g012160"
"16","Medtr1g017400"
"17","Medtr1g018700"
"18","Medtr1g021295"
"19","Medtr1g022440"
"20","Medtr1g023140"
"21","Medtr1g026820"
"22","Medtr1g029990"
"23","Medtr1g031210"
"24","Medtr1g033840"
"25","Medtr1g033960"
"26","Medtr1g034960"
"27","Medtr1g041625"
"28","Medtr1g045790"
"29","Medtr1g046250"
"30","Medtr1g055165"
"31","Medtr1g069235"
"32","Medtr1g069865"
"33","Medtr1g070010"
"34","Medtr1g080340"
"35","Medtr1g083380"
"36","Medtr1g087390"
"37","Medtr1g088880"
"38","Medtr1g090640"
"39","Medtr1g093280"
"40","Medtr1g098430"
"41","Medtr1g100305"
"42","Medtr1g100653"
"43","Medtr1g100890"
"44","Medtr1g103640"
"45","Medtr1g106770"
"46","Medtr1g108830"
"47","Medtr1g111430"
"48","Medtr1g115520"
"49","Medtr2g006290"
"50","Medtr2g007300"
"51","Medtr2g008990"
"52","Medtr2g010890"
"53","Medtr2g016190"
"54","Medtr2g017470"
"55","Medtr2g021050"
"56","Medtr2g027540"
"57","Medtr2g031980"
"58","Medtr2g038090"
"59","Medtr2g044440"
"60","Medtr2g064650"
"61","Medtr2g070420"
"62","Medtr2g071980"
"63","Medtr2g075060"
"64","Medtr2g079710"
"65","Medtr2g080280"
"66","Medtr2g081090"
"67","Medtr2g081490"
"68","Medtr2g082590"
"69","Medtr2g082660"
"70","Medtr2g084965"
"71","Medtr2g087430"
"72","Medtr2g089510"
"73","Medtr2g090200"
"74","Medtr2g097790"
"75","Medtr2g100900"
"76","Medtr2g101820"
"77","Medtr2g101983"
"78","Medtr2g102243"
"79","Medtr2g102380"
"80","Medtr2g104340"
"81","Medtr3g005320"
"82","Medtr3g008010"
"83","Medtr3g010000"
"84","Medtr3g022785"
"85","Medtr3g022790"
"86","Medtr3g026680"
"87","Medtr3g027140"
"88","Medtr3g031860"
"89","Medtr3g035610"
"90","Medtr3g048280"
"91","Medtr3g053890"
"92","Medtr3g055325"
"93","Medtr3g062920"
"94","Medtr3g065350"
"95","Medtr3g067630"
"96","Medtr3g068030"
"97","Medtr3g070100"
"98","Medtr3g071050"
"99","Medtr3g072000"
"100","Medtr3g072840"
"101","Medtr3g077340"
"102","Medtr3g079240"
"103","Medtr3g082050"
"104","Medtr3g084170"
"105","Medtr3g084450"
"106","Medtr3g085530"
"107","Medtr3g086230"
"108","Medtr3g088040"
"109","Medtr3g088200"
"110","Medtr3g091650"
"111","Medtr3g091820"
"112","Medtr3g098140"
"113","Medtr3g099750"
"114","Medtr3g101930"
"115","Medtr3g106030"
"116","Medtr3g107380"
"117","Medtr3g108743"
"118","Medtr3g110420"
"119","Medtr3g112350"
"120","Medtr3g113590"
"121","Medtr3g115920"
"122","Medtr3g435320"
"123","Medtr3g435460"
"124","Medtr3g449930"
"125","Medtr3g451000"
"126","Medtr4g006600"
"127","Medtr4g007140"
"128","Medtr4g008010"
"129","Medtr4g008860"
"130","Medtr4g019165"
"131","Medtr4g021865"
"132","Medtr4g022870"
"133","Medtr4g025400"
"134","Medtr4g033205"
"135","Medtr4g033230"
"136","Medtr4g033455"
"137","Medtr4g033790"
"138","Medtr4g036605"
"139","Medtr4g037225"
"140","Medtr4g037645"
"141","Medtr4g040330"
"142","Medtr4g052420"
"143","Medtr4g052770"
"144","Medtr4g056070"
"145","Medtr4g056420"
"146","Medtr4g062550"
"147","Medtr4g064750"
"148","Medtr4g064830"
"149","Medtr4g064933"
"150","Medtr4g067150"
"151","Medtr4g068900"
"152","Medtr4g069050"
"153","Medtr4g069420"
"154","Medtr4g070245"
"155","Medtr4g072780"
"156","Medtr4g072830"
"157","Medtr4g073360"
"158","Medtr4g073450"
"159","Medtr4g078885"
"160","Medtr4g079860"
"161","Medtr4g080065"
"162","Medtr4g081210"
