"","x"
"1","Medtr0002s1200"
"2","Medtr0009s0480"
"3","Medtr0012s0150"
"4","Medtr0014s0180"
"5","Medtr0021s0160"
"6","Medtr0022s0200"
"7","Medtr0055s0030"
"8","Medtr0071s0030"
"9","Medtr0087s0020"
"10","Medtr0094s0020"
"11","Medtr0245s0010"
"12","Medtr0350s0010"
"13","Medtr0361s0010"
"14","Medtr0383s0010"
"15","Medtr0428s0020"
"16","Medtr0693s0030"
"17","Medtr1g008740"
"18","Medtr1g014800"
"19","Medtr1g015530"
"20","Medtr1g015540"
"21","Medtr1g016960"
"22","Medtr1g018130"
"23","Medtr1g019520"
"24","Medtr1g021390"
"25","Medtr1g025430"
"26","Medtr1g025680"
"27","Medtr1g026020"
"28","Medtr1g027840"
"29","Medtr1g029520"
"30","Medtr1g031530"
"31","Medtr1g032340"
"32","Medtr1g041265"
"33","Medtr1g042160"
"34","Medtr1g044315"
"35","Medtr1g047550"
"36","Medtr1g052615"
"37","Medtr1g053560"
"38","Medtr1g053790"
"39","Medtr1g054725"
"40","Medtr1g058110"
"41","Medtr1g061550"
"42","Medtr1g067330"
"43","Medtr1g067410"
"44","Medtr1g067710"
"45","Medtr1g070085"
"46","Medtr1g070120"
"47","Medtr1g073760"
"48","Medtr1g076720"
"49","Medtr1g077790"
"50","Medtr1g079465"
"51","Medtr1g080780"
"52","Medtr1g080950"
"53","Medtr1g082880"
"54","Medtr1g083580"
"55","Medtr1g084920"
"56","Medtr1g086150"
"57","Medtr1g090650"
"58","Medtr1g090990"
"59","Medtr1g093120"
"60","Medtr1g094760"
"61","Medtr1g094850"
"62","Medtr1g095000"
"63","Medtr1g095630"
"64","Medtr1g097170"
"65","Medtr1g098890"
"66","Medtr1g099050"
"67","Medtr1g099880"
"68","Medtr1g101280"
"69","Medtr1g101770"
"70","Medtr1g102640"
"71","Medtr1g103620"
"72","Medtr1g105495"
"73","Medtr1g105615"
"74","Medtr1g107225"
"75","Medtr1g108470"
"76","Medtr1g110930"
"77","Medtr1g492590"
"78","Medtr2g005940"
"79","Medtr2g007220"
"80","Medtr2g008880"
"81","Medtr2g009760"
"82","Medtr2g010600"
"83","Medtr2g011040"
"84","Medtr2g012920"
"85","Medtr2g015540"
"86","Medtr2g015710"
"87","Medtr2g017620"
"88","Medtr2g017965"
"89","Medtr2g020450"
"90","Medtr2g021080"
"91","Medtr2g022490"
"92","Medtr2g025640"
"93","Medtr2g025790"
"94","Medtr2g028190"
"95","Medtr2g034370"
"96","Medtr2g037250"
"97","Medtr2g037710"
"98","Medtr2g038320"
"99","Medtr2g043200"
"100","Medtr2g043380"
"101","Medtr2g043710"
"102","Medtr2g047130"
"103","Medtr2g047838"
"104","Medtr2g047855"
"105","Medtr2g047872"
"106","Medtr2g047912"
"107","Medtr2g049540"
"108","Medtr2g050180"
"109","Medtr2g055840"
"110","Medtr2g058410"
"111","Medtr2g060360"
"112","Medtr2g062270"
"113","Medtr2g062280"
"114","Medtr2g064930"
"115","Medtr2g065740"
"116","Medtr2g072150"
"117","Medtr2g075985"
"118","Medtr2g076200"
"119","Medtr2g078130"
"120","Medtr2g078930"
"121","Medtr2g084535"
"122","Medtr2g084545"
"123","Medtr2g086283"
"124","Medtr2g086460"
"125","Medtr2g087520"
"126","Medtr2g090455"
"127","Medtr2g091235"
"128","Medtr2g093030"
"129","Medtr2g095700"
"130","Medtr2g096475"
"131","Medtr2g098150"
"132","Medtr2g098240"
"133","Medtr2g098620"
"134","Medtr2g098790"
"135","Medtr2g100880"
"136","Medtr2g101370"
"137","Medtr2g103620"
"138","Medtr2g450220"
"139","Medtr2g461800"
"140","Medtr3g005660"
"141","Medtr3g007490"
"142","Medtr3g008370"
"143","Medtr3g010277"
"144","Medtr3g010520"
"145","Medtr3g021420"
"146","Medtr3g023010"
"147","Medtr3g023700"
"148","Medtr3g023740"
"149","Medtr3g024110"
"150","Medtr3g025830"
"151","Medtr3g025960"
"152","Medtr3g028210"
"153","Medtr3g028460"
"154","Medtr3g045130"
"155","Medtr3g045830"
"156","Medtr3g048785"
"157","Medtr3g049440"
"158","Medtr3g051570"
"159","Medtr3g053240"
"160","Medtr3g054370"
"161","Medtr3g055090"
"162","Medtr3g055940"
"163","Medtr3g058510"
"164","Medtr3g058630"
"165","Medtr3g061630"
"166","Medtr3g062220"
"167","Medtr3g064290"
"168","Medtr3g064810"
"169","Medtr3g065890"
"170","Medtr3g065930"
"171","Medtr3g067820"
"172","Medtr3g070810"
"173","Medtr3g072180"
"174","Medtr3g072470"
"175","Medtr3g073590"
"176","Medtr3g076550"
"177","Medtr3g077280"
"178","Medtr3g078820"
"179","Medtr3g079190"
"180","Medtr3g081610"
"181","Medtr3g083230"
"182","Medtr3g085850"
"183","Medtr3g086890"
"184","Medtr3g087160"
"185","Medtr3g087530"
"186","Medtr3g089045"
"187","Medtr3g090440"
"188","Medtr3g090540"
"189","Medtr3g091350"
"190","Medtr3g092930"
"191","Medtr3g097500"
"192","Medtr3g098500"
"193","Medtr3g099170"
"194","Medtr3g100270"
"195","Medtr3g104930"
"196","Medtr3g107560"
"197","Medtr3g108760"
"198","Medtr3g109080"
"199","Medtr3g109340"
"200","Medtr3g114120"
"201","Medtr3g116705"
"202","Medtr3g117420"
"203","Medtr3g117610"
"204","Medtr3g464530"
"205","Medtr3g464920"
"206","Medtr3g491840"
"207","Medtr4g005430"
"208","Medtr4g005960"
"209","Medtr4g008850"
"210","Medtr4g009090"
"211","Medtr4g010530"
"212","Medtr4g015030"
"213","Medtr4g015745"
"214","Medtr4g016850"
"215","Medtr4g019560"
"216","Medtr4g022850"
"217","Medtr4g025550"
"218","Medtr4g036170"
"219","Medtr4g036485"
"220","Medtr4g037755"
"221","Medtr4g050255"
"222","Medtr4g050490"
"223","Medtr4g050863"
"224","Medtr4g057340"
"225","Medtr4g057765"
"226","Medtr4g061080"
"227","Medtr4g062270"
"228","Medtr4g067210"
"229","Medtr4g070270"
"230","Medtr4g070510"
"231","Medtr4g071330"
"232","Medtr4g072020"
"233","Medtr4g072820"
"234","Medtr4g072960"
"235","Medtr4g074030"
"236","Medtr4g074470"
"237","Medtr4g077777"
"238","Medtr4g078535"
"239","Medtr4g078555"
"240","Medtr4g080200"
"241","Medtr4g080360"
"242","Medtr4g080890"
"243","Medtr4g082140"
"244","Medtr4g083100"
"245","Medtr4g083500"
"246","Medtr4g086340"
"247","Medtr4g087750"
"248","Medtr4g087810"
"249","Medtr4g088835"
"250","Medtr4g089190"
"251","Medtr4g092570"
"252","Medtr4g092590"
"253","Medtr4g094212"
"254","Medtr4g094342"
"255","Medtr4g094510"
"256","Medtr4g094578"
"257","Medtr4g094898"
"258","Medtr4g099150"
"259","Medtr4g100880"
"260","Medtr4g101010"
"261","Medtr4g101460"
"262","Medtr4g103350"
"263","Medtr4g105630"
"264","Medtr4g107580"
"265","Medtr4g107670"
"266","Medtr4g111880"
"267","Medtr4g112350"
"268","Medtr4g115300"
"269","Medtr4g121435"
"270","Medtr4g122740"
"271","Medtr4g123690"
"272","Medtr4g125015"
"273","Medtr4g125090"
"274","Medtr4g125180"
"275","Medtr4g126320"
"276","Medtr4g126330"
"277","Medtr4g126350"
"278","Medtr4g127870"
"279","Medtr4g127970"
"280","Medtr4g133540"
"281","Medtr4g415340"
"282","Medtr5g007230"
"283","Medtr5g007713"
"284","Medtr5g009600"
"285","Medtr5g009670"
"286","Medtr5g010500"
"287","Medtr5g010555"
"288","Medtr5g011478"
"289","Medtr5g012910"
"290","Medtr5g013345"
"291","Medtr5g013660"
"292","Medtr5g016530"
"293","Medtr5g017560"
"294","Medtr5g017860"
"295","Medtr5g018365"
"296","Medtr5g018500"
"297","Medtr5g018860"
"298","Medtr5g020680"
"299","Medtr5g022045"
"300","Medtr5g022470"
"301","Medtr5g023330"
"302","Medtr5g023650"
"303","Medtr5g024420"
"304","Medtr5g025610"
"305","Medtr5g027220"
"306","Medtr5g027500"
"307","Medtr5g029230"
"308","Medtr5g031030"
"309","Medtr5g035070"
"310","Medtr5g035150"
"311","Medtr5g036650"
"312","Medtr5g038180"
"313","Medtr5g040600"
"314","Medtr5g041090"
"315","Medtr5g041310"
"316","Medtr5g048840"
"317","Medtr5g049260"
"318","Medtr5g055130"
"319","Medtr5g059070"
"320","Medtr5g059880"
"321","Medtr5g061620"
"322","Medtr5g063315"
"323","Medtr5g064180"
"324","Medtr5g071480"
"325","Medtr5g071780"
"326","Medtr5g071930"
"327","Medtr5g072970"
"328","Medtr5g073020"
"329","Medtr5g075390"
"330","Medtr5g081625"
"331","Medtr5g082920"
"332","Medtr5g083760"
"333","Medtr5g085340"
"334","Medtr5g085540"
"335","Medtr5g086530"
"336","Medtr5g087370"
"337","Medtr5g089720"
"338","Medtr5g090660"
"339","Medtr5g095680"
"340","Medtr5g096597"
"341","Medtr5g097910"
"342","Medtr5g098710"
"343","Medtr6g004340"
"344","Medtr6g007897"
"345","Medtr6g008640"
"346","Medtr6g008950"
"347","Medtr6g009260"
"348","Medtr6g011560"
"349","Medtr6g011810"
"350","Medtr6g012180"
"351","Medtr6g013170"
"352","Medtr6g013290"
"353","Medtr6g014150"
"354","Medtr6g015010"
"355","Medtr6g015315"
"356","Medtr6g016840"
"357","Medtr6g017150"
"358","Medtr6g022270"
"359","Medtr6g022710"
"360","Medtr6g025680"
"361","Medtr6g027450"
"362","Medtr6g033055"
"363","Medtr6g033325"
"364","Medtr6g033505"
"365","Medtr6g033715"
"366","Medtr6g034965"
"367","Medtr6g035295"
"368","Medtr6g043180"
"369","Medtr6g043240"
"370","Medtr6g045203"
"371","Medtr6g045607"
"372","Medtr6g048910"
"373","Medtr6g059380"
"374","Medtr6g065100"
"375","Medtr6g066240"
"376","Medtr6g071450"
"377","Medtr6g079380"
"378","Medtr6g079410"
"379","Medtr6g084770"
"380","Medtr6g085130"
"381","Medtr6g086445"
"382","Medtr6g086485"
"383","Medtr6g086745"
"384","Medtr6g087120"
"385","Medtr6g088250"
"386","Medtr6g462100"
"387","Medtr6g465300"
"388","Medtr7g007320"
"389","Medtr7g009940"
"390","Medtr7g011170"
"391","Medtr7g015390"
"392","Medtr7g016090"
"393","Medtr7g018660"
"394","Medtr7g023560"
"395","Medtr7g024320"
"396","Medtr7g024580"
"397","Medtr7g024990"
"398","Medtr7g028600"
"399","Medtr7g032360"
"400","Medtr7g032985"
"401","Medtr7g033405"
