"","x"
"1","Medtr0001s0490"
"2","Medtr0003s0540"
"3","Medtr0003s0560"
"4","Medtr0003s0580"
"5","Medtr0003s0590"
"6","Medtr0004s0230"
"7","Medtr0004s0480"
"8","Medtr0004s0490"
"9","Medtr0004s0600"
"10","Medtr0006s0190"
"11","Medtr0006s0250"
"12","Medtr0007s0140"
"13","Medtr0009s0190"
"14","Medtr0009s0330"
"15","Medtr0009s0370"
"16","Medtr0009s0380"
"17","Medtr0009s0390"
"18","Medtr0010s0210"
"19","Medtr0010s0220"
"20","Medtr0010s0400"
"21","Medtr0011s0300"
"22","Medtr0011s0330"
"23","Medtr0012s0090"
"24","Medtr0013s0120"
"25","Medtr0014s0180"
"26","Medtr0014s0210"
"27","Medtr0015s0060"
"28","Medtr0018s0260"
"29","Medtr0018s0290"
"30","Medtr0019s0180"
"31","Medtr0021s0140"
"32","Medtr0021s0360"
"33","Medtr0022s0290"
"34","Medtr0022s0300"
"35","Medtr0024s0060"
"36","Medtr0024s0070"
"37","Medtr0024s0120"
"38","Medtr0024s0220"
"39","Medtr0024s0240"
"40","Medtr0024s0330"
"41","Medtr0027s0010"
"42","Medtr0027s0180"
"43","Medtr0027s0250"
"44","Medtr0028s0090"
"45","Medtr0036s0210"
"46","Medtr0036s0220"
"47","Medtr0037s0250"
"48","Medtr0041s0030"
"49","Medtr0044s0180"
"50","Medtr0045s0110"
"51","Medtr0047s0040"
"52","Medtr0051s0090"
"53","Medtr0054s0090"
"54","Medtr0057s0080"
"55","Medtr0059s0170"
"56","Medtr0065s0100"
"57","Medtr0072s0020"
"58","Medtr0072s0040"
"59","Medtr0076s0010"
"60","Medtr0076s0020"
"61","Medtr0078s0190"
"62","Medtr0082s0070"
"63","Medtr0082s0080"
"64","Medtr0082s0100"
"65","Medtr0082s0120"
"66","Medtr0085s0010"
"67","Medtr0088s0100"
"68","Medtr0091s0070"
"69","Medtr0092s0100"
"70","Medtr0094s0010"
"71","Medtr0100s0190"
"72","Medtr0103s0100"
"73","Medtr0110s0050"
"74","Medtr0116s0130"
"75","Medtr0117s0080"
"76","Medtr0121s0060"
"77","Medtr0129s0050"
"78","Medtr0136s0060"
"79","Medtr0141s0020"
"80","Medtr0147s0070"
"81","Medtr0147s0080"
"82","Medtr0151s0030"
"83","Medtr0154s0010"
"84","Medtr0161s0050"
"85","Medtr0167s0060"
"86","Medtr0168s0100"
"87","Medtr0168s0120"
"88","Medtr0172s0010"
"89","Medtr0172s0020"
"90","Medtr0172s0050"
"91","Medtr0176s0050"
"92","Medtr0189s0050"
"93","Medtr0196s0020"
"94","Medtr0197s0100"
"95","Medtr0198s0030"
"96","Medtr0199s0040"
"97","Medtr0204s0010"
"98","Medtr0216s0030"
"99","Medtr0219s0020"
"100","Medtr0219s0070"
"101","Medtr0223s0010"
"102","Medtr0223s0040"
"103","Medtr0227s0010"
"104","Medtr0227s0020"
"105","Medtr0227s0030"
"106","Medtr0232s0030"
"107","Medtr0242s0030"
"108","Medtr0245s0010"
"109","Medtr0258s0040"
"110","Medtr0260s0030"
"111","Medtr0262s0030"
"112","Medtr0268s0080"
"113","Medtr0271s0010"
"114","Medtr0275s0020"
"115","Medtr0276s0050"
"116","Medtr0279s0030"
"117","Medtr0280s0030"
"118","Medtr0286s0050"
"119","Medtr0288s0040"
"120","Medtr0305s0020"
"121","Medtr0311s0030"
"122","Medtr0316s0010"
"123","Medtr0332s0040"
"124","Medtr0349s0030"
"125","Medtr0391s0020"
"126","Medtr0416s0030"
"127","Medtr0417s0020"
"128","Medtr0425s0020"
"129","Medtr0466s0010"
"130","Medtr0475s0040"
"131","Medtr0478s0010"
"132","Medtr0493s0020"
"133","Medtr0493s0030"
"134","Medtr0508s0010"
"135","Medtr0512s0010"
"136","Medtr0512s0030"
"137","Medtr0551s0020"
"138","Medtr0571s0030"
"139","Medtr0572s0010"
"140","Medtr0590s0020"
"141","Medtr0623s0020"
"142","Medtr0652s0020"
"143","Medtr0667s0010"
"144","Medtr0685s0020"
"145","Medtr0699s0020"
"146","Medtr0703s0020"
"147","Medtr0734s0010"
"148","Medtr0807s0020"
"149","Medtr1242s0010"
"150","Medtr1344s0010"
"151","Medtr1384s0010"
"152","Medtr1415s0010"
"153","Medtr1452s0010"
"154","Medtr1454s0010"
"155","Medtr1643s0010"
"156","Medtr1663s0010"
"157","Medtr1g006660"
"158","Medtr1g006690"
"159","Medtr1g007030"
"160","Medtr1g007060"
"161","Medtr1g007120"
"162","Medtr1g007160"
"163","Medtr1g007170"
"164","Medtr1g007220"
"165","Medtr1g007320"
"166","Medtr1g007325"
"167","Medtr1g007390"
"168","Medtr1g007460"
"169","Medtr1g007480"
"170","Medtr1g007590"
"171","Medtr1g007670"
"172","Medtr1g007800"
"173","Medtr1g007810"
"174","Medtr1g007850"
"175","Medtr1g007860"
"176","Medtr1g007870"
"177","Medtr1g008060"
"178","Medtr1g008140"
"179","Medtr1g008200"
"180","Medtr1g008360"
"181","Medtr1g008600"
"182","Medtr1g009010"
"183","Medtr1g009200"
"184","Medtr1g009220"
"185","Medtr1g009750"
"186","Medtr1g009840"
"187","Medtr1g009890"
"188","Medtr1g009960"
"189","Medtr1g010010"
"190","Medtr1g010020"
"191","Medtr1g010250"
"192","Medtr1g010280"
"193","Medtr1g010290"
"194","Medtr1g011460"
"195","Medtr1g011520"
"196","Medtr1g011580"
"197","Medtr1g011750"
"198","Medtr1g011800"
"199","Medtr1g011850"
"200","Medtr1g011880"
"201","Medtr1g012010"
"202","Medtr1g012020"
"203","Medtr1g012030"
"204","Medtr1g012360"
"205","Medtr1g012420"
"206","Medtr1g012530"
"207","Medtr1g012540"
"208","Medtr1g012760"
"209","Medtr1g012800"
