"","x"
"1","Medtr0001s0010"
"2","Medtr0001s0070"
"3","Medtr0001s0100"
"4","Medtr0001s0190"
"5","Medtr0001s0200"
"6","Medtr0001s0260"
"7","Medtr0001s0360"
"8","Medtr0001s0380"
"9","Medtr0001s0480"
"10","Medtr0001s0500"
"11","Medtr0001s0510"
"12","Medtr0001s0580"
"13","Medtr0001s0700"
"14","Medtr0002s0030"
"15","Medtr0002s0040"
"16","Medtr0002s0050"
"17","Medtr0002s0070"
"18","Medtr0002s0100"
"19","Medtr0002s0110"
"20","Medtr0002s0120"
"21","Medtr0002s0140"
"22","Medtr0002s0150"
"23","Medtr0002s0160"
"24","Medtr0002s0170"
"25","Medtr0002s0180"
"26","Medtr0002s0200"
"27","Medtr0002s0210"
"28","Medtr0002s0250"
"29","Medtr0002s0260"
"30","Medtr0002s0280"
"31","Medtr0002s0300"
"32","Medtr0002s0310"
"33","Medtr0002s0330"
"34","Medtr0002s0350"
"35","Medtr0002s0360"
"36","Medtr0002s0380"
"37","Medtr0002s0390"
"38","Medtr0002s0420"
"39","Medtr0002s0440"
"40","Medtr0002s0510"
"41","Medtr0002s0530"
"42","Medtr0002s0540"
"43","Medtr0002s0550"
"44","Medtr0002s0580"
"45","Medtr0002s0590"
"46","Medtr0002s0630"
"47","Medtr0002s0650"
"48","Medtr0002s0660"
"49","Medtr0002s0670"
"50","Medtr0002s0680"
"51","Medtr0002s0690"
"52","Medtr0002s0700"
"53","Medtr0002s0730"
"54","Medtr0002s0740"
"55","Medtr0002s0750"
"56","Medtr0002s0760"
"57","Medtr0002s0770"
"58","Medtr0002s0780"
"59","Medtr0002s0790"
"60","Medtr0002s0800"
"61","Medtr0002s0860"
"62","Medtr0002s0870"
"63","Medtr0002s0880"
"64","Medtr0002s0960"
"65","Medtr0002s0990"
"66","Medtr0002s1180"
"67","Medtr0002s1220"
"68","Medtr0002s1240"
"69","Medtr0002s1260"
"70","Medtr0002s1280"
"71","Medtr0003s0010"
"72","Medtr0003s0070"
"73","Medtr0003s0080"
"74","Medtr0003s0130"
"75","Medtr0003s0160"
"76","Medtr0003s0180"
"77","Medtr0003s0210"
"78","Medtr0003s0250"
"79","Medtr0003s0260"
"80","Medtr0003s0280"
"81","Medtr0003s0290"
"82","Medtr0003s0390"
"83","Medtr0003s0410"
"84","Medtr0003s0430"
"85","Medtr0003s0460"
"86","Medtr0003s0530"
"87","Medtr0003s0650"
"88","Medtr0004s0190"
"89","Medtr0004s0260"
"90","Medtr0004s0300"
"91","Medtr0004s0350"
"92","Medtr0004s0360"
"93","Medtr0004s0450"
"94","Medtr0004s0530"
"95","Medtr0005s0070"
"96","Medtr0005s0110"
"97","Medtr0005s0140"
"98","Medtr0005s0150"
"99","Medtr0005s0160"
"100","Medtr0005s0230"
"101","Medtr0005s0240"
"102","Medtr0005s0250"
"103","Medtr0005s0260"
"104","Medtr0006s0020"
"105","Medtr0006s0180"
"106","Medtr0006s0210"
"107","Medtr0006s0260"
"108","Medtr0006s0290"
"109","Medtr0007s0010"
"110","Medtr0007s0020"
"111","Medtr0007s0030"
"112","Medtr0007s0040"
"113","Medtr0007s0070"
"114","Medtr0007s0080"
"115","Medtr0007s0150"
"116","Medtr0007s0160"
"117","Medtr0007s0250"
"118","Medtr0007s0290"
"119","Medtr0007s0310"
"120","Medtr0007s0320"
"121","Medtr0007s0410"
"122","Medtr0007s0440"
"123","Medtr0007s0450"
"124","Medtr0007s0480"
"125","Medtr0007s0520"
"126","Medtr0008s0030"
"127","Medtr0008s0060"
"128","Medtr0008s0110"
"129","Medtr0008s0120"
"130","Medtr0008s0130"
"131","Medtr0008s0160"
"132","Medtr0008s0170"
"133","Medtr0008s0180"
"134","Medtr0008s0210"
"135","Medtr0008s0230"
"136","Medtr0008s0310"
"137","Medtr0008s0340"
"138","Medtr0008s0430"
"139","Medtr0008s0460"
"140","Medtr0009s0040"
"141","Medtr0009s0100"
"142","Medtr0009s0150"
"143","Medtr0009s0270"
"144","Medtr0009s0290"
"145","Medtr0009s0340"
"146","Medtr0009s0350"
"147","Medtr0009s0490"
"148","Medtr0010s0110"
"149","Medtr0010s0130"
"150","Medtr0010s0190"
"151","Medtr0010s0200"
"152","Medtr0010s0270"
"153","Medtr0010s0290"
"154","Medtr0010s0310"
"155","Medtr0010s0320"
"156","Medtr0010s0350"
"157","Medtr0010s0360"
"158","Medtr0010s0370"
"159","Medtr0010s0390"
"160","Medtr0011s0100"
"161","Medtr0011s0210"
"162","Medtr0011s0260"
"163","Medtr0011s0270"
"164","Medtr0012s0070"
"165","Medtr0012s0140"
"166","Medtr0012s0160"
"167","Medtr0012s0170"
"168","Medtr0012s0220"
"169","Medtr0012s0240"
"170","Medtr0012s0280"
"171","Medtr0013s0060"
"172","Medtr0013s0070"
"173","Medtr0013s0080"
"174","Medtr0013s0130"
"175","Medtr0013s0190"
"176","Medtr0013s0270"
"177","Medtr0013s0290"
"178","Medtr0013s0330"
"179","Medtr0013s0400"
"180","Medtr0014s0010"
"181","Medtr0014s0110"
"182","Medtr0014s0120"
"183","Medtr0014s0140"
"184","Medtr0014s0150"
"185","Medtr0014s0220"
"186","Medtr0014s0350"
"187","Medtr0014s0390"
"188","Medtr0014s0410"
"189","Medtr0014s0420"
"190","Medtr0014s0490"
"191","Medtr0015s0020"
"192","Medtr0015s0100"
"193","Medtr0015s0160"
"194","Medtr0015s0170"
"195","Medtr0015s0230"
"196","Medtr0016s0010"
"197","Medtr0016s0150"
"198","Medtr0017s0080"
"199","Medtr0017s0090"
"200","Medtr0017s0160"
"201","Medtr0017s0190"
"202","Medtr0017s0230"
"203","Medtr0017s0240"
"204","Medtr0017s0270"
"205","Medtr0017s0290"
"206","Medtr0018s0050"
"207","Medtr0018s0300"
"208","Medtr0019s0040"
"209","Medtr0019s0060"
"210","Medtr0019s0080"
"211","Medtr0019s0090"
"212","Medtr0019s0130"
"213","Medtr0019s0150"
"214","Medtr0019s0170"
"215","Medtr0019s0270"
"216","Medtr0019s0290"
"217","Medtr0019s0330"
"218","Medtr0019s0340"
"219","Medtr0020s0050"
"220","Medtr0020s0100"
"221","Medtr0020s0150"
"222","Medtr0020s0170"
"223","Medtr0021s0190"
"224","Medtr0021s0200"
"225","Medtr0021s0240"
"226","Medtr0021s0250"
"227","Medtr0021s0270"
"228","Medtr0021s0280"
"229","Medtr0021s0380"
"230","Medtr0022s0020"
"231","Medtr0022s0330"
"232","Medtr0022s0370"
"233","Medtr0022s0450"
"234","Medtr0022s0460"
"235","Medtr0022s0480"
"236","Medtr0023s0130"
"237","Medtr0023s0160"
"238","Medtr0023s0210"
"239","Medtr0023s0240"
"240","Medtr0023s0260"
"241","Medtr0023s0280"
"242","Medtr0023s0340"
"243","Medtr0023s0370"
"244","Medtr0024s0040"
"245","Medtr0024s0090"
"246","Medtr0024s0100"
"247","Medtr0024s0130"
"248","Medtr0024s0140"
"249","Medtr0024s0150"
"250","Medtr0024s0160"
"251","Medtr0024s0170"
"252","Medtr0024s0180"
"253","Medtr0024s0190"
"254","Medtr0024s0250"
"255","Medtr0024s0300"
"256","Medtr0024s0340"
"257","Medtr0025s0030"
"258","Medtr0025s0050"
"259","Medtr0026s0190"
"260","Medtr0026s0220"
"261","Medtr0026s0230"
"262","Medtr0027s0030"
"263","Medtr0027s0040"
"264","Medtr0027s0100"
"265","Medtr0027s0120"
"266","Medtr0027s0130"
"267","Medtr0027s0140"
"268","Medtr0027s0260"
"269","Medtr0028s0020"
"270","Medtr0028s0030"
"271","Medtr0028s0170"
"272","Medtr0028s0180"
"273","Medtr0028s0210"
"274","Medtr0028s0230"
"275","Medtr0028s0240"
"276","Medtr0028s0290"
"277","Medtr0028s0320"
"278","Medtr0029s0020"
"279","Medtr0029s0040"
"280","Medtr0029s0050"
"281","Medtr0029s0060"
"282","Medtr0029s0090"
"283","Medtr0029s0100"
"284","Medtr0029s0120"
"285","Medtr0029s0130"
"286","Medtr0029s0140"
"287","Medtr0029s0160"
"288","Medtr0029s0180"
"289","Medtr0029s0220"
"290","Medtr0029s0230"
"291","Medtr0030s0030"
"292","Medtr0030s0040"
"293","Medtr0030s0050"
"294","Medtr0030s0060"
"295","Medtr0030s0070"
"296","Medtr0030s0080"
"297","Medtr0030s0090"
"298","Medtr0030s0110"
"299","Medtr0030s0120"
"300","Medtr0030s0130"
"301","Medtr0030s0140"
"302","Medtr0030s0150"
"303","Medtr0030s0160"
"304","Medtr0030s0170"
"305","Medtr0030s0190"
"306","Medtr0030s0200"
"307","Medtr0030s0260"
"308","Medtr0030s0270"
"309","Medtr0030s0280"
"310","Medtr0030s0290"
"311","Medtr0030s0310"
"312","Medtr0030s0320"
"313","Medtr0030s0330"
"314","Medtr0030s0340"
"315","Medtr0030s0360"
"316","Medtr0030s0370"
"317","Medtr0030s0380"
"318","Medtr0030s0390"
"319","Medtr0030s0400"
"320","Medtr0030s0420"
"321","Medtr0030s0430"
"322","Medtr0031s0030"
"323","Medtr0031s0050"
"324","Medtr0031s0120"
"325","Medtr0031s0140"
"326","Medtr0032s0020"
"327","Medtr0032s0090"
"328","Medtr0032s0100"
"329","Medtr0032s0120"
"330","Medtr0032s0170"
"331","Medtr0032s0190"
"332","Medtr0032s0260"
"333","Medtr0034s0100"
"334","Medtr0034s0110"
"335","Medtr0034s0120"
"336","Medtr0034s0130"
"337","Medtr0035s0050"
"338","Medtr0035s0070"
"339","Medtr0035s0100"
"340","Medtr0036s0020"
"341","Medtr0036s0090"
"342","Medtr0036s0130"
"343","Medtr0036s0160"
"344","Medtr0037s0010"
"345","Medtr0037s0020"
"346","Medtr0037s0030"
"347","Medtr0037s0160"
"348","Medtr0038s0010"
"349","Medtr0038s0030"
"350","Medtr0038s0040"
"351","Medtr0038s0050"
"352","Medtr0038s0070"
"353","Medtr0038s0110"
"354","Medtr0039s0040"
"355","Medtr0039s0050"
"356","Medtr0039s0060"
"357","Medtr0039s0090"
"358","Medtr0039s0180"
"359","Medtr0040s0030"
"360","Medtr0040s0040"
"361","Medtr0040s0060"
"362","Medtr0040s0150"
"363","Medtr0041s0050"
"364","Medtr0041s0060"
"365","Medtr0041s0080"
"366","Medtr0041s0110"
"367","Medtr0041s0120"
"368","Medtr0042s0030"
"369","Medtr0042s0040"
"370","Medtr0042s0070"
"371","Medtr0042s0100"
"372","Medtr0042s0120"
"373","Medtr0043s0030"
"374","Medtr0043s0040"
"375","Medtr0043s0050"
"376","Medtr0043s0060"
"377","Medtr0043s0140"
"378","Medtr0044s0040"
"379","Medtr0044s0050"
"380","Medtr0044s0090"
"381","Medtr0044s0120"
"382","Medtr0044s0130"
"383","Medtr0044s0150"
"384","Medtr0044s0160"
"385","Medtr0044s0190"
"386","Medtr0044s0250"
"387","Medtr0044s0290"
"388","Medtr0044s0300"
"389","Medtr0044s0310"
"390","Medtr0045s0010"
"391","Medtr0045s0100"
"392","Medtr0045s0120"
"393","Medtr0045s0160"
