"","x"
"1","Medtr0036s0270"
"2","Medtr0383s0010"
"3","Medtr1g007650"
"4","Medtr1g008950"
"5","Medtr1g014800"
"6","Medtr1g015530"
"7","Medtr1g016370"
"8","Medtr1g019520"
"9","Medtr1g021390"
"10","Medtr1g042260"
"11","Medtr1g047550"
"12","Medtr1g047970"
"13","Medtr1g050402"
"14","Medtr1g052615"
"15","Medtr1g054725"
"16","Medtr1g075760"
"17","Medtr1g086150"
"18","Medtr1g090650"
"19","Medtr1g095630"
"20","Medtr1g096490"
"21","Medtr1g098890"
"22","Medtr1g099050"
"23","Medtr1g099880"
"24","Medtr1g103620"
"25","Medtr2g012920"
"26","Medtr2g021080"
"27","Medtr2g031420"
"28","Medtr2g047130"
"29","Medtr2g065740"
"30","Medtr2g075060"
"31","Medtr3g031200"
"32","Medtr3g045830"
"33","Medtr3g055090"
"34","Medtr3g058510"
"35","Medtr3g062220"
"36","Medtr3g072900"
"37","Medtr3g078820"
"38","Medtr3g079190"
"39","Medtr3g084240"
"40","Medtr3g088100"
"41","Medtr3g088920"
"42","Medtr3g099170"
"43","Medtr3g099680"
"44","Medtr3g100270"
"45","Medtr3g107560"
"46","Medtr3g113890"
"47","Medtr3g114120"
"48","Medtr4g023630"
"49","Medtr4g036485"
"50","Medtr4g050255"
"51","Medtr4g050840"
"52","Medtr4g070510"
"53","Medtr4g072820"
"54","Medtr4g076760"
"55","Medtr4g080200"
"56","Medtr4g094825"
"57","Medtr4g094902"
"58","Medtr4g099150"
"59","Medtr4g114720"
"60","Medtr4g115300"
"61","Medtr4g116140"
"62","Medtr4g125180"
"63","Medtr4g415340"
"64","Medtr5g007220"
"65","Medtr5g013660"
"66","Medtr5g021100"
"67","Medtr5g022045"
"68","Medtr5g022270"
"69","Medtr5g023460"
"70","Medtr5g031030"
"71","Medtr5g035150"
"72","Medtr5g040940"
"73","Medtr5g041090"
"74","Medtr5g059070"
"75","Medtr5g063315"
"76","Medtr5g070710"
"77","Medtr6g013290"
"78","Medtr6g033890"
"79","Medtr6g035295"
"80","Medtr6g071090"
"81","Medtr6g082360"
"82","Medtr6g085130"
"83","Medtr6g088250"
"84","Medtr7g011170"
"85","Medtr7g024867"
"86","Medtr7g028830"
"87","Medtr7g032230"
"88","Medtr7g032360"
"89","Medtr7g034535"
"90","Medtr7g061840"
"91","Medtr7g063460"
"92","Medtr7g071820"
"93","Medtr7g077230"
"94","Medtr7g092190"
"95","Medtr7g094720"
"96","Medtr7g102530"
"97","Medtr7g105400"
"98","Medtr7g105680"
"99","Medtr8g014910"
"100","Medtr8g042020"
"101","Medtr8g054410"
"102","Medtr8g063300"
"103","Medtr8g073960"
"104","Medtr8g074620"
"105","Medtr8g089800"
"106","Medtr8g098545"
"107","Medtr8g103940"
"108","Medtr8g105540"
"109","Medtr8g466470"
