"","x"
"1","Medtr0003s0090"
"2","Medtr0312s0020"
"3","Medtr1g006605"
"4","Medtr1g014110"
"5","Medtr1g015230"
"6","Medtr1g018515"
"7","Medtr1g026075"
"8","Medtr1g033540"
"9","Medtr1g044550"
"10","Medtr1g079820"
"11","Medtr1g112090"
"12","Medtr1g114280"
"13","Medtr2g007810"
"14","Medtr2g028440"
"15","Medtr2g078850"
"16","Medtr2g080280"
"17","Medtr3g063330"
"18","Medtr3g084540"
"19","Medtr3g087015"
"20","Medtr3g091503"
"21","Medtr3g099690"
"22","Medtr3g100580"
"23","Medtr3g107600"
"24","Medtr3g114260"
"25","Medtr4g032935"
"26","Medtr4g058820"
"27","Medtr4g071455"
"28","Medtr4g092520"
"29","Medtr4g094842"
"30","Medtr4g115170"
"31","Medtr4g478260"
"32","Medtr5g012460"
"33","Medtr5g018690"
"34","Medtr5g022420"
"35","Medtr5g037450"
"36","Medtr5g055310"
"37","Medtr5g068670"
"38","Medtr6g005600"
"39","Medtr6g007510"
"40","Medtr6g011370"
"41","Medtr6g013890"
"42","Medtr6g074160"
"43","Medtr6g452520"
"44","Medtr6g472250"
"45","Medtr7g057520"
"46","Medtr7g066760"
"47","Medtr7g067800"
"48","Medtr8g022220"
"49","Medtr8g023580"
"50","Medtr8g058553"
"51","Medtr8g062550"
"52","Medtr8g076690"
"53","Medtr8g086400"
"54","Medtr8g106890"
