"","x"
"1","Medtr0006s0230"
"2","Medtr0007s0090"
"3","Medtr0009s0100"
"4","Medtr0018s0230"
"5","Medtr0019s0090"
"6","Medtr0029s0060"
"7","Medtr0057s0170"
"8","Medtr0065s0080"
"9","Medtr0085s0030"
"10","Medtr0087s0030"
"11","Medtr0146s0070"
"12","Medtr0147s0010"
"13","Medtr0152s0090"
"14","Medtr0154s0040"
"15","Medtr0191s0030"
"16","Medtr0212s0030"
"17","Medtr0214s0030"
"18","Medtr0252s0030"
"19","Medtr0257s0040"
"20","Medtr0365s0010"
"21","Medtr0504s0040"
"22","Medtr0536s0020"
"23","Medtr0991s0010"
"24","Medtr1325s0020"
"25","Medtr1454s0010"
"26","Medtr1526s0010"
"27","Medtr1g007230"
"28","Medtr1g007690"
"29","Medtr1g009230"
"30","Medtr1g009850"
"31","Medtr1g011600"
"32","Medtr1g011660"
"33","Medtr1g017120"
"34","Medtr1g022070"
"35","Medtr1g025780"
"36","Medtr1g027730"
"37","Medtr1g029660"
"38","Medtr1g033180"
"39","Medtr1g034040"
"40","Medtr1g035760"
"41","Medtr1g040615"
"42","Medtr1g041895"
"43","Medtr1g043030"
"44","Medtr1g043410"
"45","Medtr1g046790"
"46","Medtr1g050145"
"47","Medtr1g051645"
"48","Medtr1g051685"
"49","Medtr1g052535"
"50","Medtr1g052855"
"51","Medtr1g053525"
"52","Medtr1g054050"
"53","Medtr1g054730"
"54","Medtr1g054855"
"55","Medtr1g055185"
"56","Medtr1g055325"
"57","Medtr1g058280"
"58","Medtr1g060050"
"59","Medtr1g060680"
"60","Medtr1g063920"
"61","Medtr1g066980"
"62","Medtr1g070860"
"63","Medtr1g070960"
"64","Medtr1g073160"
"65","Medtr1g073400"
"66","Medtr1g073730"
"67","Medtr1g073760"
"68","Medtr1g073990"
"69","Medtr1g074250"
"70","Medtr1g075780"
"71","Medtr1g076890"
"72","Medtr1g081570"
"73","Medtr1g085050"
"74","Medtr1g087390"
"75","Medtr1g088845"
"76","Medtr1g088925"
"77","Medtr1g089160"
"78","Medtr1g090250"
"79","Medtr1g091930"
"80","Medtr1g092465"
"81","Medtr1g092630"
"82","Medtr1g094860"
"83","Medtr1g095080"
"84","Medtr1g098820"
"85","Medtr1g100763"
"86","Medtr1g103450"
"87","Medtr1g103650"
"88","Medtr1g103840"
"89","Medtr1g106035"
"90","Medtr1g106945"
"91","Medtr1g108790"
"92","Medtr1g109240"
"93","Medtr1g111120"
"94","Medtr1g112950"
"95","Medtr1g113730"
"96","Medtr1g115410"
"97","Medtr1g115860"
"98","Medtr1g115980"
"99","Medtr1g492700"
"100","Medtr1g492920"
"101","Medtr2177s0010"
"102","Medtr2g005940"
"103","Medtr2g007360"
"104","Medtr2g008230"
"105","Medtr2g008350"
"106","Medtr2g010100"
"107","Medtr2g010350"
"108","Medtr2g010970"
"109","Medtr2g012980"
"110","Medtr2g014570"
"111","Medtr2g015750"
"112","Medtr2g015920"
"113","Medtr2g016390"
"114","Medtr2g017890"
"115","Medtr2g019360"
"116","Medtr2g019820"
"117","Medtr2g021050"
"118","Medtr2g028600"
"119","Medtr2g028970"
"120","Medtr2g030460"
"121","Medtr2g031920"
"122","Medtr2g032550"
"123","Medtr2g040265"
"124","Medtr2g040780"
"125","Medtr2g041070"
"126","Medtr2g041480"
"127","Medtr2g041990"
"128","Medtr2g047858"
"129","Medtr2g047978"
"130","Medtr2g049090"
"131","Medtr2g058840"
"132","Medtr2g062400"
"133","Medtr2g062820"
"134","Medtr2g063560"
"135","Medtr2g063913"
"136","Medtr2g066760"
"137","Medtr2g067360"
"138","Medtr2g068730"
"139","Medtr2g068800"
"140","Medtr2g069300"
"141","Medtr2g072100"
"142","Medtr2g075460"
"143","Medtr2g075700"
"144","Medtr2g076910"
"145","Medtr2g077990"
"146","Medtr2g079300"
"147","Medtr2g079320"
"148","Medtr2g080020"
"149","Medtr2g081610"
"150","Medtr2g084195"
"151","Medtr2g084215"
"152","Medtr2g086090"
"153","Medtr2g086283"
"154","Medtr2g086520"
"155","Medtr2g086650"
"156","Medtr2g088390"
