"","x"
"1","Medtr0002s0900"
"2","Medtr0004s0210"
"3","Medtr0005s0200"
"4","Medtr0006s0190"
"5","Medtr0009s0240"
"6","Medtr0012s0290"
"7","Medtr0014s0260"
"8","Medtr0014s0440"
"9","Medtr0015s0120"
"10","Medtr0016s0170"
"11","Medtr0020s0120"
"12","Medtr0021s0120"
"13","Medtr0032s0030"
"14","Medtr0036s0210"
"15","Medtr0040s0110"
"16","Medtr0070s0020"
"17","Medtr0078s0010"
"18","Medtr0082s0030"
"19","Medtr0082s0190"
"20","Medtr0087s0040"
"21","Medtr0090s0020"
"22","Medtr0095s0120"
"23","Medtr0100s0170"
"24","Medtr0126s0080"
"25","Medtr0137s0010"
"26","Medtr0137s0060"
"27","Medtr0148s0050"
"28","Medtr0170s0030"
"29","Medtr0177s0060"
"30","Medtr0181s0060"
"31","Medtr0184s0030"
"32","Medtr0187s0030"
"33","Medtr0212s0040"
"34","Medtr0219s0130"
"35","Medtr0238s0050"
"36","Medtr0251s0050"
"37","Medtr0267s0070"
"38","Medtr0271s0070"
"39","Medtr0276s0020"
"40","Medtr0280s0040"
"41","Medtr0286s0050"
"42","Medtr0334s0010"
"43","Medtr0349s0020"
"44","Medtr0350s0010"
"45","Medtr0419s0060"
"46","Medtr0421s0020"
"47","Medtr0429s0020"
"48","Medtr0459s0020"
"49","Medtr0474s0020"
"50","Medtr0624s0020"
"51","Medtr0691s0020"
"52","Medtr1099s0010"
"53","Medtr1454s0010"
"54","Medtr1457s0010"
"55","Medtr1918s0010"
"56","Medtr1g004990"
"57","Medtr1g007600"
"58","Medtr1g008500"
"59","Medtr1g008980"
"60","Medtr1g010050"
"61","Medtr1g010250"
"62","Medtr1g010300"
"63","Medtr1g011640"
"64","Medtr1g011710"
"65","Medtr1g012860"
"66","Medtr1g013400"
"67","Medtr1g013580"
"68","Medtr1g013820"
"69","Medtr1g015165"
"70","Medtr1g015470"
"71","Medtr1g015920"
"72","Medtr1g015970"
"73","Medtr1g016170"
"74","Medtr1g016780"
"75","Medtr1g017020"
"76","Medtr1g017530"
"77","Medtr1g017700"
"78","Medtr1g017830"
"79","Medtr1g018140"
"80","Medtr1g018650"
"81","Medtr1g019270"
"82","Medtr1g019285"
"83","Medtr1g019750"
"84","Medtr1g021070"
"85","Medtr1g021230"
"86","Medtr1g021330"
"87","Medtr1g021610"
"88","Medtr1g021630"
"89","Medtr1g021638"
"90","Medtr1g021730"
"91","Medtr1g021915"
"92","Medtr1g021950"
"93","Medtr1g022265"
"94","Medtr1g022325"
"95","Medtr1g022445"
"96","Medtr1g022455"
"97","Medtr1g023170"
"98","Medtr1g023720"
"99","Medtr1g023730"
"100","Medtr1g026110"
"101","Medtr1g026850"
"102","Medtr1g026910"
"103","Medtr1g027050"
"104","Medtr1g027060"
"105","Medtr1g027070"
"106","Medtr1g027150"
"107","Medtr1g027640"
"108","Medtr1g027830"
"109","Medtr1g028150"
"110","Medtr1g028280"
"111","Medtr1g028350"
"112","Medtr1g028920"
"113","Medtr1g029600"
"114","Medtr1g029610"
"115","Medtr1g029810"
"116","Medtr1g030265"
"117","Medtr1g030268"
"118","Medtr1g031220"
"119","Medtr1g031280"
"120","Medtr1g031320"
"121","Medtr1g031460"
"122","Medtr1g031510"
"123","Medtr1g031780"
"124","Medtr1g032220"
"125","Medtr1g032460"
"126","Medtr1g032710"
"127","Medtr1g033090"
"128","Medtr1g033110"
"129","Medtr1g034500"
"130","Medtr1g036290"
"131","Medtr1g036490"
"132","Medtr1g036510"
"133","Medtr1g037820"
"134","Medtr1g038530"
"135","Medtr1g038820"
"136","Medtr1g038850"
"137","Medtr1g040175"
"138","Medtr1g040360"
"139","Medtr1g040435"
"140","Medtr1g040575"
"141","Medtr1g040615"
"142","Medtr1g040735"
"143","Medtr1g041265"
"144","Medtr1g041615"
"145","Medtr1g042735"
"146","Medtr1g043080"
"147","Medtr1g043290"
"148","Medtr1g044020"
"149","Medtr1g045040"
"150","Medtr1g045550"
"151","Medtr1g047400"
"152","Medtr1g047610"
"153","Medtr1g047720"
"154","Medtr1g048710"
"155","Medtr1g050458"
"156","Medtr1g050550"
"157","Medtr1g051075"
"158","Medtr1g052100"
"159","Medtr1g052120"
"160","Medtr1g052855"
"161","Medtr1g052885"
"162","Medtr1g053560"
"163","Medtr1g053900"
"164","Medtr1g053970"
"165","Medtr1g054270"
"166","Medtr1g054965"
"167","Medtr1g055135"
"168","Medtr1g056640"
"169","Medtr1g056870"
"170","Medtr1g056880"
"171","Medtr1g056910"
"172","Medtr1g057290"
"173","Medtr1g057790"
"174","Medtr1g058260"
"175","Medtr1g059080"
"176","Medtr1g059720"
"177","Medtr1g059830"
"178","Medtr1g059860"
"179","Medtr1g060040"
"180","Medtr1g060360"
"181","Medtr1g060520"
"182","Medtr1g060590"
"183","Medtr1g060740"
"184","Medtr1g061120"
