"","x"
"1","Medtr0197s0020"
"2","Medtr1995s0010"
"3","Medtr1g008195"
"4","Medtr1g018280"
"5","Medtr1g019720"
"6","Medtr1g031440"
"7","Medtr1g036390"
"8","Medtr1g050382"
"9","Medtr1g087760"
"10","Medtr1g088880"
"11","Medtr1g112370"
"12","Medtr2g013950"
"13","Medtr2g028420"
"14","Medtr2g037980"
"15","Medtr2g069700"
"16","Medtr2g081110"
"17","Medtr2g101640"
"18","Medtr2g102730"
"19","Medtr3g022810"
"20","Medtr3g063120"
"21","Medtr3g079640"
"22","Medtr3g079820"
"23","Medtr3g109820"
"24","Medtr3g111950"
"25","Medtr3g463300"
"26","Medtr3g465090"
"27","Medtr4g010880"
"28","Medtr4g029630"
"29","Medtr4g032885"
"30","Medtr4g043720"
"31","Medtr4g050490"
"32","Medtr4g050860"
"33","Medtr4g070060"
"34","Medtr4g078240"
"35","Medtr4g099200"
"36","Medtr4g105450"
"37","Medtr4g107510"
"38","Medtr4g109450"
"39","Medtr4g115290"
"40","Medtr4g123050"
"41","Medtr5g024270"
"42","Medtr5g038950"
"43","Medtr5g084790"
"44","Medtr5g089440"
"45","Medtr5g094460"
"46","Medtr5g094560"
"47","Medtr6g064980"
"48","Medtr6g080560"
"49","Medtr6g082860"
"50","Medtr6g088475"
"51","Medtr6g486280"
"52","Medtr7g010930"
"53","Medtr7g012820"
"54","Medtr7g056403"
"55","Medtr7g056407"
"56","Medtr7g062920"
"57","Medtr7g084560"
"58","Medtr7g115300"
"59","Medtr7g115320"
"60","Medtr7g116510"
"61","Medtr8g006605"
"62","Medtr8g021180"
"63","Medtr8g031270"
"64","Medtr8g036110"
"65","Medtr8g063190"
"66","Medtr8g063450"
"67","Medtr8g092530"
"68","Medtr8g099695"
