"","x"
"1","Medtr0001s0560"
"2","Medtr0001s0660"
"3","Medtr0003s0580"
"4","Medtr0003s0690"
"5","Medtr0004s0440"
"6","Medtr0005s0210"
"7","Medtr0006s0300"
"8","Medtr0007s0140"
"9","Medtr0007s0390"
"10","Medtr0010s0050"
"11","Medtr0015s0030"
"12","Medtr0015s0090"
"13","Medtr0018s0220"
"14","Medtr0021s0160"
"15","Medtr0037s0250"
"16","Medtr0041s0130"
"17","Medtr0045s0060"
"18","Medtr0052s0100"
"19","Medtr0055s0050"
"20","Medtr0055s0120"
"21","Medtr0056s0160"
"22","Medtr0078s0190"
"23","Medtr0082s0080"
"24","Medtr0087s0050"
"25","Medtr0087s0070"
"26","Medtr0091s0070"
"27","Medtr0097s0070"
"28","Medtr0115s0020"
"29","Medtr0131s0030"
"30","Medtr0135s0080"
"31","Medtr0171s0010"
"32","Medtr0174s0090"
"33","Medtr0181s0020"
"34","Medtr0184s0010"
"35","Medtr0193s0090"
"36","Medtr0197s0070"
"37","Medtr0199s0020"
"38","Medtr0212s0020"
"39","Medtr0212s0070"
"40","Medtr0219s0050"
"41","Medtr0237s0070"
"42","Medtr0294s0020"
"43","Medtr0390s0010"
"44","Medtr0391s0020"
"45","Medtr0406s0030"
"46","Medtr0419s0040"
"47","Medtr0419s0050"
"48","Medtr0428s0020"
"49","Medtr0428s0030"
"50","Medtr0531s0020"
"51","Medtr0602s0010"
"52","Medtr0608s0010"
"53","Medtr0685s0030"
"54","Medtr0775s0020"
"55","Medtr0874s0020"
"56","Medtr1064s0010"
"57","Medtr1157s0010"
"58","Medtr1g006975"
"59","Medtr1g007157"
"60","Medtr1g007190"
"61","Medtr1g007850"
"62","Medtr1g007990"
"63","Medtr1g009830"
"64","Medtr1g010190"
"65","Medtr1g011320"
"66","Medtr1g011740"
"67","Medtr1g012010"
"68","Medtr1g012410"
"69","Medtr1g013150"
"70","Medtr1g013670"
"71","Medtr1g015140"
"72","Medtr1g015540"
"73","Medtr1g015960"
