"","x"
"1","Medtr0001s0360"
"2","Medtr0005s0110"
"3","Medtr0005s0160"
"4","Medtr0009s0080"
"5","Medtr0010s0390"
"6","Medtr0011s0310"
"7","Medtr0036s0050"
"8","Medtr0042s0030"
"9","Medtr0047s0030"
"10","Medtr0052s0130"
"11","Medtr0055s0090"
"12","Medtr0055s0110"
"13","Medtr0069s0050"
"14","Medtr0135s0090"
"15","Medtr0173s0020"
"16","Medtr0242s0050"
"17","Medtr0254s0060"
"18","Medtr0257s0060"
"19","Medtr0328s0030"
"20","Medtr0419s0010"
"21","Medtr1g006650"
"22","Medtr1g006990"
"23","Medtr1g009030"
"24","Medtr1g009410"
"25","Medtr1g009900"
"26","Medtr1g010210"
"27","Medtr1g012710"
"28","Medtr1g013090"
"29","Medtr1g014450"
"30","Medtr1g018740"
"31","Medtr1g019190"
"32","Medtr1g019320"
"33","Medtr1g021540"
"34","Medtr1g022465"
"35","Medtr1g023170"
"36","Medtr1g023570"
"37","Medtr1g024970"
"38","Medtr1g026430"
"39","Medtr1g027490"
"40","Medtr1g028630"
"41","Medtr1g032250"
"42","Medtr1g036680"
"43","Medtr1g037600"
"44","Medtr1g038890"
"45","Medtr1g042360"
"46","Medtr1g043730"
"47","Medtr1g044480"
"48","Medtr1g051310"
"49","Medtr1g053260"
"50","Medtr1g057220"
"51","Medtr1g058260"
"52","Medtr1g060310"
"53","Medtr1g062350"
"54","Medtr1g064620"
"55","Medtr1g066380"
"56","Medtr1g066640"
"57","Medtr1g067170"
"58","Medtr1g069175"
"59","Medtr1g070015"
"60","Medtr1g070205"
"61","Medtr1g070385"
"62","Medtr1g071120"
"63","Medtr1g072460"
"64","Medtr1g074060"
"65","Medtr1g075030"
"66","Medtr1g075180"
"67","Medtr1g079520"
"68","Medtr1g082220"
"69","Medtr1g082260"
"70","Medtr1g083070"
"71","Medtr1g084900"
"72","Medtr1g086460"
"73","Medtr1g086530"
"74","Medtr1g087740"
"75","Medtr1g089960"
"76","Medtr1g090020"
"77","Medtr1g090770"
"78","Medtr1g090930"
"79","Medtr1g090943"
"80","Medtr1g095500"
"81","Medtr1g098230"
"82","Medtr1g098550"
"83","Medtr1g098620"
"84","Medtr1g100050"
"85","Medtr1g100663"
"86","Medtr1g100910"
"87","Medtr1g102070"
"88","Medtr1g102730"
"89","Medtr1g102860"
"90","Medtr1g105040"
"91","Medtr1g105850"
"92","Medtr1g108460"
"93","Medtr1g109190"
"94","Medtr1g111280"
"95","Medtr1g111880"
"96","Medtr1g112680"
"97","Medtr1g115390"
"98","Medtr1g116970"
"99","Medtr1g442860"
"100","Medtr1g492820"
"101","Medtr2g008580"
"102","Medtr2g009200"
"103","Medtr2g010120"
"104","Medtr2g010580"
"105","Medtr2g010590"
"106","Medtr2g012800"
"107","Medtr2g013190"
"108","Medtr2g014400"
"109","Medtr2g015470"
"110","Medtr2g017570"
"111","Medtr2g017805"
"112","Medtr2g018430"
"113","Medtr2g019170"
"114","Medtr2g019575"
"115","Medtr2g020470"
"116","Medtr2g023390"
"117","Medtr2g023600"
"118","Medtr2g024010"
"119","Medtr2g024030"
"120","Medtr2g024050"
"121","Medtr2g026920"
"122","Medtr2g027540"
"123","Medtr2g028855"
"124","Medtr2g030100"
"125","Medtr2g033170"
"126","Medtr2g033580"
"127","Medtr2g034030"
"128","Medtr2g035610"
"129","Medtr2g037345"
"130","Medtr2g037380"
"131","Medtr2g040140"
"132","Medtr2g040375"
"133","Medtr2g043200"
"134","Medtr2g045120"
"135","Medtr2g047968"
"136","Medtr2g048610"
"137","Medtr2g049530"
"138","Medtr2g055480"
"139","Medtr2g056060"
"140","Medtr2g062370"
"141","Medtr2g062865"
"142","Medtr2g064025"
"143","Medtr2g064690"
"144","Medtr2g067440"
"145","Medtr2g072800"
"146","Medtr2g073600"
