"","x"
"1","Medtr0001s0070"
"2","Medtr0001s0100"
"3","Medtr0001s0190"
"4","Medtr0001s0200"
"5","Medtr0001s0260"
"6","Medtr0001s0380"
"7","Medtr0001s0480"
"8","Medtr0001s0500"
"9","Medtr0001s0510"
"10","Medtr0001s0560"
"11","Medtr0001s0580"
"12","Medtr0001s0700"
"13","Medtr0002s0030"
"14","Medtr0002s0040"
"15","Medtr0002s0050"
"16","Medtr0002s0070"
"17","Medtr0002s0100"
"18","Medtr0002s0110"
"19","Medtr0002s0120"
"20","Medtr0002s0140"
"21","Medtr0002s0150"
"22","Medtr0002s0160"
"23","Medtr0002s0170"
"24","Medtr0002s0180"
"25","Medtr0002s0200"
"26","Medtr0002s0210"
"27","Medtr0002s0250"
"28","Medtr0002s0260"
"29","Medtr0002s0280"
"30","Medtr0002s0300"
"31","Medtr0002s0310"
"32","Medtr0002s0330"
"33","Medtr0002s0350"
"34","Medtr0002s0360"
"35","Medtr0002s0380"
"36","Medtr0002s0390"
"37","Medtr0002s0420"
"38","Medtr0002s0440"
"39","Medtr0002s0510"
"40","Medtr0002s0530"
"41","Medtr0002s0540"
"42","Medtr0002s0550"
"43","Medtr0002s0580"
"44","Medtr0002s0590"
"45","Medtr0002s0630"
"46","Medtr0002s0650"
"47","Medtr0002s0660"
"48","Medtr0002s0670"
"49","Medtr0002s0680"
"50","Medtr0002s0690"
"51","Medtr0002s0700"
"52","Medtr0002s0730"
"53","Medtr0002s0740"
"54","Medtr0002s0750"
"55","Medtr0002s0760"
"56","Medtr0002s0770"
"57","Medtr0002s0780"
"58","Medtr0002s0790"
"59","Medtr0002s0800"
"60","Medtr0002s0860"
"61","Medtr0002s0870"
"62","Medtr0002s0880"
"63","Medtr0002s0960"
"64","Medtr0002s0990"
"65","Medtr0002s1180"
"66","Medtr0002s1220"
"67","Medtr0002s1240"
"68","Medtr0002s1260"
"69","Medtr0002s1280"
"70","Medtr0003s0010"
"71","Medtr0003s0070"
"72","Medtr0003s0080"
"73","Medtr0003s0130"
"74","Medtr0003s0160"
"75","Medtr0003s0180"
"76","Medtr0003s0210"
"77","Medtr0003s0250"
"78","Medtr0003s0260"
"79","Medtr0003s0280"
"80","Medtr0003s0290"
"81","Medtr0003s0390"
"82","Medtr0003s0410"
"83","Medtr0003s0430"
"84","Medtr0003s0460"
"85","Medtr0003s0530"
"86","Medtr0004s0190"
"87","Medtr0004s0260"
"88","Medtr0004s0300"
"89","Medtr0004s0350"
"90","Medtr0004s0360"
"91","Medtr0004s0450"
"92","Medtr0004s0530"
"93","Medtr0005s0070"
"94","Medtr0005s0140"
"95","Medtr0005s0150"
"96","Medtr0005s0240"
"97","Medtr0005s0250"
"98","Medtr0005s0260"
"99","Medtr0006s0020"
"100","Medtr0006s0180"
"101","Medtr0006s0210"
"102","Medtr0006s0260"
"103","Medtr0006s0290"
"104","Medtr0007s0010"
"105","Medtr0007s0030"
"106","Medtr0007s0040"
"107","Medtr0007s0070"
"108","Medtr0007s0150"
"109","Medtr0007s0160"
"110","Medtr0007s0250"
"111","Medtr0007s0290"
"112","Medtr0007s0310"
"113","Medtr0007s0320"
"114","Medtr0007s0410"
"115","Medtr0007s0440"
"116","Medtr0007s0450"
"117","Medtr0007s0480"
"118","Medtr0007s0520"
"119","Medtr0008s0030"
"120","Medtr0008s0060"
"121","Medtr0008s0110"
"122","Medtr0008s0120"
"123","Medtr0008s0130"
"124","Medtr0008s0160"
"125","Medtr0008s0170"
"126","Medtr0008s0180"
"127","Medtr0008s0210"
"128","Medtr0008s0230"
"129","Medtr0008s0310"
"130","Medtr0008s0340"
"131","Medtr0008s0430"
"132","Medtr0008s0460"
"133","Medtr0009s0040"
"134","Medtr0009s0150"
"135","Medtr0009s0270"
"136","Medtr0009s0290"
"137","Medtr0009s0340"
"138","Medtr0009s0350"
"139","Medtr0009s0490"
"140","Medtr0010s0110"
"141","Medtr0010s0130"
"142","Medtr0010s0190"
"143","Medtr0010s0200"
"144","Medtr0010s0270"
"145","Medtr0010s0290"
"146","Medtr0010s0310"
"147","Medtr0010s0320"
"148","Medtr0010s0350"
"149","Medtr0010s0360"
"150","Medtr0010s0370"
"151","Medtr0011s0100"
"152","Medtr0011s0210"
"153","Medtr0011s0270"
"154","Medtr0012s0070"
"155","Medtr0012s0140"
"156","Medtr0012s0160"
"157","Medtr0012s0170"
"158","Medtr0012s0220"
"159","Medtr0012s0240"
"160","Medtr0012s0280"
"161","Medtr0013s0060"
"162","Medtr0013s0070"
"163","Medtr0013s0080"
"164","Medtr0013s0130"
"165","Medtr0013s0190"
"166","Medtr0013s0270"
"167","Medtr0013s0290"
"168","Medtr0013s0330"
"169","Medtr0013s0400"
"170","Medtr0014s0010"
"171","Medtr0014s0110"
"172","Medtr0014s0120"
"173","Medtr0014s0140"
"174","Medtr0014s0150"
"175","Medtr0014s0220"
"176","Medtr0014s0350"
"177","Medtr0014s0390"
"178","Medtr0014s0410"
"179","Medtr0014s0420"
"180","Medtr0014s0490"
"181","Medtr0015s0020"
