"","x"
"1","Medtr0006s0110"
"2","Medtr0009s0020"
"3","Medtr0012s0110"
"4","Medtr0032s0060"
"5","Medtr0036s0010"
"6","Medtr0036s0250"
"7","Medtr0050s0160"
"8","Medtr0054s0140"
"9","Medtr0063s0090"
"10","Medtr0067s0070"
"11","Medtr0082s0260"
"12","Medtr0082s0280"
"13","Medtr0086s0060"
"14","Medtr0090s0020"
"15","Medtr0103s0100"
"16","Medtr0121s0010"
"17","Medtr0136s0010"
"18","Medtr0148s0050"
"19","Medtr0170s0020"
"20","Medtr0198s0030"
"21","Medtr0224s0030"
"22","Medtr0232s0030"
"23","Medtr0276s0010"
"24","Medtr0295s0020"
"25","Medtr0370s0010"
"26","Medtr0393s0040"
"27","Medtr0475s0040"
"28","Medtr0511s0020"
"29","Medtr1091s0010"
"30","Medtr1918s0010"
"31","Medtr1g006590"
"32","Medtr1g007740"
"33","Medtr1g009690"
"34","Medtr1g010020"
"35","Medtr1g010050"
"36","Medtr1g011280"
"37","Medtr1g012840"
"38","Medtr1g013120"
"39","Medtr1g014220"
"40","Medtr1g015120"
"41","Medtr1g016300"
"42","Medtr1g019285"
"43","Medtr1g019340"
"44","Medtr1g021460"
"45","Medtr1g021652"
"46","Medtr1g021680"
"47","Medtr1g021965"
"48","Medtr1g022045"
"49","Medtr1g022150"
"50","Medtr1g022355"
"51","Medtr1g023070"
"52","Medtr1g023500"
"53","Medtr1g023510"
"54","Medtr1g024860"
"55","Medtr1g025500"
"56","Medtr1g025610"
"57","Medtr1g026290"
"58","Medtr1g027020"
"59","Medtr1g027680"
"60","Medtr1g028020"
"61","Medtr1g029730"
"62","Medtr1g029800"
"63","Medtr1g030295"
"64","Medtr1g031460"
"65","Medtr1g031910"
"66","Medtr1g032500"
"67","Medtr1g033080"
"68","Medtr1g033090"
"69","Medtr1g033130"
"70","Medtr1g033810"
"71","Medtr1g033960"
"72","Medtr1g034260"
"73","Medtr1g034480"
"74","Medtr1g035010"
"75","Medtr1g035330"
"76","Medtr1g035540"
"77","Medtr1g037020"
"78","Medtr1g037150"
"79","Medtr1g037310"
"80","Medtr1g037450"
"81","Medtr1g038920"
"82","Medtr1g040315"
"83","Medtr1g040545"
"84","Medtr1g041020"
"85","Medtr1g041240"
"86","Medtr1g041515"
"87","Medtr1g041550"
"88","Medtr1g042730"
"89","Medtr1g042800"
"90","Medtr1g044210"
"91","Medtr1g045065"
"92","Medtr1g046200"
"93","Medtr1g046580"
"94","Medtr1g046730"
"95","Medtr1g047180"
"96","Medtr1g048470"
"97","Medtr1g049170"
"98","Medtr1g050855"
"99","Medtr1g051085"
"100","Medtr1g051585"
"101","Medtr1g052115"
"102","Medtr1g052405"
"103","Medtr1g053070"
"104","Medtr1g053510"
"105","Medtr1g053900"
"106","Medtr1g054535"
"107","Medtr1g054840"
"108","Medtr1g055080"
"109","Medtr1g055145"
"110","Medtr1g055255"
"111","Medtr1g056490"
"112","Medtr1g056800"
"113","Medtr1g056870"
"114","Medtr1g059660"
"115","Medtr1g059720"
"116","Medtr1g060310"
"117","Medtr1g061050"
"118","Medtr1g061190"
"119","Medtr1g061220"
"120","Medtr1g062200"
"121","Medtr1g063100"
"122","Medtr1g063120"
"123","Medtr1g064750"
"124","Medtr1g066810"
"125","Medtr1g068825"
"126","Medtr1g068865"
"127","Medtr1g069005"
"128","Medtr1g069325"
"129","Medtr1g069430"
"130","Medtr1g069450"
"131","Medtr1g069630"
"132","Medtr1g070070"
"133","Medtr1g070960"
"134","Medtr1g072280"
"135","Medtr1g072580"
"136","Medtr1g072720"
"137","Medtr1g073300"
"138","Medtr1g073760"
"139","Medtr1g075250"
"140","Medtr1g075520"
"141","Medtr1g078070"
"142","Medtr1g079460"
"143","Medtr1g080475"
"144","Medtr1g081280"
"145","Medtr1g082300"
"146","Medtr1g082730"
"147","Medtr1g082950"
"148","Medtr1g083040"
"149","Medtr1g083380"
"150","Medtr1g083390"
"151","Medtr1g083420"
"152","Medtr1g083700"
"153","Medtr1g084080"
"154","Medtr1g086900"
"155","Medtr1g086950"
"156","Medtr1g087120"
"157","Medtr1g087300"
"158","Medtr1g088750"
"159","Medtr1g090250"
"160","Medtr1g090683"
"161","Medtr1g090690"
"162","Medtr1g090697"
"163","Medtr1g090703"
"164","Medtr1g091840"
"165","Medtr1g093100"
"166","Medtr1g093850"
"167","Medtr1g093900"
"168","Medtr1g095145"
"169","Medtr1g095550"
"170","Medtr1g097440"
"171","Medtr1g098450"
"172","Medtr1g098690"
"173","Medtr1g098737"
"174","Medtr1g099000"
"175","Medtr1g099320"
"176","Medtr1g099600"
"177","Medtr1g100970"
"178","Medtr1g102335"
"179","Medtr1g102710"
"180","Medtr1g102840"
"181","Medtr1g104680"
