"","x"
"1","Medtr0174s0090"
"2","Medtr1g015540"
"3","Medtr1g018970"
"4","Medtr1g019370"
"5","Medtr1g022455"
"6","Medtr1g028160"
"7","Medtr1g057640"
"8","Medtr1g058120"
"9","Medtr1g067460"
"10","Medtr1g075450"
"11","Medtr1g085590"
"12","Medtr1g090810"
"13","Medtr1g098860"
"14","Medtr1g104980"
"15","Medtr2g008520"
"16","Medtr2g009330"
"17","Medtr2g035160"
"18","Medtr2g046820"
"19","Medtr2g062930"
"20","Medtr2g075640"
"21","Medtr2g078180"
"22","Medtr2g078790"
"23","Medtr2g090010"
"24","Medtr2g102545"
"25","Medtr2g438440"
"26","Medtr3g007780"
"27","Medtr3g008010"
"28","Medtr3g015110"
"29","Medtr3g033620"
"30","Medtr3g091230"
"31","Medtr3g101810"
"32","Medtr3g105540"
"33","Medtr3g108550"
"34","Medtr3g111840"
"35","Medtr3g449240"
"36","Medtr4g010720"
"37","Medtr4g019500"
"38","Medtr4g021820"
"39","Medtr4g023380"
"40","Medtr4g023640"
"41","Medtr4g050460"
"42","Medtr4g053420"
"43","Medtr4g054230"
"44","Medtr4g062270"
"45","Medtr4g082255"
"46","Medtr4g083410"
"47","Medtr4g088675"
"48","Medtr4g092070"
"49","Medtr4g131200"
"50","Medtr4g134330"
"51","Medtr5g035750"
"52","Medtr5g040440"
"53","Medtr5g054985"
"54","Medtr5g065623"
"55","Medtr5g070610"
"56","Medtr5g074070"
"57","Medtr5g084540"
"58","Medtr5g084900"
"59","Medtr5g092040"
"60","Medtr6g004340"
"61","Medtr6g015865"
"62","Medtr6g047590"
"63","Medtr6g053790"
"64","Medtr6g068780"
"65","Medtr6g070930"
"66","Medtr6g083810"
"67","Medtr7g021440"
"68","Medtr7g028735"
"69","Medtr7g059465"
"70","Medtr7g068150"
"71","Medtr7g068190"
"72","Medtr7g080123"
"73","Medtr7g096320"
"74","Medtr7g097130"
"75","Medtr7g112940"
"76","Medtr7g117455"
"77","Medtr7g117660"
"78","Medtr7g427700"
"79","Medtr7g446160"
"80","Medtr8g009560"
"81","Medtr8g016390"
"82","Medtr8g033350"
"83","Medtr8g036780"
"84","Medtr8g039795"
"85","Medtr8g070790"
"86","Medtr8g087980"
"87","Medtr8g096180"
"88","Medtr8g098240"
"89","Medtr8g106795"
