"","x"
"1","Medtr0018s0240"
"2","Medtr0042s0230"
"3","Medtr0043s0080"
"4","Medtr0082s0060"
"5","Medtr0082s0070"
"6","Medtr0082s0100"
"7","Medtr0094s0110"
"8","Medtr0135s0090"
"9","Medtr0219s0040"
"10","Medtr1236s0010"
"11","Medtr1g007190"
"12","Medtr1g007990"
"13","Medtr1g008230"
"14","Medtr1g010140"
"15","Medtr1g010210"
"16","Medtr1g013090"
"17","Medtr1g021380"
"18","Medtr1g021440"
"19","Medtr1g025450"
"20","Medtr1g030890"
"21","Medtr1g031470"
"22","Medtr1g032720"
"23","Medtr1g035250"
"24","Medtr1g038270"
"25","Medtr1g039090"
"26","Medtr1g041595"
"27","Medtr1g041745"
"28","Medtr1g043200"
"29","Medtr1g043610"
"30","Medtr1g047970"
"31","Medtr1g050512"
"32","Medtr1g051860"
"33","Medtr1g053570"
"34","Medtr1g058230"
"35","Medtr1g060830"
"36","Medtr1g061250"
"37","Medtr1g061860"
"38","Medtr1g062340"
"39","Medtr1g067320"
"40","Medtr1g070480"
"41","Medtr1g072260"
"42","Medtr1g072740"
"43","Medtr1g075470"
"44","Medtr1g076940"
"45","Medtr1g079270"
"46","Medtr1g079530"
"47","Medtr1g080472"
"48","Medtr1g081270"
"49","Medtr1g084210"
"50","Medtr1g085750"
"51","Medtr1g088925"
"52","Medtr1g093010"
"53","Medtr1g093090"
"54","Medtr1g093390"
"55","Medtr1g095580"
"56","Medtr1g100110"
"57","Medtr1g100603"
"58","Medtr1g100607"
"59","Medtr1g101710"
"60","Medtr1g102380"
"61","Medtr1g105580"
"62","Medtr1g106095"
"63","Medtr1g107390"
"64","Medtr1g110260"
"65","Medtr1g110930"
"66","Medtr1g113730"
"67","Medtr1g114330"
"68","Medtr2g007630"
"69","Medtr2g008440"
"70","Medtr2g009520"
"71","Medtr2g010590"
"72","Medtr2g010840"
"73","Medtr2g015330"
"74","Medtr2g017450"
"75","Medtr2g017550"
"76","Medtr2g017890"
"77","Medtr2g018175"
"78","Medtr2g018740"
"79","Medtr2g021480"
"80","Medtr2g022280"
"81","Medtr2g028855"
"82","Medtr2g029040"
"83","Medtr2g031810"
"84","Medtr2g034600"
"85","Medtr2g041070"
"86","Medtr2g044040"
"87","Medtr2g044210"
"88","Medtr2g045410"
"89","Medtr2g047838"
"90","Medtr2g048203"
"91","Medtr2g050180"
"92","Medtr2g060910"
"93","Medtr2g061450"
"94","Medtr2g067220"
"95","Medtr2g067240"
"96","Medtr2g074950"
"97","Medtr2g076460"
"98","Medtr2g078140"
"99","Medtr2g078770"
"100","Medtr2g082010"
"101","Medtr2g083260"
"102","Medtr2g084400"
"103","Medtr2g088900"
"104","Medtr2g090255"
"105","Medtr2g090555"
"106","Medtr2g091170"
"107","Medtr2g093230"
"108","Medtr2g100070"
"109","Medtr2g101610"
"110","Medtr2g102545"
"111","Medtr2g103620"
"112","Medtr2g104065"
"113","Medtr2g436030"
"114","Medtr2g436150"
"115","Medtr2g449780"
"116","Medtr3g007650"
"117","Medtr3g007830"
"118","Medtr3g008820"
"119","Medtr3g011940"
"120","Medtr3g014620"
"121","Medtr3g019490"
"122","Medtr3g023230"
"123","Medtr3g034640"
"124","Medtr3g045720"
"125","Medtr3g046330"
"126","Medtr3g051060"
"127","Medtr3g051460"
"128","Medtr3g052290"
"129","Medtr3g053220"
"130","Medtr3g058440"
"131","Medtr3g058710"
"132","Medtr3g061370"
"133","Medtr3g063070"
"134","Medtr3g064900"
"135","Medtr3g067615"
"136","Medtr3g068035"
"137","Medtr3g068085"
"138","Medtr3g077460"
"139","Medtr3g080260"
"140","Medtr3g081610"
"141","Medtr3g082890"
"142","Medtr3g084150"
"143","Medtr3g084210"
"144","Medtr3g088745"
"145","Medtr3g093290"
"146","Medtr3g093650"
"147","Medtr3g100600"
"148","Medtr3g101510"
"149","Medtr3g105510"
"150","Medtr3g105540"
"151","Medtr3g107280"
"152","Medtr3g108560"
"153","Medtr3g108790"
"154","Medtr3g109470"
"155","Medtr3g111150"
"156","Medtr3g111580"
"157","Medtr3g112330"
