"","x"
"1","Medtr0001s0360"
"2","Medtr0002s1270"
"3","Medtr0003s0690"
"4","Medtr0005s0110"
"5","Medtr0005s0160"
"6","Medtr0010s0390"
"7","Medtr0014s0250"
"8","Medtr0015s0140"
"9","Medtr0019s0320"
"10","Medtr0032s0030"
"11","Medtr0042s0030"
"12","Medtr0042s0130"
"13","Medtr0047s0030"
"14","Medtr0047s0140"
"15","Medtr0049s0070"
"16","Medtr0050s0010"
"17","Medtr0050s0130"
"18","Medtr0052s0060"
"19","Medtr0052s0130"
"20","Medtr0053s0020"
"21","Medtr0055s0090"
"22","Medtr0055s0110"
"23","Medtr0055s0140"
"24","Medtr0067s0010"
"25","Medtr0082s0030"
"26","Medtr0082s0230"
"27","Medtr0087s0040"
"28","Medtr0089s0070"
"29","Medtr0094s0120"
"30","Medtr0100s0170"
"31","Medtr0129s0120"
"32","Medtr0135s0090"
"33","Medtr0137s0060"
"34","Medtr0171s0010"
"35","Medtr0173s0020"
"36","Medtr0187s0080"
"37","Medtr0191s0030"
"38","Medtr0194s0050"
"39","Medtr0242s0050"
"40","Medtr0254s0060"
"41","Medtr0318s0020"
"42","Medtr0328s0030"
"43","Medtr0360s0010"
"44","Medtr0406s0030"
"45","Medtr0419s0010"
"46","Medtr0428s0010"
"47","Medtr0468s0010"
"48","Medtr0536s0010"
"49","Medtr1194s0010"
"50","Medtr1372s0010"
"51","Medtr1g006650"
"52","Medtr1g007195"
"53","Medtr1g007370"
"54","Medtr1g008220"
"55","Medtr1g009030"
"56","Medtr1g009410"
"57","Medtr1g009900"
"58","Medtr1g011690"
"59","Medtr1g011710"
"60","Medtr1g012430"
"61","Medtr1g012470"
"62","Medtr1g013030"
"63","Medtr1g013090"
"64","Medtr1g013580"
"65","Medtr1g013700"
"66","Medtr1g014060"
"67","Medtr1g014180"
"68","Medtr1g014450"
"69","Medtr1g015020"
"70","Medtr1g016620"
"71","Medtr1g018510"
"72","Medtr1g018610"
"73","Medtr1g018640"
"74","Medtr1g018740"
"75","Medtr1g018830"
"76","Medtr1g019190"
"77","Medtr1g019250"
"78","Medtr1g019320"
"79","Medtr1g019440"
"80","Medtr1g019480"
"81","Medtr1g021435"
"82","Medtr1g021540"
"83","Medtr1g021642"
"84","Medtr1g022465"
"85","Medtr1g022495"
"86","Medtr1g022500"
"87","Medtr1g023170"
"88","Medtr1g024970"
"89","Medtr1g025140"
"90","Medtr1g025200"
"91","Medtr1g025720"
"92","Medtr1g026100"
"93","Medtr1g026160"
"94","Medtr1g026430"
"95","Medtr1g026830"
"96","Medtr1g026850"
"97","Medtr1g027370"
"98","Medtr1g027380"
"99","Medtr1g027470"
"100","Medtr1g027490"
"101","Medtr1g027600"
"102","Medtr1g027840"
"103","Medtr1g028370"
"104","Medtr1g028630"
"105","Medtr1g028680"
"106","Medtr1g031280"
"107","Medtr1g031530"
"108","Medtr1g031535"
"109","Medtr1g031740"
"110","Medtr1g031780"
"111","Medtr1g032200"
"112","Medtr1g032250"
"113","Medtr1g032290"
"114","Medtr1g034060"
"115","Medtr1g034450"
"116","Medtr1g035250"
"117","Medtr1g036680"
"118","Medtr1g037600"
"119","Medtr1g038530"
"120","Medtr1g038810"
"121","Medtr1g038820"
"122","Medtr1g038890"
"123","Medtr1g040435"
"124","Medtr1g041265"
"125","Medtr1g041735"
"126","Medtr1g042360"
"127","Medtr1g043180"
"128","Medtr1g043730"
"129","Medtr1g043775"
"130","Medtr1g043810"
"131","Medtr1g044105"
"132","Medtr1g044125"
"133","Medtr1g044480"
"134","Medtr1g045950"
"135","Medtr1g047800"
"136","Medtr1g048720"
"137","Medtr1g048750"
"138","Medtr1g048990"
"139","Medtr1g049070"
"140","Medtr1g050395"
"141","Medtr1g050520"
"142","Medtr1g051155"
"143","Medtr1g051175"
"144","Medtr1g052855"
"145","Medtr1g052970"
"146","Medtr1g053575"
"147","Medtr1g053970"
"148","Medtr1g055135"
"149","Medtr1g055175"
"150","Medtr1g056530"
"151","Medtr1g057020"
"152","Medtr1g057130"
"153","Medtr1g058260"
"154","Medtr1g058390"
"155","Medtr1g060310"
"156","Medtr1g060440"
"157","Medtr1g062190"
"158","Medtr1g062340"
"159","Medtr1g062350"
"160","Medtr1g062370"
"161","Medtr1g064235"
"162","Medtr1g064580"
"163","Medtr1g064620"
"164","Medtr1g066380"
"165","Medtr1g066640"
"166","Medtr1g066920"
"167","Medtr1g067170"
"168","Medtr1g067200"
"169","Medtr1g067330"
"170","Medtr1g069125"
"171","Medtr1g069175"
"172","Medtr1g069755"
"173","Medtr1g070020"
"174","Medtr1g070035"
"175","Medtr1g070140"
"176","Medtr1g070205"
"177","Medtr1g070385"
"178","Medtr1g070870"
"179","Medtr1g071350"
"180","Medtr1g071370"
"181","Medtr1g071540"
"182","Medtr1g072460"
"183","Medtr1g072640"
"184","Medtr1g073780"
"185","Medtr1g074060"
"186","Medtr1g074160"
"187","Medtr1g074930"
"188","Medtr1g075180"
"189","Medtr1g075550"
"190","Medtr1g075640"
"191","Medtr1g077210"
"192","Medtr1g077660"
"193","Medtr1g077760"
"194","Medtr1g077840"
"195","Medtr1g079270"
"196","Medtr1g079730"
"197","Medtr1g079830"
"198","Medtr1g080210"
"199","Medtr1g082220"
"200","Medtr1g082260"
"201","Medtr1g083070"
"202","Medtr1g083850"
"203","Medtr1g084230"
"204","Medtr1g084900"
"205","Medtr1g085700"
"206","Medtr1g086250"
"207","Medtr1g086460"
"208","Medtr1g086530"
"209","Medtr1g086585"
"210","Medtr1g087740"
"211","Medtr1g088680"
"212","Medtr1g088970"
"213","Medtr1g089500"
"214","Medtr1g089960"
"215","Medtr1g090020"
"216","Medtr1g090120"
"217","Medtr1g090480"
"218","Medtr1g090770"
"219","Medtr1g090930"
"220","Medtr1g090943"
"221","Medtr1g093020"
"222","Medtr1g093120"
"223","Medtr1g094010"
"224","Medtr1g094845"
"225","Medtr1g095165"
"226","Medtr1g095500"
"227","Medtr1g095703"
"228","Medtr1g096310"
"229","Medtr1g096580"
"230","Medtr1g098230"
"231","Medtr1g098320"
"232","Medtr1g098620"
"233","Medtr1g098737"
"234","Medtr1g099220"
"235","Medtr1g099630"
"236","Medtr1g100050"
"237","Medtr1g100110"
"238","Medtr1g100613"
"239","Medtr1g101830"
"240","Medtr1g101870"
"241","Medtr1g102070"
"242","Medtr1g102360"
"243","Medtr1g102410"
"244","Medtr1g102600"
"245","Medtr1g102860"
"246","Medtr1g102940"
"247","Medtr1g103730"
"248","Medtr1g104750"
"249","Medtr1g105040"
"250","Medtr1g105585"
"251","Medtr1g105820"
"252","Medtr1g105840"
"253","Medtr1g105850"
"254","Medtr1g105855"
"255","Medtr1g105860"
"256","Medtr1g105910"
"257","Medtr1g105955"
"258","Medtr1g106020"
"259","Medtr1g106095"
"260","Medtr1g106590"
"261","Medtr1g106860"
"262","Medtr1g106905"
"263","Medtr1g107475"
"264","Medtr1g108460"
"265","Medtr1g108800"
"266","Medtr1g109190"
"267","Medtr1g110230"
"268","Medtr1g110270"
"269","Medtr1g110410"
"270","Medtr1g110820"
"271","Medtr1g111180"
"272","Medtr1g111280"
"273","Medtr1g111300"
"274","Medtr1g111740"
"275","Medtr1g111880"
"276","Medtr1g112150"
"277","Medtr1g112660"
"278","Medtr1g112680"
"279","Medtr1g112830"
"280","Medtr1g112980"
"281","Medtr1g114010"
"282","Medtr1g114270"
"283","Medtr1g114330"
"284","Medtr1g115130"
"285","Medtr1g115285"
"286","Medtr1g115370"
"287","Medtr1g115390"
"288","Medtr1g115405"
"289","Medtr1g115940"
"290","Medtr1g116790"
"291","Medtr1g442860"
"292","Medtr1g492820"
"293","Medtr2g005240"
"294","Medtr2g007620"
"295","Medtr2g007630"
"296","Medtr2g007840"
"297","Medtr2g008100"
"298","Medtr2g008210"
"299","Medtr2g008380"
"300","Medtr2g008580"
"301","Medtr2g008650"
"302","Medtr2g008710"
"303","Medtr2g008730"
"304","Medtr2g009200"
"305","Medtr2g009310"
"306","Medtr2g010120"
"307","Medtr2g010370"
"308","Medtr2g010510"
"309","Medtr2g010590"
"310","Medtr2g010710"
"311","Medtr2g010840"
"312","Medtr2g011070"
"313","Medtr2g011820"
"314","Medtr2g011940"
"315","Medtr2g012800"
"316","Medtr2g014300"
"317","Medtr2g014400"
"318","Medtr2g014820"
"319","Medtr2g015470"
"320","Medtr2g015540"
"321","Medtr2g015887"
"322","Medtr2g015890"
"323","Medtr2g016050"
"324","Medtr2g016110"
"325","Medtr2g016490"
"326","Medtr2g017495"
"327","Medtr2g017570"
"328","Medtr2g017620"
"329","Medtr2g017785"
"330","Medtr2g018430"
"331","Medtr2g019170"
"332","Medtr2g019575"
"333","Medtr2g020510"
"334","Medtr2g020830"
"335","Medtr2g020850"
"336","Medtr2g021720"
"337","Medtr2g022190"
"338","Medtr2g022520"
"339","Medtr2g022710"
"340","Medtr2g022810"
