"","x"
"1","Medtr0004s0610"
"2","Medtr0008s0470"
"3","Medtr0013s0100"
"4","Medtr0019s0320"
"5","Medtr0025s0110"
"6","Medtr0036s0070"
"7","Medtr0043s0110"
"8","Medtr0047s0100"
"9","Medtr0048s0140"
"10","Medtr0052s0060"
"11","Medtr0052s0070"
"12","Medtr0052s0110"
"13","Medtr0055s0090"
"14","Medtr0066s0040"
"15","Medtr0069s0040"
"16","Medtr0069s0050"
"17","Medtr0087s0010"
"18","Medtr0129s0120"
"19","Medtr0153s0070"
"20","Medtr0182s0060"
"21","Medtr0185s0010"
"22","Medtr0189s0030"
"23","Medtr0205s0040"
"24","Medtr0339s0030"
"25","Medtr0433s0040"
"26","Medtr0493s0030"
"27","Medtr0571s0030"
"28","Medtr0658s0020"
"29","Medtr0927s0010"
"30","Medtr1142s0010"
"31","Medtr1588s0010"
"32","Medtr1g006600"
"33","Medtr1g006695"
"34","Medtr1g007580"
"35","Medtr1g007690"
"36","Medtr1g007950"
"37","Medtr1g008140"
"38","Medtr1g009720"
"39","Medtr1g009860"
"40","Medtr1g011630"
"41","Medtr1g013620"
"42","Medtr1g013680"
"43","Medtr1g013700"
"44","Medtr1g016540"
"45","Medtr1g016890"
"46","Medtr1g016950"
"47","Medtr1g017820"
"48","Medtr1g018280"
"49","Medtr1g019410"
"50","Medtr1g022105"
"51","Medtr1g023830"
"52","Medtr1g025370"
"53","Medtr1g025810"
"54","Medtr1g027570"
"55","Medtr1g027700"
"56","Medtr1g027920"
"57","Medtr1g027930"
"58","Medtr1g027940"
"59","Medtr1g028890"
"60","Medtr1g028980"
"61","Medtr1g029550"
"62","Medtr1g030480"
"63","Medtr1g031620"
"64","Medtr1g031710"
"65","Medtr1g033630"
"66","Medtr1g034250"
"67","Medtr1g035570"
"68","Medtr1g035650"
"69","Medtr1g036280"
"70","Medtr1g037590"
"71","Medtr1g039010"
"72","Medtr1g040810"
"73","Medtr1g040925"
"74","Medtr1g040965"
"75","Medtr1g041105"
"76","Medtr1g041310"
"77","Medtr1g042700"
"78","Medtr1g043030"
"79","Medtr1g045510"
"80","Medtr1g046620"
"81","Medtr1g046810"
"82","Medtr1g047190"
"83","Medtr1g047640"
"84","Medtr1g047940"
"85","Medtr1g049210"
"86","Medtr1g050395"
"87","Medtr1g050875"
"88","Medtr1g051685"
"89","Medtr1g051700"
"90","Medtr1g052185"
"91","Medtr1g052560"
"92","Medtr1g053260"
"93","Medtr1g054210"
"94","Medtr1g054635"
"95","Medtr1g054865"
"96","Medtr1g059930"
"97","Medtr1g061550"
"98","Medtr1g062630"
"99","Medtr1g062650"
"100","Medtr1g069915"
"101","Medtr1g070355"
"102","Medtr1g070400"
"103","Medtr1g072440"
"104","Medtr1g073720"
"105","Medtr1g073990"
"106","Medtr1g074030"
"107","Medtr1g074930"
"108","Medtr1g076370"
"109","Medtr1g076850"
"110","Medtr1g076920"
"111","Medtr1g077000"
"112","Medtr1g077020"
"113","Medtr1g077140"
"114","Medtr1g077230"
"115","Medtr1g077520"
"116","Medtr1g077540"
"117","Medtr1g078000"
"118","Medtr1g078420"
"119","Medtr1g079260"
"120","Medtr1g081290"
"121","Medtr1g082440"
"122","Medtr1g083620"
"123","Medtr1g083770"
"124","Medtr1g083983"
"125","Medtr1g085090"
"126","Medtr1g086210"
"127","Medtr1g086220"
"128","Medtr1g086790"
"129","Medtr1g086880"
"130","Medtr1g087030"
"131","Medtr1g087710"
"132","Medtr1g088945"
"133","Medtr1g089180"
"134","Medtr1g089280"
"135","Medtr1g089820"
"136","Medtr1g090120"
"137","Medtr1g090200"
"138","Medtr1g090230"
"139","Medtr1g090663"
"140","Medtr1g090690"
"141","Medtr1g090737"
"142","Medtr1g090990"
"143","Medtr1g092460"
"144","Medtr1g092630"
"145","Medtr1g092870"
"146","Medtr1g093110"
"147","Medtr1g094205"
"148","Medtr1g095030"
"149","Medtr1g095850"
"150","Medtr1g096030"
"151","Medtr1g096820"
"152","Medtr1g097110"
"153","Medtr1g098160"
"154","Medtr1g099085"
"155","Medtr1g099240"
"156","Medtr1g099250"
"157","Medtr1g099520"
"158","Medtr1g099580"
"159","Medtr1g099630"
"160","Medtr1g100060"
"161","Medtr1g100230"
"162","Medtr1g101400"
"163","Medtr1g102410"
"164","Medtr1g103200"
"165","Medtr1g104960"
"166","Medtr1g105545"
"167","Medtr1g109240"
"168","Medtr1g109410"
"169","Medtr1g109510"
"170","Medtr1g112160"
"171","Medtr1g112350"
"172","Medtr1g115315"
"173","Medtr1g116010"
"174","Medtr1g116205"
"175","Medtr1g442780"
"176","Medtr1g484970"
"177","Medtr2g007100"
"178","Medtr2g007890"
"179","Medtr2g008560"
"180","Medtr2g008740"
"181","Medtr2g010160"
"182","Medtr2g010530"
"183","Medtr2g010690"
"184","Medtr2g010935"
"185","Medtr2g011230"
"186","Medtr2g011240"
"187","Medtr2g011340"
"188","Medtr2g013190"
"189","Medtr2g014300"
"190","Medtr2g015290"
"191","Medtr2g015920"
"192","Medtr2g016510"
"193","Medtr2g016580"
"194","Medtr2g020470"
"195","Medtr2g020540"
"196","Medtr2g021248"
"197","Medtr2g021540"
"198","Medtr2g021630"
"199","Medtr2g022240"
"200","Medtr2g022330"
"201","Medtr2g023380"
"202","Medtr2g024140"
"203","Medtr2g025520"
"204","Medtr2g028170"
"205","Medtr2g028340"
"206","Medtr2g030440"
"207","Medtr2g031700"
"208","Medtr2g032710"
"209","Medtr2g032860"
"210","Medtr2g037620"
"211","Medtr2g038580"
"212","Medtr2g039950"
"213","Medtr2g040370"
"214","Medtr2g041170"
"215","Medtr2g041990"
"216","Medtr2g043890"
"217","Medtr2g044120"
"218","Medtr2g048720"
"219","Medtr2g049980"
"220","Medtr2g054670"
"221","Medtr2g054770"
"222","Medtr2g058470"
"223","Medtr2g061030"
"224","Medtr2g061200"
"225","Medtr2g063110"
"226","Medtr2g064470"
"227","Medtr2g064495"
"228","Medtr2g066980"
"229","Medtr2g067200"
"230","Medtr2g068760"
"231","Medtr2g070130"
"232","Medtr2g071870"
"233","Medtr2g072270"
"234","Medtr2g076140"
"235","Medtr2g076210"
"236","Medtr2g077990"
"237","Medtr2g078260"
"238","Medtr2g078780"
"239","Medtr2g078870"
"240","Medtr2g079050"
"241","Medtr2g079100"
"242","Medtr2g079120"
"243","Medtr2g081630"
"244","Medtr2g084010"
"245","Medtr2g084110"
"246","Medtr2g085135"
"247","Medtr2g086277"
"248","Medtr2g086310"
"249","Medtr2g086850"
"250","Medtr2g087470"
"251","Medtr2g088010"
"252","Medtr2g088170"
"253","Medtr2g088760"
"254","Medtr2g090185"
"255","Medtr2g090250"
"256","Medtr2g090270"
"257","Medtr2g090330"
"258","Medtr2g090815"
"259","Medtr2g093790"
"260","Medtr2g094020"
"261","Medtr2g094450"
"262","Medtr2g096510"
"263","Medtr2g097310"
"264","Medtr2g099105"
"265","Medtr2g099790"
"266","Medtr2g101330"
"267","Medtr2g102355"
"268","Medtr2g103640"
"269","Medtr2g103795"
"270","Medtr2g105480"
"271","Medtr2g105690"
"272","Medtr2g426070"
"273","Medtr2g436040"
"274","Medtr2g437580"
"275","Medtr2g438160"
"276","Medtr2g450250"
"277","Medtr3g005530"
"278","Medtr3g008700"
"279","Medtr3g010260"
"280","Medtr3g011650"
"281","Medtr3g011890"
"282","Medtr3g013460"
"283","Medtr3g014790"
"284","Medtr3g015100"
"285","Medtr3g016215"
"286","Medtr3g017495"
"287","Medtr3g017590"
"288","Medtr3g018640"
"289","Medtr3g018970"
"290","Medtr3g019240"
"291","Medtr3g020640"
"292","Medtr3g020990"
"293","Medtr3g023315"
"294","Medtr3g023760"
"295","Medtr3g025300"
"296","Medtr3g026020"
"297","Medtr3g026660"
"298","Medtr3g027130"
"299","Medtr3g027150"
"300","Medtr3g027380"
"301","Medtr3g028640"
"302","Medtr3g030355"
"303","Medtr3g031000"
"304","Medtr3g031520"
"305","Medtr3g033040"
"306","Medtr3g033810"
"307","Medtr3g033840"
"308","Medtr3g034410"
"309","Medtr3g034660"
"310","Medtr3g053000"
"311","Medtr3g055430"
"312","Medtr3g055600"
"313","Medtr3g057860"
"314","Medtr3g058230"
"315","Medtr3g058390"
"316","Medtr3g058400"
"317","Medtr3g058470"
"318","Medtr3g060860"
"319","Medtr3g060900"
"320","Medtr3g060990"
"321","Medtr3g061090"
"322","Medtr3g061885"
"323","Medtr3g063170"
"324","Medtr3g063230"
"325","Medtr3g064940"
"326","Medtr3g065160"
"327","Medtr3g065380"
"328","Medtr3g065730"
"329","Medtr3g066050"
"330","Medtr3g067415"
"331","Medtr3g067720"
"332","Medtr3g068070"
"333","Medtr3g069960"
"334","Medtr3g070130"
"335","Medtr3g070430"
"336","Medtr3g071440"
"337","Medtr3g071680"
"338","Medtr3g072070"
"339","Medtr3g072260"
"340","Medtr3g073640"
"341","Medtr3g073670"
"342","Medtr3g074410"
"343","Medtr3g075320"
"344","Medtr3g078170"
"345","Medtr3g078380"
"346","Medtr3g080850"
"347","Medtr3g082060"
"348","Medtr3g084670"
"349","Medtr3g084780"
"350","Medtr3g086160"
"351","Medtr3g088030"
"352","Medtr3g088435"
"353","Medtr3g088635"
"354","Medtr3g088785"
"355","Medtr3g088875"
"356","Medtr3g088885"
"357","Medtr3g089065"
"358","Medtr3g089973"
