"","x"
"1","Medtr0003s0190"
"2","Medtr0014s0440"
"3","Medtr0016s0060"
"4","Medtr0036s0310"
"5","Medtr0050s0130"
"6","Medtr0082s0030"
"7","Medtr0082s0250"
"8","Medtr0091s0080"
"9","Medtr0093s0090"
"10","Medtr0094s0020"
"11","Medtr0095s0120"
"12","Medtr0181s0030"
"13","Medtr0187s0080"
"14","Medtr0189s0040"
"15","Medtr0212s0060"
"16","Medtr0221s0030"
"17","Medtr0258s0040"
"18","Medtr0268s0040"
"19","Medtr0286s0040"
"20","Medtr0366s0020"
"21","Medtr0394s0020"
"22","Medtr0462s0020"
"23","Medtr0536s0030"
"24","Medtr0658s0030"
"25","Medtr0929s0020"
"26","Medtr1g007310"
"27","Medtr1g007380"
"28","Medtr1g008910"
"29","Medtr1g009950"
"30","Medtr1g011690"
"31","Medtr1g012170"
"32","Medtr1g012430"
"33","Medtr1g013760"
"34","Medtr1g014060"
"35","Medtr1g015020"
"36","Medtr1g015940"
"37","Medtr1g016310"
"38","Medtr1g016820"
"39","Medtr1g016960"
"40","Medtr1g017590"
"41","Medtr1g018830"
"42","Medtr1g018840"
"43","Medtr1g019005"
"44","Medtr1g019440"
"45","Medtr1g021010"
"46","Medtr1g022115"
"47","Medtr1g025150"
"48","Medtr1g026100"
"49","Medtr1g026760"
"50","Medtr1g026800"
"51","Medtr1g028060"
"52","Medtr1g029140"
"53","Medtr1g029380"
"54","Medtr1g030640"
"55","Medtr1g030680"
"56","Medtr1g031230"
"57","Medtr1g031740"
"58","Medtr1g032340"
"59","Medtr1g032630"
"60","Medtr1g032880"
"61","Medtr1g033280"
"62","Medtr1g033600"
"63","Medtr1g033670"
"64","Medtr1g034270"
"65","Medtr1g036870"
"66","Medtr1g039790"
"67","Medtr1g040063"
"68","Medtr1g041265"
"69","Medtr1g042260"
"70","Medtr1g042480"
"71","Medtr1g042735"
"72","Medtr1g044670"
"73","Medtr1g048600"
"74","Medtr1g050130"
"75","Medtr1g050640"
"76","Medtr1g051155"
"77","Medtr1g051570"
"78","Medtr1g052260"
"79","Medtr1g052530"
"80","Medtr1g053800"
"81","Medtr1g055415"
"82","Medtr1g056650"
"83","Medtr1g058390"
"84","Medtr1g059640"
"85","Medtr1g059820"
"86","Medtr1g060410"
"87","Medtr1g063240"
"88","Medtr1g064235"
"89","Medtr1g066710"
"90","Medtr1g068820"
"91","Medtr1g068860"
"92","Medtr1g068960"
"93","Medtr1g069240"
"94","Medtr1g069665"
"95","Medtr1g070035"
"96","Medtr1g070265"
"97","Medtr1g070345"
"98","Medtr1g070385"
"99","Medtr1g071540"
"100","Medtr1g072140"
"101","Medtr1g072400"
"102","Medtr1g072480"
"103","Medtr1g074410"
"104","Medtr1g075360"
"105","Medtr1g076180"
"106","Medtr1g077560"
"107","Medtr1g078150"
"108","Medtr1g078160"
"109","Medtr1g078370"
"110","Medtr1g079375"
"111","Medtr1g079630"
"112","Medtr1g080320"
"113","Medtr1g081620"
"114","Medtr1g081780"
"115","Medtr1g082475"
"116","Medtr1g083640"
"117","Medtr1g085190"
"118","Medtr1g085440"
"119","Medtr1g085480"
"120","Medtr1g085600"
"121","Medtr1g086050"
"122","Medtr1g086840"
"123","Medtr1g088430"
"124","Medtr1g088630"
"125","Medtr1g089110"
"126","Medtr1g090010"
"127","Medtr1g090707"
"128","Medtr1g092970"
"129","Medtr1g095260"
"130","Medtr1g095440"
"131","Medtr1g096290"
"132","Medtr1g099430"
"133","Medtr1g099480"
"134","Medtr1g099500"
"135","Medtr1g101760"
"136","Medtr1g102770"
"137","Medtr1g103750"
"138","Medtr1g103840"
"139","Medtr1g104590"
"140","Medtr1g105460"
"141","Medtr1g105515"
"142","Medtr1g105650"
"143","Medtr1g105955"
"144","Medtr1g107065"
"145","Medtr1g107385"
"146","Medtr1g107475"
"147","Medtr1g107580"
"148","Medtr1g108770"
"149","Medtr1g109340"
"150","Medtr1g109360"
"151","Medtr1g109700"
"152","Medtr1g110300"
"153","Medtr1g110410"
"154","Medtr1g111250"
"155","Medtr1g111880"
"156","Medtr1g112170"
"157","Medtr1g112750"
"158","Medtr1g112830"
"159","Medtr1g112850"
"160","Medtr1g114020"
"161","Medtr1g114320"
"162","Medtr1g115145"
"163","Medtr1g115970"
"164","Medtr1g492930"
"165","Medtr2g005350"
"166","Medtr2g005960"
"167","Medtr2g006350"
"168","Medtr2g006730"
"169","Medtr2g007650"
"170","Medtr2g008390"
"171","Medtr2g008400"
"172","Medtr2g010190"
"173","Medtr2g010290"
"174","Medtr2g010370"
"175","Medtr2g010935"
"176","Medtr2g011400"
"177","Medtr2g011590"
"178","Medtr2g011820"
"179","Medtr2g012300"
"180","Medtr2g012420"
"181","Medtr2g012560"
"182","Medtr2g013980"
"183","Medtr2g014440"
"184","Medtr2g015540"
"185","Medtr2g015580"
"186","Medtr2g016590"
"187","Medtr2g017945"
"188","Medtr2g018655"
"189","Medtr2g019100"
"190","Medtr2g019350"
"191","Medtr2g020660"
"192","Medtr2g020850"
"193","Medtr2g022550"
"194","Medtr2g022710"
"195","Medtr2g025495"
"196","Medtr2g027820"
"197","Medtr2g028030"
"198","Medtr2g031270"
"199","Medtr2g034870"
"200","Medtr2g036500"
"201","Medtr2g036670"
"202","Medtr2g037930"
"203","Medtr2g039280"
"204","Medtr2g040510"
"205","Medtr2g040590"
"206","Medtr2g041190"
"207","Medtr2g043020"
"208","Medtr2g045245"
"209","Medtr2g048300"
"210","Medtr2g054450"
"211","Medtr2g059320"
"212","Medtr2g060730"
