"","x"
"1","Medtr0001s0010"
"2","Medtr0009s0230"
"3","Medtr0016s0040"
"4","Medtr0018s0310"
"5","Medtr0032s0050"
"6","Medtr0032s0070"
"7","Medtr0036s0240"
"8","Medtr0036s0280"
"9","Medtr0038s0080"
"10","Medtr0049s0070"
"11","Medtr0050s0240"
"12","Medtr0052s0080"
"13","Medtr0083s0100"
"14","Medtr0083s0120"
"15","Medtr0086s0060"
"16","Medtr0102s0060"
"17","Medtr0113s0040"
"18","Medtr0154s0020"
"19","Medtr0191s0020"
"20","Medtr0242s0020"
"21","Medtr0245s0010"
"22","Medtr0256s0050"
"23","Medtr0334s0040"
"24","Medtr0349s0040"
"25","Medtr0374s0050"
"26","Medtr0393s0040"
"27","Medtr0449s0030"
"28","Medtr0690s0010"
"29","Medtr0807s0020"
"30","Medtr1643s0010"
"31","Medtr1g008050"
"32","Medtr1g008950"
"33","Medtr1g009260"
"34","Medtr1g009840"
"35","Medtr1g010140"
"36","Medtr1g010260"
"37","Medtr1g011680"
"38","Medtr1g011730"
"39","Medtr1g013790"
"40","Medtr1g014210"
"41","Medtr1g015275"
"42","Medtr1g015650"
"43","Medtr1g015710"
"44","Medtr1g016080"
"45","Medtr1g016280"
"46","Medtr1g016790"
"47","Medtr1g018640"
"48","Medtr1g018910"
"49","Medtr1g019610"
"50","Medtr1g020090"
"51","Medtr1g021080"
"52","Medtr1g021635"
"53","Medtr1g022300"
"54","Medtr1g022375"
"55","Medtr1g022395"
"56","Medtr1g023070"
"57","Medtr1g025140"
"58","Medtr1g025290"
"59","Medtr1g025490"
"60","Medtr1g025655"
"61","Medtr1g025870"
"62","Medtr1g025910"
"63","Medtr1g026170"
"64","Medtr1g027320"
"65","Medtr1g027360"
"66","Medtr1g027490"
"67","Medtr1g027540"
"68","Medtr1g027730"
"69","Medtr1g028010"
"70","Medtr1g028060"
"71","Medtr1g028080"
"72","Medtr1g028380"
"73","Medtr1g028710"
"74","Medtr1g029380"
"75","Medtr1g029720"
"76","Medtr1g030275"
"77","Medtr1g030440"
"78","Medtr1g030580"
"79","Medtr1g030710"
"80","Medtr1g031080"
"81","Medtr1g031230"
"82","Medtr1g031650"
"83","Medtr1g031880"
"84","Medtr1g032560"
"85","Medtr1g032610"
"86","Medtr1g032720"
"87","Medtr1g033100"
"88","Medtr1g033740"
"89","Medtr1g034300"
"90","Medtr1g037010"
"91","Medtr1g038260"
"92","Medtr1g038290"
"93","Medtr1g038430"
"94","Medtr1g038803"
"95","Medtr1g040430"
"96","Medtr1g040875"
"97","Medtr1g041285"
"98","Medtr1g041290"
"99","Medtr1g041390"
"100","Medtr1g041525"
"101","Medtr1g041535"
"102","Medtr1g041695"
"103","Medtr1g042260"
"104","Medtr1g042800"
"105","Medtr1g043180"
"106","Medtr1g043410"
"107","Medtr1g043770"
"108","Medtr1g044560"
"109","Medtr1g044580"
"110","Medtr1g045065"
"111","Medtr1g045950"
"112","Medtr1g047740"
"113","Medtr1g048470"
"114","Medtr1g050145"
"115","Medtr1g050525"
"116","Medtr1g050530"
"117","Medtr1g051085"
"118","Medtr1g052135"
"119","Medtr1g052165"
"120","Medtr1g052260"
"121","Medtr1g052405"
"122","Medtr1g052470"
"123","Medtr1g053570"
"124","Medtr1g054205"
"125","Medtr1g054305"
"126","Medtr1g055250"
"127","Medtr1g056840"
"128","Medtr1g057220"
"129","Medtr1g059520"
"130","Medtr1g060830"
"131","Medtr1g060850"
"132","Medtr1g060990"
"133","Medtr1g061170"
"134","Medtr1g061270"
"135","Medtr1g062250"
"136","Medtr1g062500"
"137","Medtr1g063330"
"138","Medtr1g063900"
"139","Medtr1g064620"
"140","Medtr1g066850"
"141","Medtr1g066870"
"142","Medtr1g067010"
"143","Medtr1g067150"
"144","Medtr1g068970"
"145","Medtr1g069155"
"146","Medtr1g070185"
"147","Medtr1g070960"
"148","Medtr1g071780"
"149","Medtr1g072260"
"150","Medtr1g075410"
"151","Medtr1g075520"
"152","Medtr1g075760"
"153","Medtr1g076170"
"154","Medtr1g077260"
"155","Medtr1g077600"
"156","Medtr1g078260"
"157","Medtr1g079870"
"158","Medtr1g080910"
"159","Medtr1g081420"
"160","Medtr1g081850"
"161","Medtr1g083600"
"162","Medtr1g084060"
"163","Medtr1g084120"
"164","Medtr1g084140"
"165","Medtr1g084790"
"166","Medtr1g084820"
"167","Medtr1g085240"
"168","Medtr1g086070"
"169","Medtr1g086170"
"170","Medtr1g086430"
"171","Medtr1g086450"
"172","Medtr1g087540"
"173","Medtr1g088640"
"174","Medtr1g088710"
"175","Medtr1g088765"
"176","Medtr1g090290"
"177","Medtr1g090667"
"178","Medtr1g090673"
"179","Medtr1g090697"
"180","Medtr1g090960"
"181","Medtr1g092670"
"182","Medtr1g093840"
"183","Medtr1g093900"
"184","Medtr1g093965"
"185","Medtr1g095110"
"186","Medtr1g095510"
"187","Medtr1g095550"
"188","Medtr1g096460"
"189","Medtr1g097690"
"190","Medtr1g098740"
"191","Medtr1g099210"
"192","Medtr1g099280"
"193","Medtr1g099490"
"194","Medtr1g099825"
"195","Medtr1g101735"
"196","Medtr1g101740"
"197","Medtr1g101750"
"198","Medtr1g101810"
"199","Medtr1g102190"
"200","Medtr1g102550"
"201","Medtr1g103150"
"202","Medtr1g103680"
"203","Medtr1g104520"
"204","Medtr1g104937"
"205","Medtr1g105230"
"206","Medtr1g105360"
"207","Medtr1g105960"
"208","Medtr1g106630"
"209","Medtr1g107325"
"210","Medtr1g107385"
"211","Medtr1g108460"
"212","Medtr1g109350"
"213","Medtr1g110220"
"214","Medtr1g110550"
"215","Medtr1g111060"
"216","Medtr1g111100"
"217","Medtr1g111190"
"218","Medtr1g111280"
"219","Medtr1g112220"
"220","Medtr1g112510"
"221","Medtr1g112940"
"222","Medtr1g113730"
"223","Medtr1g113820"
"224","Medtr1g114690"
