"","x"
"1","Medtr0009s0250"
"2","Medtr0010s0050"
"3","Medtr0069s0090"
"4","Medtr0082s0230"
"5","Medtr0082s0280"
"6","Medtr0116s0130"
"7","Medtr0137s0080"
"8","Medtr0170s0030"
"9","Medtr0180s0080"
"10","Medtr0419s0020"
"11","Medtr1g007540"
"12","Medtr1g013060"
"13","Medtr1g021875"
"14","Medtr1g023995"
"15","Medtr1g026710"
"16","Medtr1g027450"
"17","Medtr1g027830"
"18","Medtr1g030640"
"19","Medtr1g035750"
"20","Medtr1g039480"
"21","Medtr1g040545"
"22","Medtr1g041635"
"23","Medtr1g045860"
"24","Medtr1g052510"
"25","Medtr1g058050"
"26","Medtr1g070330"
"27","Medtr1g075190"
"28","Medtr1g077600"
"29","Medtr1g077880"
"30","Medtr1g080472"
"31","Medtr1g082450"
"32","Medtr1g083840"
"33","Medtr1g086330"
"34","Medtr1g088535"
"35","Medtr1g089610"
"36","Medtr1g095703"
"37","Medtr1g100300"
"38","Medtr1g100753"
"39","Medtr1g101190"
"40","Medtr1g102580"
"41","Medtr1g104700"
"42","Medtr1g105800"
"43","Medtr1g105900"
"44","Medtr1g106910"
"45","Medtr1g109390"
"46","Medtr1g110460"
"47","Medtr1g112220"
"48","Medtr1g484830"
"49","Medtr1g492790"
"50","Medtr2g010250"
"51","Medtr2g011400"
"52","Medtr2g015310"
"53","Medtr2g019390"
"54","Medtr2g026645"
"55","Medtr2g027650"
"56","Medtr2g035790"
"57","Medtr2g044960"
"58","Medtr2g055530"
"59","Medtr2g060030"
"60","Medtr2g071880"
"61","Medtr2g072310"
"62","Medtr2g072600"
"63","Medtr2g076470"
"64","Medtr2g078070"
"65","Medtr2g078220"
"66","Medtr2g078790"
"67","Medtr2g083620"
"68","Medtr2g084010"
"69","Medtr2g088940"
"70","Medtr2g089665"
"71","Medtr2g090165"
"72","Medtr2g090250"
"73","Medtr2g094430"
"74","Medtr2g095720"
"75","Medtr2g095800"
"76","Medtr2g098315"
"77","Medtr2g099400"
"78","Medtr2g101590"
"79","Medtr2g101710"
"80","Medtr2g101960"
"81","Medtr2g437580"
"82","Medtr2g445230"
"83","Medtr3g007660"
"84","Medtr3g008040"
"85","Medtr3g022730"
"86","Medtr3g028600"
"87","Medtr3g030055"
"88","Medtr3g052710"
"89","Medtr3g055210"
"90","Medtr3g057970"
"91","Medtr3g058740"
"92","Medtr3g064250"
"93","Medtr3g067745"
"94","Medtr3g069220"
"95","Medtr3g073610"
"96","Medtr3g078360"
"97","Medtr3g082210"
"98","Medtr3g083050"
"99","Medtr3g084230"
"100","Medtr3g091010"
"101","Medtr3g092960"
"102","Medtr3g093860"
"103","Medtr3g095450"
"104","Medtr3g095940"
"105","Medtr3g106280"
"106","Medtr3g107350"
"107","Medtr3g112380"
"108","Medtr3g461430"
"109","Medtr3g466430"
"110","Medtr4g007570"
"111","Medtr4g010200"
"112","Medtr4g016720"
"113","Medtr4g016780"
"114","Medtr4g021160"
"115","Medtr4g027185"
"116","Medtr4g027870"
"117","Medtr4g058715"
"118","Medtr4g062450"
"119","Medtr4g063440"
"120","Medtr4g063710"
"121","Medtr4g064480"
"122","Medtr4g067280"
"123","Medtr4g071660"
"124","Medtr4g072450"
"125","Medtr4g074670"
"126","Medtr4g076430"
"127","Medtr4g077370"
"128","Medtr4g078565"
"129","Medtr4g088920"
"130","Medtr4g088930"
"131","Medtr4g090410"
"132","Medtr4g094548"
"133","Medtr4g094858"
"134","Medtr4g095045"
"135","Medtr4g097670"
"136","Medtr4g101660"
"137","Medtr4g104210"
"138","Medtr4g106515"
"139","Medtr4g108170"
"140","Medtr4g110110"
"141","Medtr4g111845"
"142","Medtr4g114220"
"143","Medtr4g114240"
"144","Medtr4g119160"
"145","Medtr4g120160"
"146","Medtr4g122645"
"147","Medtr4g127200"
"148","Medtr4g130710"
"149","Medtr4g132765"
"150","Medtr4g132810"
"151","Medtr4g415060"
"152","Medtr5g006710"
"153","Medtr5g006770"
"154","Medtr5g010350"
"155","Medtr5g010650"
"156","Medtr5g013080"
"157","Medtr5g014250"
"158","Medtr5g017420"
"159","Medtr5g017470"
"160","Medtr5g018520"
"161","Medtr5g019950"
"162","Medtr5g020230"
"163","Medtr5g020610"
"164","Medtr5g021860"
"165","Medtr5g022650"
"166","Medtr5g024260"
"167","Medtr5g025650"
"168","Medtr5g030290"
"169","Medtr5g034590"
"170","Medtr5g035980"
"171","Medtr5g039880"
"172","Medtr5g043330"
"173","Medtr5g054970"
"174","Medtr5g061520"
"175","Medtr5g067290"
"176","Medtr5g067640"
"177","Medtr5g068170"
"178","Medtr5g068190"
"179","Medtr5g071210"
"180","Medtr5g072260"
"181","Medtr5g080090"
"182","Medtr5g082260"
"183","Medtr5g084730"
"184","Medtr5g087470"
"185","Medtr5g091450"
"186","Medtr6g009090"
"187","Medtr6g009430"
"188","Medtr6g011890"
"189","Medtr6g013380"
"190","Medtr6g017165"
"191","Medtr6g018610"
"192","Medtr6g018770"
"193","Medtr6g018920"
"194","Medtr6g022070"
"195","Medtr6g033345"
"196","Medtr6g033500"
"197","Medtr6g038010"
"198","Medtr6g038520"
"199","Medtr6g043630"
"200","Medtr6g045357"
"201","Medtr6g052340"
"202","Medtr6g061850"
"203","Medtr6g074775"
"204","Medtr6g078620"
"205","Medtr6g079590"
"206","Medtr6g081080"
"207","Medtr6g082870"
"208","Medtr6g084295"
"209","Medtr6g092020"
"210","Medtr6g460480"
"211","Medtr6g463870"
"212","Medtr6g464330"
"213","Medtr6g464520"
"214","Medtr6g471820"
"215","Medtr6g477730"
"216","Medtr7g013240"
"217","Medtr7g022910"
"218","Medtr7g026400"
"219","Medtr7g029075"
"220","Medtr7g030010"
"221","Medtr7g039530"
"222","Medtr7g053200"
"223","Medtr7g056363"
"224","Medtr7g056617"
"225","Medtr7g062910"
"226","Medtr7g065230"
"227","Medtr7g070150"
"228","Medtr7g070290"
"229","Medtr7g070760"
"230","Medtr7g076290"
"231","Medtr7g079995"
"232","Medtr7g080000"
"233","Medtr7g082950"
"234","Medtr7g086520"
"235","Medtr7g088750"
"236","Medtr7g089260"
"237","Medtr7g091610"
"238","Medtr7g092090"
"239","Medtr7g094620"
"240","Medtr7g099260"
"241","Medtr7g101950"
"242","Medtr7g102450"
"243","Medtr7g107560"
"244","Medtr7g111960"
"245","Medtr7g113910"
"246","Medtr7g114530"
"247","Medtr7g115050"
"248","Medtr7g117385"
