"","x"
"1","Medtr0001s0070"
"2","Medtr0001s0100"
"3","Medtr0001s0160"
"4","Medtr0001s0190"
"5","Medtr0001s0200"
"6","Medtr0001s0260"
"7","Medtr0001s0380"
"8","Medtr0001s0480"
"9","Medtr0001s0500"
"10","Medtr0001s0510"
"11","Medtr0001s0580"
"12","Medtr0001s0700"
"13","Medtr0002s0030"
"14","Medtr0002s0040"
"15","Medtr0002s0050"
"16","Medtr0002s0070"
"17","Medtr0002s0090"
"18","Medtr0002s0100"
"19","Medtr0002s0110"
"20","Medtr0002s0120"
"21","Medtr0002s0140"
"22","Medtr0002s0150"
"23","Medtr0002s0160"
"24","Medtr0002s0170"
"25","Medtr0002s0180"
"26","Medtr0002s0200"
"27","Medtr0002s0210"
"28","Medtr0002s0250"
"29","Medtr0002s0260"
"30","Medtr0002s0280"
"31","Medtr0002s0300"
"32","Medtr0002s0310"
"33","Medtr0002s0330"
"34","Medtr0002s0350"
"35","Medtr0002s0360"
"36","Medtr0002s0380"
"37","Medtr0002s0390"
"38","Medtr0002s0420"
"39","Medtr0002s0440"
"40","Medtr0002s0510"
"41","Medtr0002s0530"
"42","Medtr0002s0540"
"43","Medtr0002s0550"
"44","Medtr0002s0580"
"45","Medtr0002s0590"
"46","Medtr0002s0630"
"47","Medtr0002s0650"
"48","Medtr0002s0660"
"49","Medtr0002s0670"
"50","Medtr0002s0680"
"51","Medtr0002s0690"
"52","Medtr0002s0700"
"53","Medtr0002s0730"
"54","Medtr0002s0740"
"55","Medtr0002s0750"
"56","Medtr0002s0760"
"57","Medtr0002s0770"
"58","Medtr0002s0780"
"59","Medtr0002s0790"
"60","Medtr0002s0800"
"61","Medtr0002s0820"
"62","Medtr0002s0860"
"63","Medtr0002s0870"
"64","Medtr0002s0880"
"65","Medtr0002s0930"
"66","Medtr0002s0960"
"67","Medtr0002s0990"
"68","Medtr0002s1160"
"69","Medtr0002s1180"
"70","Medtr0002s1220"
"71","Medtr0002s1240"
"72","Medtr0002s1260"
"73","Medtr0002s1280"
"74","Medtr0003s0010"
"75","Medtr0003s0060"
"76","Medtr0003s0070"
"77","Medtr0003s0080"
"78","Medtr0003s0130"
"79","Medtr0003s0160"
"80","Medtr0003s0180"
"81","Medtr0003s0190"
"82","Medtr0003s0210"
"83","Medtr0003s0250"
"84","Medtr0003s0260"
"85","Medtr0003s0280"
"86","Medtr0003s0290"
"87","Medtr0003s0390"
"88","Medtr0003s0410"
"89","Medtr0003s0430"
"90","Medtr0003s0460"
"91","Medtr0003s0530"
"92","Medtr0003s0610"
"93","Medtr0004s0190"
"94","Medtr0004s0260"
"95","Medtr0004s0300"
"96","Medtr0004s0350"
"97","Medtr0004s0360"
"98","Medtr0004s0450"
"99","Medtr0004s0530"
"100","Medtr0005s0070"
"101","Medtr0005s0140"
"102","Medtr0005s0150"
"103","Medtr0005s0220"
"104","Medtr0005s0240"
"105","Medtr0005s0250"
"106","Medtr0005s0260"
"107","Medtr0006s0020"
"108","Medtr0006s0180"
"109","Medtr0006s0210"
"110","Medtr0006s0260"
"111","Medtr0006s0290"
"112","Medtr0007s0010"
"113","Medtr0007s0030"
"114","Medtr0007s0040"
"115","Medtr0007s0070"
"116","Medtr0007s0150"
"117","Medtr0007s0160"
"118","Medtr0007s0250"
"119","Medtr0007s0290"
"120","Medtr0007s0310"
"121","Medtr0007s0320"
"122","Medtr0007s0410"
"123","Medtr0007s0440"
"124","Medtr0007s0450"
"125","Medtr0007s0480"
"126","Medtr0007s0520"
"127","Medtr0008s0030"
"128","Medtr0008s0060"
"129","Medtr0008s0110"
"130","Medtr0008s0120"
"131","Medtr0008s0130"
"132","Medtr0008s0160"
"133","Medtr0008s0170"
"134","Medtr0008s0180"
"135","Medtr0008s0210"
"136","Medtr0008s0230"
"137","Medtr0008s0310"
"138","Medtr0008s0340"
"139","Medtr0008s0430"
"140","Medtr0008s0460"
"141","Medtr0009s0040"
"142","Medtr0009s0150"
"143","Medtr0009s0190"
"144","Medtr0009s0270"
"145","Medtr0009s0290"
"146","Medtr0009s0330"
"147","Medtr0009s0340"
"148","Medtr0009s0350"
"149","Medtr0009s0490"
"150","Medtr0010s0110"
"151","Medtr0010s0130"
"152","Medtr0010s0190"
"153","Medtr0010s0200"
"154","Medtr0010s0270"
"155","Medtr0010s0290"
"156","Medtr0010s0310"
"157","Medtr0010s0320"
"158","Medtr0010s0350"
"159","Medtr0010s0360"
"160","Medtr0010s0370"
"161","Medtr0011s0100"
"162","Medtr0011s0210"
"163","Medtr0011s0270"
"164","Medtr0012s0070"
"165","Medtr0012s0140"
"166","Medtr0012s0160"
"167","Medtr0012s0170"
"168","Medtr0012s0220"
"169","Medtr0012s0240"
"170","Medtr0012s0280"
"171","Medtr0013s0060"
"172","Medtr0013s0070"
"173","Medtr0013s0080"
"174","Medtr0013s0130"
"175","Medtr0013s0190"
"176","Medtr0013s0270"
"177","Medtr0013s0290"
"178","Medtr0013s0330"
"179","Medtr0013s0400"
"180","Medtr0014s0010"
"181","Medtr0014s0110"
