"","x"
"1","Medtr0004s0440"
"2","Medtr0007s0220"
"3","Medtr0036s0050"
"4","Medtr0036s0270"
"5","Medtr0086s0070"
"6","Medtr0118s0070"
"7","Medtr0148s0110"
"8","Medtr0202s0070"
"9","Medtr0349s0040"
"10","Medtr0484s0010"
"11","Medtr0691s0020"
"12","Medtr1543s0010"
"13","Medtr1g006990"
"14","Medtr1g008710"
"15","Medtr1g009310"
"16","Medtr1g014510"
"17","Medtr1g016330"
"18","Medtr1g017400"
"19","Medtr1g017830"
"20","Medtr1g019650"
"21","Medtr1g022340"
"22","Medtr1g026140"
"23","Medtr1g027940"
"24","Medtr1g027950"
"25","Medtr1g028220"
"26","Medtr1g030750"
"27","Medtr1g030810"
"28","Medtr1g031880"
"29","Medtr1g039790"
"30","Medtr1g040455"
"31","Medtr1g041380"
"32","Medtr1g041475"
"33","Medtr1g051620"
"34","Medtr1g052170"
"35","Medtr1g054185"
"36","Medtr1g054575"
"37","Medtr1g056890"
"38","Medtr1g059620"
"39","Medtr1g059860"
"40","Medtr1g061790"
"41","Medtr1g063410"
"42","Medtr1g063850"
"43","Medtr1g064590"
"44","Medtr1g068580"
"45","Medtr1g069960"
"46","Medtr1g070015"
"47","Medtr1g070180"
"48","Medtr1g070350"
"49","Medtr1g074070"
"50","Medtr1g076730"
"51","Medtr1g082210"
"52","Medtr1g085280"
"53","Medtr1g086080"
"54","Medtr1g086390"
"55","Medtr1g097170"
"56","Medtr1g100100"
"57","Medtr1g100597"
"58","Medtr1g100787"
"59","Medtr1g102220"
"60","Medtr1g105430"
"61","Medtr2g005910"
"62","Medtr2g007520"
"63","Medtr2g009760"
"64","Medtr2g010580"
"65","Medtr2g011080"
"66","Medtr2g011630"
"67","Medtr2g015330"
"68","Medtr2g019020"
"69","Medtr2g025710"
"70","Medtr2g026050"
"71","Medtr2g026530"
"72","Medtr2g028580"
"73","Medtr2g031430"
"74","Medtr2g034440"
"75","Medtr2g034700"
"76","Medtr2g035320"
"77","Medtr2g036670"
"78","Medtr2g037200"
"79","Medtr2g040760"
"80","Medtr2g043200"
"81","Medtr2g044120"
"82","Medtr2g044570"
"83","Medtr2g048855"
"84","Medtr2g055690"
"85","Medtr2g062930"
"86","Medtr2g064370"
"87","Medtr2g073470"
"88","Medtr2g079650"
"89","Medtr2g082195"
"90","Medtr2g083200"
"91","Medtr2g089200"
"92","Medtr2g091330"
"93","Medtr2g095020"
"94","Medtr2g096870"
"95","Medtr2g099690"
"96","Medtr2g100820"
"97","Medtr2g101460"
"98","Medtr2g103460"
"99","Medtr2g435800"
"100","Medtr2g437800"
"101","Medtr3g011630"
"102","Medtr3g012370"
"103","Medtr3g025960"
"104","Medtr3g035965"
"105","Medtr3g037670"
"106","Medtr3g040450"
"107","Medtr3g047140"
"108","Medtr3g051060"
"109","Medtr3g054120"
"110","Medtr3g060280"
"111","Medtr3g064093"
"112","Medtr3g064280"
"113","Medtr3g069050"
"114","Medtr3g069510"
"115","Medtr3g070850"
"116","Medtr3g071050"
"117","Medtr3g072850"
"118","Medtr3g078120"
"119","Medtr3g079850"
"120","Medtr3g082840"
"121","Medtr3g089400"
"122","Medtr3g089940"
"123","Medtr3g090540"
"124","Medtr3g091045"
"125","Medtr3g092990"
"126","Medtr3g094780"
"127","Medtr3g095180"
"128","Medtr3g098265"
"129","Medtr3g101080"
"130","Medtr3g104510"
"131","Medtr3g107360"
"132","Medtr3g109080"
"133","Medtr3g109610"
"134","Medtr3g110018"
"135","Medtr3g112230"
"136","Medtr3g113770"
"137","Medtr3g115970"
"138","Medtr3g437870"
"139","Medtr3g463670"
"140","Medtr3g464300"
"141","Medtr3g464650"
"142","Medtr3g466520"
"143","Medtr4g007540"
"144","Medtr4g010210"
"145","Medtr4g010820"
"146","Medtr4g014210"
"147","Medtr4g019060"
"148","Medtr4g019360"
"149","Medtr4g019370"
"150","Medtr4g021500"
"151","Medtr4g022370"
"152","Medtr4g022540"
"153","Medtr4g022800"
"154","Medtr4g022960"
"155","Medtr4g023640"
"156","Medtr4g028050"
"157","Medtr4g028510"
"158","Medtr4g032805"
"159","Medtr4g033265"
"160","Medtr4g033445"
"161","Medtr4g034030"
"162","Medtr4g037470"
"163","Medtr4g040410"
"164","Medtr4g053300"
"165","Medtr4g054230"
"166","Medtr4g056300"
"167","Medtr4g056590"
"168","Medtr4g057830"
"169","Medtr4g066580"
"170","Medtr4g070470"
"171","Medtr4g071110"
"172","Medtr4g071250"
"173","Medtr4g075490"
"174","Medtr4g082235"
"175","Medtr4g082360"
"176","Medtr4g083210"
"177","Medtr4g083450"
"178","Medtr4g084630"
"179","Medtr4g086590"
"180","Medtr4g088675"
"181","Medtr4g094985"
"182","Medtr4g099480"
"183","Medtr4g101740"
"184","Medtr4g101925"
"185","Medtr4g107670"
"186","Medtr4g121060"
"187","Medtr4g122930"
"188","Medtr4g122960"
"189","Medtr4g123990"
"190","Medtr4g132550"
"191","Medtr4g134330"
"192","Medtr5g007085"
"193","Medtr5g009070"
"194","Medtr5g010000"
"195","Medtr5g010430"
"196","Medtr5g011330"
"197","Medtr5g011470"
"198","Medtr5g013515"
"199","Medtr5g013670"
"200","Medtr5g016320"
"201","Medtr5g017510"
"202","Medtr5g029320"
"203","Medtr5g044120"
"204","Medtr5g044930"
"205","Medtr5g045640"
"206","Medtr5g075860"
"207","Medtr5g076000"
"208","Medtr5g077040"
"209","Medtr5g078700"
"210","Medtr5g081100"
"211","Medtr5g083040"
"212","Medtr5g083760"
"213","Medtr5g089580"
"214","Medtr5g092530"
"215","Medtr5g095000"
"216","Medtr6g006910"
"217","Medtr6g007170"
"218","Medtr6g011670"
"219","Medtr6g016130"
"220","Medtr6g018690"
"221","Medtr6g021730"
"222","Medtr6g023790"
"223","Medtr6g027470"
"224","Medtr6g034030"
"225","Medtr6g038150"
"226","Medtr6g038790"
"227","Medtr6g065550"
"228","Medtr6g066080"
"229","Medtr6g068920"
"230","Medtr6g068940"
"231","Medtr6g077500"
"232","Medtr6g079250"
"233","Medtr6g081280"
"234","Medtr6g083000"
"235","Medtr6g083860"
"236","Medtr6g445440"
"237","Medtr6g463390"
"238","Medtr6g463710"
"239","Medtr7g006210"
"240","Medtr7g006900"
"241","Medtr7g007230"
"242","Medtr7g009520"
"243","Medtr7g012040"
"244","Medtr7g013590"
"245","Medtr7g014510"
"246","Medtr7g023560"
"247","Medtr7g030030"
"248","Medtr7g051960"
"249","Medtr7g052280"
"250","Medtr7g052620"
"251","Medtr7g058450"
