"","x"
"1","Medtr0001s0120"
"2","Medtr0003s0470"
"3","Medtr0006s0160"
"4","Medtr0007s0330"
"5","Medtr0007s0380"
"6","Medtr0009s0480"
"7","Medtr0014s0200"
"8","Medtr0016s0060"
"9","Medtr0025s0060"
"10","Medtr0027s0090"
"11","Medtr0036s0250"
"12","Medtr0038s0080"
"13","Medtr0041s0130"
"14","Medtr0048s0220"
"15","Medtr0051s0110"
"16","Medtr0052s0100"
"17","Medtr0067s0070"
"18","Medtr0082s0260"
"19","Medtr0082s0270"
"20","Medtr0082s0280"
"21","Medtr0083s0110"
"22","Medtr0090s0020"
"23","Medtr0092s0070"
"24","Medtr0094s0020"
"25","Medtr0096s0020"
"26","Medtr0113s0040"
"27","Medtr0121s0010"
"28","Medtr0126s0070"
"29","Medtr0133s0020"
"30","Medtr0133s0030"
"31","Medtr0157s0070"
"32","Medtr0160s0030"
"33","Medtr0185s0010"
"34","Medtr0188s0020"
"35","Medtr0204s0020"
"36","Medtr0219s0130"
"37","Medtr0230s0010"
"38","Medtr0252s0030"
"39","Medtr0268s0020"
"40","Medtr0276s0040"
"41","Medtr0279s0020"
"42","Medtr0349s0020"
"43","Medtr0350s0010"
"44","Medtr0419s0040"
"45","Medtr0451s0010"
"46","Medtr0481s0010"
"47","Medtr0511s0020"
"48","Medtr0568s0020"
"49","Medtr0570s0040"
"50","Medtr0722s0020"
"51","Medtr0775s0020"
"52","Medtr0795s0020"
"53","Medtr0857s0010"
"54","Medtr0922s0020"
"55","Medtr1338s0010"
"56","Medtr1527s0010"
"57","Medtr1g006590"
"58","Medtr1g007600"
"59","Medtr1g007990"
"60","Medtr1g008160"
"61","Medtr1g008230"
"62","Medtr1g008610"
"63","Medtr1g008620"
"64","Medtr1g008675"
"65","Medtr1g008990"
"66","Medtr1g009180"
"67","Medtr1g009660"
"68","Medtr1g010120"
"69","Medtr1g010140"
"70","Medtr1g010270"
"71","Medtr1g011510"
"72","Medtr1g011700"
"73","Medtr1g011730"
"74","Medtr1g012790"
"75","Medtr1g012840"
"76","Medtr1g012850"
"77","Medtr1g013620"
"78","Medtr1g013630"
"79","Medtr1g014190"
"80","Medtr1g014240"
"81","Medtr1g014700"
"82","Medtr1g015290"
"83","Medtr1g015530"
"84","Medtr1g015780"
"85","Medtr1g016210"
"86","Medtr1g016280"
"87","Medtr1g016335"
"88","Medtr1g016430"
"89","Medtr1g016960"
"90","Medtr1g017000"
"91","Medtr1g017820"
"92","Medtr1g018090"
