"","x"
"1","Medtr0001s0360"
"2","Medtr0004s0510"
"3","Medtr0004s0610"
"4","Medtr0005s0110"
"5","Medtr0005s0160"
"6","Medtr0006s0300"
"7","Medtr0009s0020"
"8","Medtr0010s0390"
"9","Medtr0013s0120"
"10","Medtr0019s0320"
"11","Medtr0036s0050"
"12","Medtr0036s0070"
"13","Medtr0041s0130"
"14","Medtr0042s0030"
"15","Medtr0047s0030"
"16","Medtr0048s0140"
"17","Medtr0052s0060"
"18","Medtr0052s0070"
"19","Medtr0052s0130"
"20","Medtr0052s0170"
"21","Medtr0055s0090"
"22","Medtr0055s0110"
"23","Medtr0069s0040"
"24","Medtr0069s0050"
"25","Medtr0070s0020"
"26","Medtr0115s0020"
"27","Medtr0129s0120"
"28","Medtr0135s0090"
"29","Medtr0144s0030"
"30","Medtr0148s0110"
"31","Medtr0153s0060"
"32","Medtr0171s0010"
"33","Medtr0185s0010"
"34","Medtr0187s0080"
"35","Medtr0191s0030"
"36","Medtr0205s0040"
"37","Medtr0254s0060"
"38","Medtr0349s0040"
"39","Medtr0568s0010"
"40","Medtr0624s0020"
"41","Medtr0658s0020"
"42","Medtr0915s0010"
"43","Medtr1088s0010"
"44","Medtr1308s0010"
"45","Medtr1g006650"
"46","Medtr1g006990"
"47","Medtr1g007850"
"48","Medtr1g009410"
"49","Medtr1g009780"
"50","Medtr1g009830"
"51","Medtr1g009900"
"52","Medtr1g011700"
"53","Medtr1g013100"
"54","Medtr1g016170"
"55","Medtr1g016790"
"56","Medtr1g017700"
"57","Medtr1g018610"
"58","Medtr1g018740"
"59","Medtr1g019190"
"60","Medtr1g019320"
"61","Medtr1g019440"
"62","Medtr1g019480"
"63","Medtr1g019715"
"64","Medtr1g019940"
"65","Medtr1g021100"
"66","Medtr1g021540"
"67","Medtr1g022160"
"68","Medtr1g022440"
"69","Medtr1g022465"
"70","Medtr1g023170"
"71","Medtr1g024970"
"72","Medtr1g026430"
"73","Medtr1g026830"
"74","Medtr1g026850"
"75","Medtr1g027930"
"76","Medtr1g027940"
"77","Medtr1g028630"
"78","Medtr1g028920"
"79","Medtr1g029630"
"80","Medtr1g030220"
"81","Medtr1g031460"
"82","Medtr1g032140"
"83","Medtr1g032250"
"84","Medtr1g032850"
"85","Medtr1g034450"
"86","Medtr1g034480"
"87","Medtr1g036460"
"88","Medtr1g037600"
"89","Medtr1g037750"
"90","Medtr1g038530"
"91","Medtr1g038890"
"92","Medtr1g040360"
"93","Medtr1g040705"
"94","Medtr1g040875"
"95","Medtr1g041555"
"96","Medtr1g042360"
"97","Medtr1g043730"
"98","Medtr1g044470"
"99","Medtr1g044480"
"100","Medtr1g046660"
"101","Medtr1g050395"
"102","Medtr1g051310"
"103","Medtr1g054665"
"104","Medtr1g056640"
"105","Medtr1g057110"
"106","Medtr1g059080"
"107","Medtr1g059520"
"108","Medtr1g060740"
"109","Medtr1g061540"
"110","Medtr1g061790"
"111","Medtr1g062350"
"112","Medtr1g062590"
"113","Medtr1g062940"
"114","Medtr1g064300"
"115","Medtr1g064580"
"116","Medtr1g066380"
"117","Medtr1g066640"
"118","Medtr1g067170"
"119","Medtr1g069125"
"120","Medtr1g069175"
"121","Medtr1g069620"
"122","Medtr1g070220"
"123","Medtr1g070250"
"124","Medtr1g070280"
"125","Medtr1g070350"
"126","Medtr1g070385"
"127","Medtr1g071120"
"128","Medtr1g071710"
"129","Medtr1g072460"
"130","Medtr1g072470"
"131","Medtr1g073200"
"132","Medtr1g073300"
"133","Medtr1g073780"
"134","Medtr1g074060"
"135","Medtr1g075180"
"136","Medtr1g075380"
"137","Medtr1g076920"
"138","Medtr1g077480"
"139","Medtr1g077520"
"140","Medtr1g077890"
"141","Medtr1g079760"
"142","Medtr1g081660"
"143","Medtr1g082220"
"144","Medtr1g082260"
"145","Medtr1g083020"
"146","Medtr1g083070"
"147","Medtr1g083340"
"148","Medtr1g083850"
"149","Medtr1g084030"
"150","Medtr1g084840"
"151","Medtr1g084900"
"152","Medtr1g086460"
"153","Medtr1g086530"
"154","Medtr1g086550"
"155","Medtr1g086585"
"156","Medtr1g086670"
"157","Medtr1g086880"
"158","Medtr1g087740"
"159","Medtr1g087920"
"160","Medtr1g088620"
"161","Medtr1g088720"
"162","Medtr1g088825"
"163","Medtr1g089960"
"164","Medtr1g090020"
"165","Medtr1g090120"
"166","Medtr1g090420"
"167","Medtr1g090630"
"168","Medtr1g090973"
"169","Medtr1g092900"
"170","Medtr1g096030"
"171","Medtr1g096670"
"172","Medtr1g097530"
"173","Medtr1g098230"
"174","Medtr1g098450"
"175","Medtr1g098620"
"176","Medtr1g098925"
"177","Medtr1g098970"
"178","Medtr1g099250"
"179","Medtr1g099580"
"180","Medtr1g100050"
"181","Medtr1g100305"
"182","Medtr1g100385"
"183","Medtr1g101735"
"184","Medtr1g102410"
"185","Medtr1g104555"
"186","Medtr1g105040"
"187","Medtr1g105955"
"188","Medtr1g106470"
"189","Medtr1g107545"
"190","Medtr1g108460"
"191","Medtr1g111280"
"192","Medtr1g111470"
"193","Medtr1g111880"
"194","Medtr1g112150"
"195","Medtr1g112680"
"196","Medtr1g112830"
"197","Medtr1g113740"
"198","Medtr1g115270"
"199","Medtr1g115280"
"200","Medtr1g115290"
"201","Medtr1g115405"
"202","Medtr1g116040"
"203","Medtr1g442860"
"204","Medtr1g492820"
"205","Medtr2g005130"
"206","Medtr2g008580"
"207","Medtr2g008990"
"208","Medtr2g009200"
"209","Medtr2g010120"
"210","Medtr2g010200"
"211","Medtr2g010370"
"212","Medtr2g010580"
"213","Medtr2g010590"
"214","Medtr2g011080"
"215","Medtr2g011340"
"216","Medtr2g012260"
"217","Medtr2g012800"
"218","Medtr2g014400"
"219","Medtr2g017570"
"220","Medtr2g017660"
"221","Medtr2g017930"
"222","Medtr2g019060"
"223","Medtr2g019250"
"224","Medtr2g019370"
"225","Medtr2g019575"
"226","Medtr2g020470"
"227","Medtr2g020480"
"228","Medtr2g020630"
"229","Medtr2g020675"
"230","Medtr2g022330"
"231","Medtr2g022780"
"232","Medtr2g023390"
"233","Medtr2g023780"
"234","Medtr2g024010"
"235","Medtr2g024030"
"236","Medtr2g024050"
"237","Medtr2g025120"
"238","Medtr2g026380"
"239","Medtr2g026520"
"240","Medtr2g026920"
"241","Medtr2g027540"
"242","Medtr2g028330"
"243","Medtr2g028360"
"244","Medtr2g032710"
"245","Medtr2g033580"
"246","Medtr2g034030"
"247","Medtr2g035190"
"248","Medtr2g035290"
"249","Medtr2g035610"
"250","Medtr2g036690"
"251","Medtr2g037345"
"252","Medtr2g038200"
"253","Medtr2g038510"
"254","Medtr2g040000"
"255","Medtr2g040140"
"256","Medtr2g040375"
"257","Medtr2g040530"
"258","Medtr2g041650"
"259","Medtr2g042640"
"260","Medtr2g043960"
"261","Medtr2g047968"
"262","Medtr2g049530"
"263","Medtr2g054770"
"264","Medtr2g055480"
"265","Medtr2g059240"
"266","Medtr2g060350"
"267","Medtr2g062370"
"268","Medtr2g062790"
"269","Medtr2g062865"
"270","Medtr2g062930"
"271","Medtr2g064025"
"272","Medtr2g064690"
"273","Medtr2g067210"
"274","Medtr2g067440"
"275","Medtr2g067620"
"276","Medtr2g070670"
"277","Medtr2g071670"
"278","Medtr2g072010"
"279","Medtr2g072270"
"280","Medtr2g072450"
"281","Medtr2g073420"
"282","Medtr2g073600"
"283","Medtr2g074980"
"284","Medtr2g075010"
"285","Medtr2g075540"
"286","Medtr2g075780"
"287","Medtr2g076070"
"288","Medtr2g076920"
"289","Medtr2g078260"
"290","Medtr2g079630"
"291","Medtr2g080100"
"292","Medtr2g081050"
"293","Medtr2g081130"
"294","Medtr2g081820"
"295","Medtr2g081960"
"296","Medtr2g081980"
"297","Medtr2g082060"
"298","Medtr2g082195"
"299","Medtr2g083350"
"300","Medtr2g083930"
"301","Medtr2g084270"
"302","Medtr2g086010"
"303","Medtr2g086330"
"304","Medtr2g086390"
"305","Medtr2g087110"
"306","Medtr2g087125"
"307","Medtr2g089835"
"308","Medtr2g090010"
"309","Medtr2g090170"
"310","Medtr2g090755"
"311","Medtr2g090980"
"312","Medtr2g091070"
"313","Medtr2g091080"
"314","Medtr2g091210"
"315","Medtr2g095020"
"316","Medtr2g096330"
"317","Medtr2g097000"
"318","Medtr2g097615"
"319","Medtr2g099105"
"320","Medtr2g100160"
"321","Medtr2g100490"
"322","Medtr2g100600"
"323","Medtr2g100620"
"324","Medtr2g101320"
"325","Medtr2g102355"
"326","Medtr2g103460"
"327","Medtr2g103590"
"328","Medtr2g103810"
"329","Medtr2g104340"
"330","Medtr2g104450"
"331","Medtr2g105210"
"332","Medtr2g435490"
"333","Medtr2g435500"
"334","Medtr2g435650"
"335","Medtr2g436790"
"336","Medtr2g436880"
"337","Medtr2g437110"
"338","Medtr2g437920"
"339","Medtr2g438760"
"340","Medtr2g449770"
"341","Medtr2g450190"
"342","Medtr2g450870"
"343","Medtr2g451410"
"344","Medtr2g461970"
"345","Medtr3g007910"
"346","Medtr3g009030"
"347","Medtr3g009760"
"348","Medtr3g011940"
"349","Medtr3g012080"
"350","Medtr3g012410"
"351","Medtr3g014870"
"352","Medtr3g016200"
"353","Medtr3g019040"
"354","Medtr3g020230"
"355","Medtr3g020560"
"356","Medtr3g020880"
"357","Medtr3g021205"
"358","Medtr3g022045"
"359","Medtr3g022732"
"360","Medtr3g022850"
"361","Medtr3g023160"
"362","Medtr3g027280"
"363","Medtr3g030540"
"364","Medtr3g030620"
"365","Medtr3g030950"
"366","Medtr3g032340"
"367","Medtr3g033040"
"368","Medtr3g035620"
"369","Medtr3g037440"
"370","Medtr3g037730"
"371","Medtr3g045850"
"372","Medtr3g046300"
"373","Medtr3g046487"
"374","Medtr3g047140"
"375","Medtr3g047950"
"376","Medtr3g048470"
"377","Medtr3g051200"
"378","Medtr3g052490"
"379","Medtr3g053440"
"380","Medtr3g057310"
"381","Medtr3g058320"
"382","Medtr3g058440"
"383","Medtr3g058550"
"384","Medtr3g058560"
"385","Medtr3g063010"
"386","Medtr3g063090"
"387","Medtr3g069410"
"388","Medtr3g069570"
"389","Medtr3g069720"
"390","Medtr3g069780"
"391","Medtr3g070250"
"392","Medtr3g071320"
"393","Medtr3g071750"
"394","Medtr3g072710"
"395","Medtr3g072820"
"396","Medtr3g073150"
"397","Medtr3g075470"
"398","Medtr3g077490"
"399","Medtr3g077510"
"400","Medtr3g077860"
"401","Medtr3g079520"
"402","Medtr3g079630"
"403","Medtr3g079860"
"404","Medtr3g079980"
"405","Medtr3g080850"
"406","Medtr3g083170"
"407","Medtr3g083580"
"408","Medtr3g083820"
"409","Medtr3g085885"
"410","Medtr3g086550"
"411","Medtr3g086730"
"412","Medtr3g086750"
"413","Medtr3g086820"
"414","Medtr3g087460"
"415","Medtr3g087960"
"416","Medtr3g088630"
"417","Medtr3g088705"
"418","Medtr3g088820"
"419","Medtr3g088890"
"420","Medtr3g088920"
"421","Medtr3g090635"
"422","Medtr3g091890"
"423","Medtr3g092460"
"424","Medtr3g092830"
"425","Medtr3g093180"
"426","Medtr3g093350"
"427","Medtr3g093460"
"428","Medtr3g093940"
"429","Medtr3g094630"
"430","Medtr3g094670"
"431","Medtr3g094960"
"432","Medtr3g095180"
"433","Medtr3g095720"
"434","Medtr3g096270"
"435","Medtr3g098140"
"436","Medtr3g098270"
"437","Medtr3g098450"
"438","Medtr3g098580"
"439","Medtr3g099080"
"440","Medtr3g099140"
"441","Medtr3g099570"
"442","Medtr3g099700"
"443","Medtr3g100190"
"444","Medtr3g100470"
"445","Medtr3g101260"
"446","Medtr3g103120"
"447","Medtr3g103210"
"448","Medtr3g103460"
"449","Medtr3g105000"
"450","Medtr3g105060"
"451","Medtr3g105375"
"452","Medtr3g105595"
"453","Medtr3g105890"
"454","Medtr3g106850"
"455","Medtr3g107500"
"456","Medtr3g107755"
"457","Medtr3g107800"
"458","Medtr3g108020"
"459","Medtr3g109420"
"460","Medtr3g109520"
"461","Medtr3g110058"
"462","Medtr3g110182"
"463","Medtr3g110195"
"464","Medtr3g110280"
"465","Medtr3g110690"
"466","Medtr3g111020"
"467","Medtr3g111650"
"468","Medtr3g111820"
"469","Medtr3g112120"
"470","Medtr3g113770"
"471","Medtr3g114810"
"472","Medtr3g116450"
"473","Medtr3g116570"
"474","Medtr3g117825"
"475","Medtr3g117840"
"476","Medtr3g117910"
"477","Medtr3g118370"
"478","Medtr3g118380"
"479","Medtr3g434790"
"480","Medtr3g435150"
"481","Medtr3g435430"
"482","Medtr3g435910"
"483","Medtr3g450650"
"484","Medtr3g452170"
"485","Medtr3g452790"
"486","Medtr3g452820"
"487","Medtr3g452870"
"488","Medtr3g452970"
"489","Medtr3g456030"
"490","Medtr3g461510"
"491","Medtr3g462770"
"492","Medtr3g463110"
"493","Medtr3g463970"
"494","Medtr3g466180"
"495","Medtr3g466610"
"496","Medtr3g466620"
"497","Medtr3g466630"
"498","Medtr3g467080"
"499","Medtr3g467100"
"500","Medtr3g467370"
"501","Medtr3g479470"
"502","Medtr3g479590"
"503","Medtr3g491850"
"504","Medtr3g498715"
"505","Medtr4g005360"
"506","Medtr4g006650"
"507","Medtr4g006715"
"508","Medtr4g007690"
"509","Medtr4g008260"
"510","Medtr4g008860"
"511","Medtr4g009745"
"512","Medtr4g009850"
"513","Medtr4g010310"
"514","Medtr4g013145"
"515","Medtr4g013760"
"516","Medtr4g014210"
"517","Medtr4g014610"
"518","Medtr4g017750"
"519","Medtr4g018860"
"520","Medtr4g019010"
"521","Medtr4g019500"
"522","Medtr4g019710"
"523","Medtr4g020700"
