"","x"
"1","Medtr0001s0070"
"2","Medtr0001s0100"
"3","Medtr0001s0160"
"4","Medtr0001s0190"
"5","Medtr0001s0200"
"6","Medtr0001s0260"
"7","Medtr0001s0360"
"8","Medtr0001s0380"
"9","Medtr0001s0480"
"10","Medtr0001s0500"
"11","Medtr0001s0510"
"12","Medtr0001s0580"
"13","Medtr0001s0700"
"14","Medtr0002s0030"
"15","Medtr0002s0040"
"16","Medtr0002s0050"
"17","Medtr0002s0070"
"18","Medtr0002s0090"
"19","Medtr0002s0100"
"20","Medtr0002s0110"
"21","Medtr0002s0120"
"22","Medtr0002s0140"
"23","Medtr0002s0150"
"24","Medtr0002s0160"
"25","Medtr0002s0170"
"26","Medtr0002s0180"
"27","Medtr0002s0200"
"28","Medtr0002s0210"
"29","Medtr0002s0250"
"30","Medtr0002s0260"
"31","Medtr0002s0280"
"32","Medtr0002s0300"
"33","Medtr0002s0310"
"34","Medtr0002s0330"
"35","Medtr0002s0350"
"36","Medtr0002s0360"
"37","Medtr0002s0380"
"38","Medtr0002s0390"
"39","Medtr0002s0420"
"40","Medtr0002s0440"
"41","Medtr0002s0510"
"42","Medtr0002s0530"
"43","Medtr0002s0540"
"44","Medtr0002s0550"
"45","Medtr0002s0580"
"46","Medtr0002s0590"
"47","Medtr0002s0630"
"48","Medtr0002s0650"
"49","Medtr0002s0660"
"50","Medtr0002s0670"
"51","Medtr0002s0680"
"52","Medtr0002s0690"
"53","Medtr0002s0700"
"54","Medtr0002s0730"
"55","Medtr0002s0740"
"56","Medtr0002s0750"
"57","Medtr0002s0760"
"58","Medtr0002s0770"
"59","Medtr0002s0780"
"60","Medtr0002s0790"
"61","Medtr0002s0800"
"62","Medtr0002s0820"
"63","Medtr0002s0860"
"64","Medtr0002s0870"
"65","Medtr0002s0880"
"66","Medtr0002s0930"
"67","Medtr0002s0960"
"68","Medtr0002s0990"
"69","Medtr0002s1160"
"70","Medtr0002s1180"
"71","Medtr0002s1220"
"72","Medtr0002s1240"
"73","Medtr0002s1260"
"74","Medtr0002s1280"
"75","Medtr0003s0010"
"76","Medtr0003s0060"
"77","Medtr0003s0070"
"78","Medtr0003s0080"
"79","Medtr0003s0130"
"80","Medtr0003s0160"
"81","Medtr0003s0180"
"82","Medtr0003s0210"
"83","Medtr0003s0250"
"84","Medtr0003s0260"
"85","Medtr0003s0280"
"86","Medtr0003s0290"
"87","Medtr0003s0390"
"88","Medtr0003s0410"
"89","Medtr0003s0430"
"90","Medtr0003s0460"
"91","Medtr0003s0530"
"92","Medtr0003s0610"
"93","Medtr0003s0630"
"94","Medtr0004s0190"
"95","Medtr0004s0260"
"96","Medtr0004s0300"
"97","Medtr0004s0350"
"98","Medtr0004s0360"
"99","Medtr0004s0450"
"100","Medtr0004s0530"
"101","Medtr0005s0070"
"102","Medtr0005s0110"
"103","Medtr0005s0140"
"104","Medtr0005s0150"
"105","Medtr0005s0160"
"106","Medtr0005s0220"
"107","Medtr0005s0230"
"108","Medtr0005s0240"
"109","Medtr0005s0250"
"110","Medtr0005s0260"
"111","Medtr0006s0020"
"112","Medtr0006s0180"
"113","Medtr0006s0210"
"114","Medtr0006s0260"
"115","Medtr0006s0290"
"116","Medtr0007s0010"
"117","Medtr0007s0030"
"118","Medtr0007s0040"
"119","Medtr0007s0070"
"120","Medtr0007s0080"
"121","Medtr0007s0150"
"122","Medtr0007s0160"
"123","Medtr0007s0250"
"124","Medtr0007s0290"
"125","Medtr0007s0310"
"126","Medtr0007s0320"
"127","Medtr0007s0410"
"128","Medtr0007s0440"
"129","Medtr0007s0450"
"130","Medtr0007s0480"
"131","Medtr0007s0520"
"132","Medtr0008s0030"
"133","Medtr0008s0060"
"134","Medtr0008s0110"
"135","Medtr0008s0120"
"136","Medtr0008s0130"
"137","Medtr0008s0160"
"138","Medtr0008s0170"
"139","Medtr0008s0180"
"140","Medtr0008s0210"
"141","Medtr0008s0230"
"142","Medtr0008s0310"
"143","Medtr0008s0340"
"144","Medtr0008s0430"
"145","Medtr0008s0460"
"146","Medtr0009s0040"
"147","Medtr0009s0150"
"148","Medtr0009s0190"
"149","Medtr0009s0270"
"150","Medtr0009s0290"
"151","Medtr0009s0340"
"152","Medtr0009s0350"
"153","Medtr0009s0380"
"154","Medtr0009s0490"
"155","Medtr0010s0110"
"156","Medtr0010s0130"
"157","Medtr0010s0190"
"158","Medtr0010s0200"
"159","Medtr0010s0270"
"160","Medtr0010s0290"
"161","Medtr0010s0310"
"162","Medtr0010s0320"
"163","Medtr0010s0350"
"164","Medtr0010s0360"
"165","Medtr0010s0370"
"166","Medtr0010s0390"
"167","Medtr0011s0100"
"168","Medtr0011s0210"
"169","Medtr0011s0270"
"170","Medtr0012s0070"
"171","Medtr0012s0140"
"172","Medtr0012s0160"
"173","Medtr0012s0170"
"174","Medtr0012s0220"
"175","Medtr0012s0240"
"176","Medtr0012s0280"
"177","Medtr0013s0060"
"178","Medtr0013s0070"
"179","Medtr0013s0080"
"180","Medtr0013s0130"
"181","Medtr0013s0190"
