"","x"
"1","Medtr0050s0130"
"2","Medtr0082s0030"
"3","Medtr0082s0060"
"4","Medtr0082s0230"
"5","Medtr0187s0080"
"6","Medtr0361s0030"
"7","Medtr1439s0010"
"8","Medtr1g059820"
"9","Medtr1g060830"
"10","Medtr1g105955"
"11","Medtr1g112830"
"12","Medtr2g010370"
"13","Medtr2g028380"
"14","Medtr2g093230"
"15","Medtr2g094530"
"16","Medtr2g436790"
"17","Medtr3g061880"
"18","Medtr3g070250"
"19","Medtr3g073150"
"20","Medtr3g099080"
"21","Medtr3g107800"
"22","Medtr3g111020"
"23","Medtr3g435150"
"24","Medtr3g463110"
"25","Medtr4g009745"
"26","Medtr4g019010"
"27","Medtr4g023490"
"28","Medtr4g052230"
"29","Medtr4g066250"
"30","Medtr4g075490"
"31","Medtr4g101810"
"32","Medtr4g117330"
"33","Medtr4g120430"
"34","Medtr4g485530"
"35","Medtr5g006810"
"36","Medtr5g021010"
"37","Medtr5g043330"
"38","Medtr5g075770"
"39","Medtr5g085800"
"40","Medtr6g007480"
"41","Medtr6g018550"
"42","Medtr6g023590"
"43","Medtr6g027740"
"44","Medtr6g084570"
"45","Medtr6g088375"
"46","Medtr6g088755"
"47","Medtr7g012250"
"48","Medtr7g022090"
"49","Medtr7g056363"
"50","Medtr7g060060"
"51","Medtr7g062100"
"52","Medtr7g062780"
"53","Medtr7g069200"
"54","Medtr7g078320"
"55","Medtr7g113755"
"56","Medtr8g011155"
"57","Medtr8g016350"
"58","Medtr8g027132"
"59","Medtr8g027930"
"60","Medtr8g052517"
"61","Medtr8g062660"
"62","Medtr8g066165"
"63","Medtr8g066610"
"64","Medtr8g069820"
"65","Medtr8g078400"
"66","Medtr8g091850"
"67","Medtr8g094635"
