"","x"
"1","Medtr0011s0260"
"2","Medtr0035s0150"
"3","Medtr0069s0090"
"4","Medtr0092s0080"
"5","Medtr0095s0040"
"6","Medtr0124s0070"
"7","Medtr0179s0050"
"8","Medtr0388s0020"
"9","Medtr0583s0010"
"10","Medtr0662s0030"
"11","Medtr0831s0010"
"12","Medtr1008s0010"
"13","Medtr1242s0010"
"14","Medtr1g008590"
"15","Medtr1g012390"
"16","Medtr1g012690"
"17","Medtr1g012860"
"18","Medtr1g013340"
"19","Medtr1g013580"
"20","Medtr1g014060"
"21","Medtr1g016200"
"22","Medtr1g016400"
"23","Medtr1g016910"
"24","Medtr1g022150"
"25","Medtr1g023230"
"26","Medtr1g024870"
"27","Medtr1g026750"
"28","Medtr1g027420"
"29","Medtr1g035750"
"30","Medtr1g036590"
"31","Medtr1g039480"
"32","Medtr1g040110"
"33","Medtr1g040420"
"34","Medtr1g040495"
"35","Medtr1g040625"
"36","Medtr1g041445"
"37","Medtr1g043610"
"38","Medtr1g045790"
"39","Medtr1g047610"
"40","Medtr1g047910"
"41","Medtr1g047930"
"42","Medtr1g048950"
"43","Medtr1g051220"
"44","Medtr1g051570"
"45","Medtr1g052475"
"46","Medtr1g052850"
"47","Medtr1g060440"
"48","Medtr1g062340"
"49","Medtr1g063310"
"50","Medtr1g070035"
"51","Medtr1g070470"
"52","Medtr1g072100"
"53","Medtr1g075550"
"54","Medtr1g077260"
"55","Medtr1g082450"
"56","Medtr1g087810"
"57","Medtr1g089610"
"58","Medtr1g092760"
"59","Medtr1g093030"
"60","Medtr1g095450"
"61","Medtr1g100300"
"62","Medtr1g101880"
"63","Medtr1g102335"
"64","Medtr1g102590"
"65","Medtr1g106080"
"66","Medtr1g106935"
"67","Medtr1g108550"
"68","Medtr1g115265"
"69","Medtr1g116390"
"70","Medtr2g006000"
"71","Medtr2g007540"
"72","Medtr2g010940"
"73","Medtr2g011400"
"74","Medtr2g012350"
"75","Medtr2g013150"
"76","Medtr2g013300"
"77","Medtr2g013920"
"78","Medtr2g014680"
"79","Medtr2g019750"
"80","Medtr2g019950"
"81","Medtr2g020160"
"82","Medtr2g020760"
"83","Medtr2g021830"
"84","Medtr2g022300"
"85","Medtr2g026250"
"86","Medtr2g028795"
"87","Medtr2g030160"
"88","Medtr2g030720"
"89","Medtr2g037330"
"90","Medtr2g037430"
"91","Medtr2g041550"
"92","Medtr2g042610"
"93","Medtr2g047120"
"94","Medtr2g049150"
"95","Medtr2g049305"
"96","Medtr2g056150"
"97","Medtr2g059260"
"98","Medtr2g060030"
"99","Medtr2g063823"
"100","Medtr2g065730"
"101","Medtr2g066150"
"102","Medtr2g069690"
"103","Medtr2g070160"
"104","Medtr2g070320"
"105","Medtr2g075800"
"106","Medtr2g081160"
"107","Medtr2g083230"
"108","Medtr2g084170"
"109","Medtr2g089950"
"110","Medtr2g089965"
"111","Medtr2g095050"
"112","Medtr2g095340"
"113","Medtr2g096140"
"114","Medtr2g096500"
"115","Medtr2g096850"
"116","Medtr2g097650"
"117","Medtr2g100030"
"118","Medtr2g100295"
"119","Medtr2g101300"
"120","Medtr2g101380"
"121","Medtr2g102850"
"122","Medtr2g104890"
"123","Medtr2g105130"
"124","Medtr2g435550"
"125","Medtr2g437490"
"126","Medtr3g005935"
"127","Medtr3g007950"
"128","Medtr3g011900"
"129","Medtr3g012160"
"130","Medtr3g013470"
"131","Medtr3g013810"
"132","Medtr3g014620"
"133","Medtr3g021185"
"134","Medtr3g022005"
"135","Medtr3g022240"
"136","Medtr3g022920"
"137","Medtr3g027430"
"138","Medtr3g030975"
"139","Medtr3g031030"
"140","Medtr3g032210"
"141","Medtr3g035700"
"142","Medtr3g041700"
"143","Medtr3g045210"
"144","Medtr3g047220"
"145","Medtr3g056675"
"146","Medtr3g063030"
"147","Medtr3g063320"
"148","Medtr3g066170"
"149","Medtr3g067630"
"150","Medtr3g069440"
"151","Medtr3g072130"
"152","Medtr3g074100"
"153","Medtr3g074580"
"154","Medtr3g077190"
"155","Medtr3g077550"
"156","Medtr3g078340"
"157","Medtr3g081400"
"158","Medtr3g082830"
"159","Medtr3g083270"
"160","Medtr3g084600"
"161","Medtr3g087260"
"162","Medtr3g087300"
"163","Medtr3g089400"
"164","Medtr3g091610"
"165","Medtr3g092050"
"166","Medtr3g099550"
"167","Medtr3g101670"
"168","Medtr3g101890"
"169","Medtr3g104480"
"170","Medtr3g104630"
"171","Medtr3g105250"
"172","Medtr3g106280"
"173","Medtr3g106420"
"174","Medtr3g108743"
"175","Medtr3g110010"
"176","Medtr3g110160"
"177","Medtr3g110420"
"178","Medtr3g113150"
"179","Medtr3g116020"
"180","Medtr3g116780"
"181","Medtr3g117590"
"182","Medtr3g453030"
"183","Medtr3g462100"
"184","Medtr3g463690"
"185","Medtr3g467660"
"186","Medtr4g006090"
"187","Medtr4g007255"
"188","Medtr4g009930"
"189","Medtr4g010220"
"190","Medtr4g010860"
"191","Medtr4g013050"
"192","Medtr4g021160"
"193","Medtr4g022510"
"194","Medtr4g033320"
"195","Medtr4g037045"
"196","Medtr4g039410"
"197","Medtr4g045903"
"198","Medtr4g045990"
"199","Medtr4g046780"
"200","Medtr4g057830"
"201","Medtr4g057990"
"202","Medtr4g064990"
"203","Medtr4g065600"
"204","Medtr4g068380"
"205","Medtr4g070470"
"206","Medtr4g071060"
"207","Medtr4g075350"
"208","Medtr4g076500"
"209","Medtr4g082817"
"210","Medtr4g085930"
"211","Medtr4g087320"
"212","Medtr4g088555"
"213","Medtr4g090460"
"214","Medtr4g091250"
"215","Medtr4g094262"
"216","Medtr4g094358"
"217","Medtr4g094508"
"218","Medtr4g094582"
"219","Medtr4g101660"
"220","Medtr4g107170"
"221","Medtr4g107700"
"222","Medtr4g109150"
"223","Medtr4g113990"
"224","Medtr4g115490"
"225","Medtr4g119270"
"226","Medtr4g120160"
"227","Medtr4g122850"
"228","Medtr4g134780"
"229","Medtr5g006770"
"230","Medtr5g008690"
"231","Medtr5g009580"
"232","Medtr5g013340"
"233","Medtr5g015230"
"234","Medtr5g016890"
"235","Medtr5g018240"
"236","Medtr5g019950"
"237","Medtr5g021110"
"238","Medtr5g023990"
"239","Medtr5g025200"
"240","Medtr5g028130"
"241","Medtr5g032730"
"242","Medtr5g039820"
"243","Medtr5g041530"
"244","Medtr5g041550"
"245","Medtr5g042243"
"246","Medtr5g044470"
"247","Medtr5g045250"
"248","Medtr5g045640"
"249","Medtr5g048600"
"250","Medtr5g055900"
"251","Medtr5g056650"
"252","Medtr5g061520"
"253","Medtr5g066420"
"254","Medtr5g068250"
"255","Medtr5g069390"
"256","Medtr5g069570"
"257","Medtr5g072260"
"258","Medtr5g073490"
"259","Medtr5g074130"
"260","Medtr5g074770"
"261","Medtr5g077630"
"262","Medtr5g079710"
"263","Medtr5g080030"
"264","Medtr5g081237"
"265","Medtr5g084690"
"266","Medtr5g086300"
"267","Medtr5g091210"
"268","Medtr5g092420"
"269","Medtr5g097330"
"270","Medtr5g464350"
"271","Medtr6g009020"
"272","Medtr6g009420"
"273","Medtr6g009610"
"274","Medtr6g012765"
"275","Medtr6g014850"
"276","Medtr6g018860"
"277","Medtr6g022260"
"278","Medtr6g023075"
"279","Medtr6g028080"
"280","Medtr6g029210"
"281","Medtr6g033345"
