"","x"
"1","Medtr0024s0240"
"2","Medtr0034s0190"
"3","Medtr0037s0250"
"4","Medtr0039s0080"
"5","Medtr0045s0080"
"6","Medtr0056s0160"
"7","Medtr0212s0030"
"8","Medtr0332s0010"
"9","Medtr1526s0010"
"10","Medtr1g006975"
"11","Medtr1g007157"
"12","Medtr1g007230"
"13","Medtr1g009860"
"14","Medtr1g011720"
"15","Medtr1g011980"
"16","Medtr1g013150"
"17","Medtr1g013400"
"18","Medtr1g017500"
"19","Medtr1g019750"
"20","Medtr1g019770"
"21","Medtr1g023570"
"22","Medtr1g025655"
"23","Medtr1g026370"
"24","Medtr1g027660"
"25","Medtr1g027700"
"26","Medtr1g028070"
"27","Medtr1g030295"
"28","Medtr1g031520"
"29","Medtr1g031730"
"30","Medtr1g033950"
"31","Medtr1g036490"
"32","Medtr1g036720"
"33","Medtr1g037260"
"34","Medtr1g037370"
"35","Medtr1g039080"
"36","Medtr1g043350"
"37","Medtr1g045880"
"38","Medtr1g050530"
"39","Medtr1g053485"
"40","Medtr1g059790"
"41","Medtr1g059820"
"42","Medtr1g064040"
"43","Medtr1g067180"
"44","Medtr1g068835"
"45","Medtr1g068875"
"46","Medtr1g068960"
"47","Medtr1g071450"
"48","Medtr1g073580"
"49","Medtr1g073630"
"50","Medtr1g073770"
"51","Medtr1g075410"
"52","Medtr1g075480"
"53","Medtr1g076180"
"54","Medtr1g076270"
"55","Medtr1g077460"
"56","Medtr1g079870"
"57","Medtr1g080800"
"58","Medtr1g080990"
"59","Medtr1g082410"
"60","Medtr1g082440"
"61","Medtr1g083570"
"62","Medtr1g084570"
"63","Medtr1g085680"
"64","Medtr1g088930"
"65","Medtr1g089090"
"66","Medtr1g090400"
"67","Medtr1g090460"
"68","Medtr1g090580"
"69","Medtr1g093140"
"70","Medtr1g096750"
"71","Medtr1g096810"
"72","Medtr1g098820"
"73","Medtr1g099040"
"74","Medtr1g099310"
"75","Medtr1g099590"
"76","Medtr1g103250"
"77","Medtr1g105930"
"78","Medtr1g107155"
"79","Medtr1g107215"
"80","Medtr1g108830"
"81","Medtr1g109340"
"82","Medtr1g110180"
"83","Medtr1g110510"
"84","Medtr1g111120"
"85","Medtr1g112350"
"86","Medtr1g114220"
"87","Medtr1g116890"
"88","Medtr1g442820"
"89","Medtr1g484840"
"90","Medtr2g005245"
"91","Medtr2g005250"
"92","Medtr2g006790"
"93","Medtr2g008630"
"94","Medtr2g011500"
"95","Medtr2g011720"
"96","Medtr2g011760"
"97","Medtr2g012670"
"98","Medtr2g013190"
"99","Medtr2g014040"
"100","Medtr2g015040"
"101","Medtr2g018600"
"102","Medtr2g028180"
"103","Medtr2g028340"
"104","Medtr2g029300"
"105","Medtr2g031380"
"106","Medtr2g033900"
"107","Medtr2g034890"
"108","Medtr2g035150"
"109","Medtr2g035220"
"110","Medtr2g035800"
"111","Medtr2g038220"
"112","Medtr2g043370"
"113","Medtr2g043890"
"114","Medtr2g055670"
"115","Medtr2g058580"
"116","Medtr2g063813"
"117","Medtr2g068760"
"118","Medtr2g068920"
"119","Medtr2g069245"
"120","Medtr2g069300"
"121","Medtr2g074870"
"122","Medtr2g075550"
"123","Medtr2g075570"
"124","Medtr2g076140"
"125","Medtr2g076320"
"126","Medtr2g078900"
"127","Medtr2g082550"
"128","Medtr2g086620"
"129","Medtr2g087080"
"130","Medtr2g088390"
"131","Medtr2g090230"
"132","Medtr2g092950"
"133","Medtr2g094730"
"134","Medtr2g097510"
"135","Medtr2g099560"
"136","Medtr2g100470"
"137","Medtr2g100500"
"138","Medtr2g101430"
"139","Medtr2g102380"
"140","Medtr2g103510"
"141","Medtr2g104810"
"142","Medtr2g105850"
"143","Medtr2g435250"
"144","Medtr2g435450"
"145","Medtr2g437030"
"146","Medtr2g437230"
"147","Medtr2g437440"
"148","Medtr2g437620"
"149","Medtr2g445130"
"150","Medtr2g449870"
"151","Medtr2g451100"
"152","Medtr3g005220"
"153","Medtr3g011650"
"154","Medtr3g013460"
"155","Medtr3g019490"
"156","Medtr3g019650"
"157","Medtr3g020320"
"158","Medtr3g021400"
"159","Medtr3g021430"
"160","Medtr3g027030"
"161","Medtr3g027045"
"162","Medtr3g031270"
"163","Medtr3g034100"
"164","Medtr3g034130"
"165","Medtr3g034540"
"166","Medtr3g034610"
"167","Medtr3g039990"
"168","Medtr3g043900"
"169","Medtr3g045140"
"170","Medtr3g045230"
"171","Medtr3g045700"
"172","Medtr3g048440"
"173","Medtr3g049970"
"174","Medtr3g054130"
"175","Medtr3g055325"
"176","Medtr3g063990"
"177","Medtr3g065970"
"178","Medtr3g067770"
"179","Medtr3g067890"
"180","Medtr3g069710"
"181","Medtr3g072260"
"182","Medtr3g072910"
"183","Medtr3g078410"
"184","Medtr3g082350"
