"","x"
"1","Medtr0002s0890"
"2","Medtr0008s0280"
"3","Medtr0009s0100"
"4","Medtr0011s0260"
"5","Medtr0011s0320"
"6","Medtr0016s0030"
"7","Medtr0018s0240"
"8","Medtr0021s0130"
"9","Medtr0021s0360"
"10","Medtr0024s0120"
"11","Medtr0024s0320"
"12","Medtr0032s0080"
"13","Medtr0036s0010"
"14","Medtr0055s0110"
"15","Medtr0064s0160"
"16","Medtr0069s0090"
"17","Medtr0092s0080"
"18","Medtr0095s0040"
"19","Medtr0103s0010"
"20","Medtr0121s0010"
"21","Medtr0122s0020"
"22","Medtr0124s0070"
"23","Medtr0137s0080"
"24","Medtr0147s0010"
"25","Medtr0179s0050"
"26","Medtr0188s0020"
"27","Medtr0189s0010"
"28","Medtr0287s0050"
"29","Medtr0314s0030"
"30","Medtr0416s0030"
"31","Medtr0536s0020"
"32","Medtr0583s0010"
"33","Medtr0662s0030"
"34","Medtr0831s0010"
"35","Medtr1008s0010"
"36","Medtr1088s0010"
"37","Medtr1091s0010"
"38","Medtr1160s0010"
"39","Medtr1242s0010"
"40","Medtr1372s0010"
"41","Medtr1g007230"
"42","Medtr1g007390"
"43","Medtr1g007540"
"44","Medtr1g008590"
"45","Medtr1g008710"
"46","Medtr1g009610"
"47","Medtr1g009660"
"48","Medtr1g010210"
"49","Medtr1g012430"
"50","Medtr1g012690"
"51","Medtr1g012710"
"52","Medtr1g012840"
"53","Medtr1g013340"
"54","Medtr1g013650"
"55","Medtr1g014060"
"56","Medtr1g014220"
"57","Medtr1g014720"
"58","Medtr1g015620"
"59","Medtr1g015770"
"60","Medtr1g016200"
"61","Medtr1g016400"
"62","Medtr1g016910"
"63","Medtr1g017080"
"64","Medtr1g017260"
"65","Medtr1g018580"
"66","Medtr1g018810"
"67","Medtr1g019200"
"68","Medtr1g019500"
"69","Medtr1g019650"
"70","Medtr1g019760"
"71","Medtr1g021350"
"72","Medtr1g021820"
"73","Medtr1g023120"
"74","Medtr1g023230"
"75","Medtr1g023985"
"76","Medtr1g024870"
"77","Medtr1g026750"
"78","Medtr1g027020"
"79","Medtr1g027310"
"80","Medtr1g027420"
"81","Medtr1g027470"
"82","Medtr1g028680"
"83","Medtr1g028970"
"84","Medtr1g029790"
"85","Medtr1g029800"
"86","Medtr1g032580"
"87","Medtr1g033130"
"88","Medtr1g033590"
"89","Medtr1g035010"
"90","Medtr1g035040"
"91","Medtr1g035690"
"92","Medtr1g035750"
"93","Medtr1g036590"
"94","Medtr1g036840"
"95","Medtr1g037130"
"96","Medtr1g037250"
"97","Medtr1g037310"
"98","Medtr1g037450"
"99","Medtr1g038680"
"100","Medtr1g038810"
"101","Medtr1g039480"
"102","Medtr1g040110"
"103","Medtr1g040495"
"104","Medtr1g040555"
"105","Medtr1g041445"
"106","Medtr1g041550"
"107","Medtr1g044105"
"108","Medtr1g044125"
"109","Medtr1g044135"
"110","Medtr1g046210"
"111","Medtr1g046580"
"112","Medtr1g046600"
"113","Medtr1g046730"
"114","Medtr1g047910"
"115","Medtr1g047930"
"116","Medtr1g048750"
"117","Medtr1g048950"
"118","Medtr1g050502"
"119","Medtr1g050765"
"120","Medtr1g051175"
"121","Medtr1g051220"
"122","Medtr1g052115"
"123","Medtr1g054575"
"124","Medtr1g055080"
"125","Medtr1g055270"
"126","Medtr1g056180"
"127","Medtr1g056800"
"128","Medtr1g060540"
"129","Medtr1g060580"
"130","Medtr1g060790"
"131","Medtr1g061220"
"132","Medtr1g061940"
"133","Medtr1g063120"
"134","Medtr1g063230"
"135","Medtr1g063310"
"136","Medtr1g064750"
"137","Medtr1g066640"
"138","Medtr1g066980"
"139","Medtr1g067140"
"140","Medtr1g067380"
"141","Medtr1g068930"
"142","Medtr1g069215"
"143","Medtr1g069450"
"144","Medtr1g069720"
"145","Medtr1g069935"
"146","Medtr1g069940"
"147","Medtr1g070035"
"148","Medtr1g070470"
"149","Medtr1g071260"
"150","Medtr1g072100"
"151","Medtr1g072130"
"152","Medtr1g073840"
"153","Medtr1g075250"
"154","Medtr1g075550"
"155","Medtr1g075640"
"156","Medtr1g075890"
"157","Medtr1g077090"
"158","Medtr1g077210"
"159","Medtr1g077640"
"160","Medtr1g077660"
"161","Medtr1g077740"
"162","Medtr1g077840"
"163","Medtr1g077980"
"164","Medtr1g078100"
"165","Medtr1g079120"
"166","Medtr1g079350"
"167","Medtr1g080810"
"168","Medtr1g082300"
"169","Medtr1g082320"
"170","Medtr1g082450"
"171","Medtr1g082650"
"172","Medtr1g082680"
"173","Medtr1g083840"
"174","Medtr1g084200"
"175","Medtr1g085120"
"176","Medtr1g085300"
"177","Medtr1g086370"
"178","Medtr1g087150"
"179","Medtr1g087300"
"180","Medtr1g087810"
"181","Medtr1g088480"
"182","Medtr1g089890"
"183","Medtr1g090480"
"184","Medtr1g090723"
"185","Medtr1g091023"
"186","Medtr1g092570"
"187","Medtr1g092760"
"188","Medtr1g093120"
"189","Medtr1g093630"
"190","Medtr1g093850"
"191","Medtr1g094165"
"192","Medtr1g094185"
"193","Medtr1g094215"
"194","Medtr1g094740"
"195","Medtr1g095450"
"196","Medtr1g095540"
"197","Medtr1g095570"
"198","Medtr1g095600"
"199","Medtr1g096200"
"200","Medtr1g097300"
"201","Medtr1g098000"
"202","Medtr1g098737"
"203","Medtr1g099220"
"204","Medtr1g100300"
"205","Medtr1g101950"
"206","Medtr1g101970"
"207","Medtr1g101985"
"208","Medtr1g102070"
"209","Medtr1g102590"
"210","Medtr1g102710"
"211","Medtr1g103530"
"212","Medtr1g105075"
"213","Medtr1g105615"
"214","Medtr1g105855"
"215","Medtr1g105860"
"216","Medtr1g106030"
"217","Medtr1g106080"
"218","Medtr1g106730"
"219","Medtr1g106810"
"220","Medtr1g106855"
"221","Medtr1g106935"
"222","Medtr1g107360"
"223","Medtr1g107510"
"224","Medtr1g108550"
"225","Medtr1g111300"
"226","Medtr1g111740"
"227","Medtr1g114130"
"228","Medtr1g114540"
"229","Medtr1g115165"
"230","Medtr1g115265"
"231","Medtr1g115430"
"232","Medtr1g115535"
"233","Medtr1g115950"
"234","Medtr1g116390"
"235","Medtr1g116520"
"236","Medtr1g442830"
"237","Medtr1g492790"
"238","Medtr2g005075"
"239","Medtr2g005905"
"240","Medtr2g006570"
"241","Medtr2g006960"
"242","Medtr2g007250"
"243","Medtr2g007540"
"244","Medtr2g007550"
"245","Medtr2g007750"
"246","Medtr2g007880"
"247","Medtr2g008160"
"248","Medtr2g008840"
"249","Medtr2g008850"
"250","Medtr2g008960"
"251","Medtr2g009310"
"252","Medtr2g009810"
"253","Medtr2g010320"
"254","Medtr2g010740"
"255","Medtr2g010940"
"256","Medtr2g011570"
"257","Medtr2g011820"
"258","Medtr2g012350"
"259","Medtr2g012440"
"260","Medtr2g012600"
"261","Medtr2g012890"
"262","Medtr2g013150"
"263","Medtr2g013300"
"264","Medtr2g014680"
"265","Medtr2g015690"
"266","Medtr2g015887"
"267","Medtr2g015890"
"268","Medtr2g017740"
"269","Medtr2g019390"
"270","Medtr2g019450"
"271","Medtr2g019900"
"272","Medtr2g019950"
"273","Medtr2g020750"
"274","Medtr2g021790"
"275","Medtr2g022300"
"276","Medtr2g022890"
"277","Medtr2g023280"
"278","Medtr2g023660"
"279","Medtr2g025760"
"280","Medtr2g026250"
"281","Medtr2g026520"
"282","Medtr2g028795"
"283","Medtr2g028940"
"284","Medtr2g030100"
"285","Medtr2g030720"
"286","Medtr2g031710"
"287","Medtr2g031750"
"288","Medtr2g032030"
"289","Medtr2g032100"
"290","Medtr2g032630"
"291","Medtr2g033580"
"292","Medtr2g034890"
"293","Medtr2g037330"
"294","Medtr2g037430"
"295","Medtr2g037940"
"296","Medtr2g039120"
"297","Medtr2g040230"
"298","Medtr2g040470"
"299","Medtr2g041550"
"300","Medtr2g042610"
"301","Medtr2g044960"
"302","Medtr2g045780"
"303","Medtr2g048130"
"304","Medtr2g048630"
"305","Medtr2g048900"
"306","Medtr2g049150"
"307","Medtr2g049310"
"308","Medtr2g049420"
"309","Medtr2g054940"
"310","Medtr2g056150"
"311","Medtr2g059260"
"312","Medtr2g059540"
"313","Medtr2g060030"
"314","Medtr2g063823"
"315","Medtr2g064660"
"316","Medtr2g065360"
"317","Medtr2g066150"
"318","Medtr2g069030"
"319","Medtr2g069300"
"320","Medtr2g069420"
"321","Medtr2g069530"
"322","Medtr2g069690"
"323","Medtr2g070160"
"324","Medtr2g070320"
"325","Medtr2g070570"
"326","Medtr2g072790"
"327","Medtr2g072820"
"328","Medtr2g073260"
"329","Medtr2g075600"
"330","Medtr2g075800"
"331","Medtr2g076490"
"332","Medtr2g078250"
"333","Medtr2g079740"
"334","Medtr2g081070"
"335","Medtr2g081160"
"336","Medtr2g081770"
"337","Medtr2g082990"
"338","Medtr2g083230"
"339","Medtr2g083250"
"340","Medtr2g083420"
"341","Medtr2g083480"
"342","Medtr2g084080"
"343","Medtr2g084170"
"344","Medtr2g084190"
"345","Medtr2g084230"
"346","Medtr2g084475"
"347","Medtr2g084620"
"348","Medtr2g084630"
"349","Medtr2g085300"
"350","Medtr2g087295"
"351","Medtr2g087530"
"352","Medtr2g087820"
"353","Medtr2g088360"
"354","Medtr2g088980"
"355","Medtr2g089865"
"356","Medtr2g089950"
"357","Medtr2g089965"
"358","Medtr2g090405"
"359","Medtr2g090410"
"360","Medtr2g090685"
"361","Medtr2g090770"
"362","Medtr2g091015"
"363","Medtr2g093020"
"364","Medtr2g093730"
"365","Medtr2g094093"
"366","Medtr2g094170"
"367","Medtr2g094650"
"368","Medtr2g094930"
"369","Medtr2g095050"
"370","Medtr2g095880"
"371","Medtr2g096000"
"372","Medtr2g096140"
"373","Medtr2g096160"
"374","Medtr2g096500"
"375","Medtr2g096720"
"376","Medtr2g097460"
"377","Medtr2g097630"
"378","Medtr2g097650"
"379","Medtr2g099950"
"380","Medtr2g100030"
"381","Medtr2g101300"
"382","Medtr2g102140"
"383","Medtr2g102850"
"384","Medtr2g103660"
"385","Medtr2g104120"
"386","Medtr2g104590"
"387","Medtr2g104890"
"388","Medtr2g104930"
"389","Medtr2g105130"
"390","Medtr2g435550"
"391","Medtr2g435560"
"392","Medtr2g436350"
"393","Medtr2g450550"
"394","Medtr2g451540"
"395","Medtr2g460790"
"396","Medtr2g461240"
"397","Medtr2g481160"
"398","Medtr3g005935"
"399","Medtr3g006500"
"400","Medtr3g006760"
"401","Medtr3g007760"
"402","Medtr3g007950"
"403","Medtr3g008270"
"404","Medtr3g008760"
"405","Medtr3g008960"
"406","Medtr3g009010"
"407","Medtr3g009945"
"408","Medtr3g010290"
"409","Medtr3g011355"
"410","Medtr3g011900"
"411","Medtr3g012160"
"412","Medtr3g013470"
"413","Medtr3g013810"
"414","Medtr3g015830"
"415","Medtr3g017500"
"416","Medtr3g020780"
"417","Medtr3g021185"
"418","Medtr3g022005"
"419","Medtr3g022240"
"420","Medtr3g022830"
"421","Medtr3g022940"
"422","Medtr3g023780"
"423","Medtr3g027430"
"424","Medtr3g028465"
"425","Medtr3g030540"
"426","Medtr3g031030"
"427","Medtr3g031470"
"428","Medtr3g035700"
"429","Medtr3g037080"
"430","Medtr3g037670"
"431","Medtr3g045430"
"432","Medtr3g047220"
"433","Medtr3g047450"
"434","Medtr3g049400"
"435","Medtr3g052490"
"436","Medtr3g052590"
"437","Medtr3g052760"
"438","Medtr3g055450"
"439","Medtr3g055870"
"440","Medtr3g056645"
"441","Medtr3g058810"
"442","Medtr3g061900"
"443","Medtr3g062340"
"444","Medtr3g063030"
"445","Medtr3g067625"
"446","Medtr3g068005"
"447","Medtr3g068095"
"448","Medtr3g068130"
"449","Medtr3g069160"
"450","Medtr3g069440"
"451","Medtr3g070460"
"452","Medtr3g070560"
"453","Medtr3g071610"
"454","Medtr3g071740"
"455","Medtr3g072130"
"456","Medtr3g073330"
"457","Medtr3g073620"
"458","Medtr3g074100"
"459","Medtr3g074580"
"460","Medtr3g075450"
"461","Medtr3g077190"
"462","Medtr3g077550"
"463","Medtr3g077670"
"464","Medtr3g077740"
"465","Medtr3g078540"
