"","x"
"1","Medtr0019s0190"
"2","Medtr0047s0090"
"3","Medtr0101s0030"
"4","Medtr0262s0020"
"5","Medtr0279s0030"
"6","Medtr0295s0010"
"7","Medtr1g007920"
"8","Medtr1g015000"
"9","Medtr1g023880"
"10","Medtr1g025290"
"11","Medtr1g026990"
"12","Medtr1g031880"
"13","Medtr1g031930"
"14","Medtr1g033830"
"15","Medtr1g036710"
"16","Medtr1g038290"
"17","Medtr1g041545"
"18","Medtr1g050230"
"19","Medtr1g052970"
"20","Medtr1g060280"
"21","Medtr1g066950"
"22","Medtr1g067010"
"23","Medtr1g079140"
"24","Medtr1g082770"
"25","Medtr1g082940"
"26","Medtr1g083600"
"27","Medtr1g084120"
"28","Medtr1g084750"
"29","Medtr1g085240"
"30","Medtr1g086170"
"31","Medtr1g089900"
"32","Medtr1g092930"
"33","Medtr1g098350"
"34","Medtr1g101000"
"35","Medtr1g104930"
"36","Medtr1g104937"
"37","Medtr1g112990"
"38","Medtr1g113820"
"39","Medtr2g005880"
"40","Medtr2g007340"
"41","Medtr2g007950"
"42","Medtr2g011350"
"43","Medtr2g013550"
"44","Medtr2g016150"
"45","Medtr2g017530"
"46","Medtr2g017875"
"47","Medtr2g019230"
"48","Medtr2g020520"
"49","Medtr2g029200"
"50","Medtr2g031510"
"51","Medtr2g038305"
"52","Medtr2g045070"
"53","Medtr2g049670"
"54","Medtr2g062300"
"55","Medtr2g067610"
"56","Medtr2g075260"
"57","Medtr2g078970"
"58","Medtr2g078990"
"59","Medtr2g079830"
"60","Medtr2g083650"
"61","Medtr2g086590"
"62","Medtr2g087230"
"63","Medtr2g089050"
"64","Medtr2g093220"
"65","Medtr2g097210"
"66","Medtr2g100020"
"67","Medtr2g102390"
"68","Medtr2g103490"
"69","Medtr2g104760"
"70","Medtr2g105260"
"71","Medtr3g006350"
"72","Medtr3g007480"
"73","Medtr3g022130"
"74","Medtr3g064610"
"75","Medtr3g069170"
"76","Medtr3g070380"
"77","Medtr3g072630"
"78","Medtr3g073560"
"79","Medtr3g077040"
"80","Medtr3g077930"
"81","Medtr3g084140"
"82","Medtr3g086430"
"83","Medtr3g091850"
"84","Medtr3g093070"
"85","Medtr3g094090"
"86","Medtr3g096940"
"87","Medtr3g099773"
"88","Medtr3g100420"
"89","Medtr3g101480"
"90","Medtr3g107320"
"91","Medtr3g109800"
"92","Medtr3g113930"
"93","Medtr3g115080"
"94","Medtr3g118190"
"95","Medtr3g462760"
"96","Medtr4g006120"
"97","Medtr4g009110"
"98","Medtr4g011110"
"99","Medtr4g014780"
"100","Medtr4g014850"
"101","Medtr4g023440"
"102","Medtr4g050940"
"103","Medtr4g051532"
"104","Medtr4g058970"
"105","Medtr4g064813"
"106","Medtr4g065017"
"107","Medtr4g070080"
"108","Medtr4g077475"
"109","Medtr4g081200"
"110","Medtr4g098500"
"111","Medtr4g100480"
"112","Medtr4g100530"
"113","Medtr4g103565"
"114","Medtr4g107270"
"115","Medtr4g107860"
"116","Medtr4g114850"
"117","Medtr4g117360"
"118","Medtr4g119850"
"119","Medtr4g125640"
"120","Medtr4g128840"
"121","Medtr4g129330"
"122","Medtr4g132230"
"123","Medtr4g132860"
"124","Medtr5g004980"
"125","Medtr5g005530"
"126","Medtr5g007820"
"127","Medtr5g008325"
"128","Medtr5g015070"
"129","Medtr5g022770"
"130","Medtr5g026860"
"131","Medtr5g027020"
"132","Medtr5g030710"
"133","Medtr5g031840"
"134","Medtr5g033720"
"135","Medtr5g033820"
"136","Medtr5g037310"
"137","Medtr5g040640"
"138","Medtr5g055160"
"139","Medtr5g066990"
"140","Medtr5g068790"
"141","Medtr5g069640"
"142","Medtr5g074580"
"143","Medtr5g084210"
"144","Medtr5g086340"
"145","Medtr5g087350"
"146","Medtr5g089300"
"147","Medtr5g089835"
"148","Medtr5g090580"
"149","Medtr5g092850"
"150","Medtr6g015420"
"151","Medtr6g018680"
"152","Medtr6g032820"
"153","Medtr6g033445"
"154","Medtr6g037900"
"155","Medtr6g038570"
"156","Medtr6g069860"
"157","Medtr6g071120"
"158","Medtr6g071310"
"159","Medtr6g082970"
"160","Medtr6g088680"
"161","Medtr6g092700"
"162","Medtr6g452730"
"163","Medtr6g478190"
"164","Medtr6g488200"
"165","Medtr6g488210"
"166","Medtr7g022550"
"167","Medtr7g032640"
"168","Medtr7g051020"
"169","Medtr7g062260"
"170","Medtr7g065630"
"171","Medtr7g072560"
"172","Medtr7g075120"
"173","Medtr7g083585"
"174","Medtr7g089460"
"175","Medtr7g094470"
"176","Medtr7g100150"
"177","Medtr7g105260"
"178","Medtr7g109510"
"179","Medtr7g109560"
"180","Medtr7g112600"
"181","Medtr7g112860"
"182","Medtr7g114200"
"183","Medtr7g114935"
"184","Medtr7g116320"
"185","Medtr7g116910"
"186","Medtr7g498280"
"187","Medtr8g005205"
"188","Medtr8g005215"
"189","Medtr8g006765"
"190","Medtr8g009063"
"191","Medtr8g012570"
"192","Medtr8g014330"
"193","Medtr8g016030"
"194","Medtr8g021233"
"195","Medtr8g042670"
"196","Medtr8g064760"
"197","Medtr8g068390"
"198","Medtr8g073160"
"199","Medtr8g074640"
"200","Medtr8g075180"
"201","Medtr8g079120"
"202","Medtr8g086080"
"203","Medtr8g088780"
"204","Medtr8g089435"
"205","Medtr8g095240"
"206","Medtr8g096440"
"207","Medtr8g097030"
"208","Medtr8g104140"
"209","Medtr8g105010"
