"","x"
"1","Medtr0001s0160"
"2","Medtr0002s0020"
"3","Medtr0002s0090"
"4","Medtr0002s0820"
"5","Medtr0002s1160"
"6","Medtr0003s0060"
"7","Medtr0003s0090"
"8","Medtr0003s0170"
"9","Medtr0003s0500"
"10","Medtr0003s0610"
"11","Medtr0007s0380"
"12","Medtr0008s0280"
"13","Medtr0009s0080"
"14","Medtr0009s0120"
"15","Medtr0009s0240"
"16","Medtr0011s0320"
"17","Medtr0016s0030"
"18","Medtr0017s0200"
"19","Medtr0019s0190"
"20","Medtr0020s0130"
"21","Medtr0024s0240"
"22","Medtr0026s0010"
"23","Medtr0027s0230"
"24","Medtr0042s0170"
"25","Medtr0052s0070"
"26","Medtr0052s0080"
"27","Medtr0055s0030"
"28","Medtr0055s0050"
"29","Medtr0055s0110"
"30","Medtr0058s0010"
"31","Medtr0064s0160"
"32","Medtr0071s0030"
"33","Medtr0078s0060"
"34","Medtr0079s0070"
"35","Medtr0092s0060"
"36","Medtr0101s0030"
"37","Medtr0102s0060"
"38","Medtr0103s0010"
"39","Medtr0110s0030"
"40","Medtr0117s0040"
"41","Medtr0122s0020"
"42","Medtr0144s0020"
"43","Medtr0153s0020"
"44","Medtr0153s0030"
"45","Medtr0153s0060"
"46","Medtr0154s0040"
"47","Medtr0155s0010"
"48","Medtr0189s0010"
"49","Medtr0194s0020"
"50","Medtr0212s0020"
"51","Medtr0223s0010"
"52","Medtr0248s0010"
"53","Medtr0262s0020"
"54","Medtr0268s0070"
"55","Medtr0287s0050"
"56","Medtr0287s0060"
"57","Medtr0295s0010"
"58","Medtr0312s0020"
"59","Medtr0363s0030"
"60","Medtr0415s0060"
"61","Medtr0443s0040"
"62","Medtr0475s0020"
"63","Medtr0511s0010"
"64","Medtr0531s0010"
"65","Medtr0549s0010"
"66","Medtr0549s0020"
"67","Medtr0568s0010"
"68","Medtr0583s0010"
"69","Medtr0667s0010"
"70","Medtr0879s0010"
"71","Medtr0911s0020"
"72","Medtr0991s0010"
"73","Medtr1088s0010"
"74","Medtr1240s0010"
"75","Medtr1291s0010"
"76","Medtr1308s0010"
"77","Medtr1372s0010"
"78","Medtr1543s0010"
"79","Medtr1g007540"
"80","Medtr1g007650"
"81","Medtr1g007905"
"82","Medtr1g008170"
"83","Medtr1g008280"
"84","Medtr1g008990"
"85","Medtr1g009155"
"86","Medtr1g009190"
"87","Medtr1g009260"
"88","Medtr1g009315"
"89","Medtr1g009640"
"90","Medtr1g009650"
"91","Medtr1g009680"
"92","Medtr1g010240"
"93","Medtr1g011630"
