"","x"
"1","Medtr0009s0120"
"2","Medtr0020s0130"
"3","Medtr0036s0280"
"4","Medtr0053s0030"
"5","Medtr0082s0100"
"6","Medtr0113s0040"
"7","Medtr0133s0030"
"8","Medtr0154s0020"
"9","Medtr0155s0010"
"10","Medtr0212s0020"
"11","Medtr0271s0050"
"12","Medtr0288s0020"
"13","Medtr0374s0050"
"14","Medtr0475s0020"
"15","Medtr0591s0010"
"16","Medtr0912s0010"
"17","Medtr1291s0010"
"18","Medtr1301s0010"
"19","Medtr1396s0010"
"20","Medtr1g008050"
"21","Medtr1g009190"
"22","Medtr1g009640"
"23","Medtr1g010260"
"24","Medtr1g015650"
"25","Medtr1g015860"
"26","Medtr1g016840"
"27","Medtr1g017090"
"28","Medtr1g017990"
"29","Medtr1g018550"
"30","Medtr1g019590"
"31","Medtr1g019640"
"32","Medtr1g021855"
"33","Medtr1g021945"
"34","Medtr1g022380"
"35","Medtr1g023125"
"36","Medtr1g023260"
"37","Medtr1g027320"
"38","Medtr1g027360"
"39","Medtr1g027520"
"40","Medtr1g027540"
"41","Medtr1g029500"
"42","Medtr1g030600"
"43","Medtr1g030890"
"44","Medtr1g031080"
"45","Medtr1g032620"
"46","Medtr1g033440"
"47","Medtr1g033600"
"48","Medtr1g034120"
"49","Medtr1g034320"
"50","Medtr1g034330"
"51","Medtr1g035300"
"52","Medtr1g035540"
"53","Medtr1g042820"
"54","Medtr1g046650"
"55","Medtr1g048070"
"56","Medtr1g051195"
"57","Medtr1g052470"
"58","Medtr1g054150"
"59","Medtr1g054380"
"60","Medtr1g059840"
"61","Medtr1g061170"
"62","Medtr1g061510"
"63","Medtr1g063780"
"64","Medtr1g063900"
"65","Medtr1g067050"
"66","Medtr1g071460"
"67","Medtr1g071610"
"68","Medtr1g071780"
"69","Medtr1g071870"
"70","Medtr1g072690"
"71","Medtr1g075280"
"72","Medtr1g075540"
"73","Medtr1g077460"
"74","Medtr1g078030"
"75","Medtr1g080250"
"76","Medtr1g080370"
"77","Medtr1g081420"
"78","Medtr1g082750"
"79","Medtr1g083580"
"80","Medtr1g083840"
"81","Medtr1g084060"
"82","Medtr1g084820"
"83","Medtr1g086510"
"84","Medtr1g087040"
"85","Medtr1g088795"
"86","Medtr1g088910"
"87","Medtr1g089570"
"88","Medtr1g089745"
"89","Medtr1g089980"
"90","Medtr1g090290"
"91","Medtr1g095510"
"92","Medtr1g095550"
"93","Medtr1g096910"
"94","Medtr1g098310"
"95","Medtr1g098740"
"96","Medtr1g101360"
"97","Medtr1g101370"
"98","Medtr1g101630"
"99","Medtr1g102550"
"100","Medtr1g103150"
"101","Medtr1g104610"
"102","Medtr1g104650"
"103","Medtr1g106630"
"104","Medtr1g107555"
"105","Medtr1g108910"
"106","Medtr1g109350"
"107","Medtr1g110190"
"108","Medtr1g110550"
"109","Medtr1g111190"
"110","Medtr1g111890"
"111","Medtr1g113960"
"112","Medtr1g114690"
"113","Medtr1g114750"
"114","Medtr1g115140"
"115","Medtr1g418545"
"116","Medtr1g475250"
"117","Medtr2g005210"
"118","Medtr2g006330"
"119","Medtr2g006910"
"120","Medtr2g008030"
"121","Medtr2g008750"
"122","Medtr2g008960"
"123","Medtr2g008980"
"124","Medtr2g009900"
"125","Medtr2g011335"
"126","Medtr2g011490"
"127","Medtr2g011570"
"128","Medtr2g012910"
"129","Medtr2g013140"
"130","Medtr2g014830"
"131","Medtr2g014840"
"132","Medtr2g014870"
"133","Medtr2g015480"
"134","Medtr2g016470"
"135","Medtr2g016630"
"136","Medtr2g016770"
"137","Medtr2g020280"
"138","Medtr2g020990"
"139","Medtr2g021150"
"140","Medtr2g021400"
"141","Medtr2g022100"
"142","Medtr2g026040"
"143","Medtr2g026575"
"144","Medtr2g030400"
"145","Medtr2g031310"
"146","Medtr2g034360"
"147","Medtr2g034720"
"148","Medtr2g034750"
"149","Medtr2g041400"
"150","Medtr2g041620"
"151","Medtr2g044140"
"152","Medtr2g045050"
"153","Medtr2g045280"
"154","Medtr2g045490"
"155","Medtr2g049770"
"156","Medtr2g055750"
"157","Medtr2g062210"
"158","Medtr2g062470"
"159","Medtr2g068685"
"160","Medtr2g069400"
"161","Medtr2g070020"
"162","Medtr2g071740"
"163","Medtr2g072260"
"164","Medtr2g072940"
"165","Medtr2g073190"
"166","Medtr2g073700"
"167","Medtr2g076350"
"168","Medtr2g080010"
"169","Medtr2g081930"
"170","Medtr2g082090"
"171","Medtr2g082180"
