"","x"
"1","Medtr0002s1200"
"2","Medtr0003s0500"
"3","Medtr0004s0330"
"4","Medtr0007s0090"
"5","Medtr0009s0230"
"6","Medtr0009s0400"
"7","Medtr0009s0410"
"8","Medtr0011s0320"
"9","Medtr0013s0230"
"10","Medtr0015s0130"
"11","Medtr0024s0020"
"12","Medtr0026s0010"
"13","Medtr0026s0160"
"14","Medtr0032s0040"
"15","Medtr0032s0060"
"16","Medtr0034s0060"
"17","Medtr0036s0010"
"18","Medtr0036s0070"
"19","Medtr0042s0230"
"20","Medtr0052s0030"
"21","Medtr0057s0200"
"22","Medtr0064s0160"
"23","Medtr0065s0110"
"24","Medtr0070s0080"
"25","Medtr0086s0010"
"26","Medtr0087s0070"
"27","Medtr0100s0150"
"28","Medtr0100s0160"
"29","Medtr0122s0020"
"30","Medtr0131s0030"
"31","Medtr0170s0020"
"32","Medtr0186s0030"
"33","Medtr0205s0040"
"34","Medtr0280s0040"
"35","Medtr0308s0010"
"36","Medtr0308s0060"
"37","Medtr0320s0040"
"38","Medtr0334s0040"
"39","Medtr0393s0040"
"40","Medtr0394s0020"
"41","Medtr0400s0010"
"42","Medtr0421s0010"
"43","Medtr0458s0010"
"44","Medtr0650s0010"
"45","Medtr0929s0020"
"46","Medtr1088s0010"
"47","Medtr1173s0010"
"48","Medtr1308s0010"
"49","Medtr1918s0010"
"50","Medtr1g008280"
"51","Medtr1g009150"
"52","Medtr1g009610"
"53","Medtr1g009620"
"54","Medtr1g010050"
"55","Medtr1g010300"
"56","Medtr1g012920"
"57","Medtr1g013100"
"58","Medtr1g013820"
"59","Medtr1g014070"
"60","Medtr1g014250"
"61","Medtr1g014680"
"62","Medtr1g015000"
"63","Medtr1g015120"
"64","Medtr1g015620"
"65","Medtr1g015970"
"66","Medtr1g016060"
"67","Medtr1g016300"
"68","Medtr1g016450"
"69","Medtr1g016510"
"70","Medtr1g017170"
"71","Medtr1g017700"
"72","Medtr1g017950"
"73","Medtr1g018130"
"74","Medtr1g018580"
"75","Medtr1g019270"
"76","Medtr1g019285"
"77","Medtr1g019340"
"78","Medtr1g019360"
"79","Medtr1g019715"
"80","Medtr1g019790"
"81","Medtr1g019870"
"82","Medtr1g021570"
"83","Medtr1g021590"
"84","Medtr1g021652"
"85","Medtr1g021885"
"86","Medtr1g021965"
"87","Medtr1g022005"
"88","Medtr1g022025"
"89","Medtr1g022160"
"90","Medtr1g022440"
"91","Medtr1g022475"
"92","Medtr1g022950"
"93","Medtr1g024015"
"94","Medtr1g024085"
"95","Medtr1g025980"
"96","Medtr1g026200"
"97","Medtr1g026470"
"98","Medtr1g026540"
"99","Medtr1g026550"
"100","Medtr1g027050"
"101","Medtr1g027690"
"102","Medtr1g027890"
"103","Medtr1g028080"
"104","Medtr1g028090"
"105","Medtr1g028330"
"106","Medtr1g028720"
"107","Medtr1g029280"
"108","Medtr1g029460"
"109","Medtr1g029600"
"110","Medtr1g029610"
"111","Medtr1g029810"
"112","Medtr1g030268"
"113","Medtr1g030710"
"114","Medtr1g030840"
"115","Medtr1g031200"
"116","Medtr1g031590"
"117","Medtr1g032630"
"118","Medtr1g032710"
"119","Medtr1g032740"
"120","Medtr1g033010"
"121","Medtr1g033090"
"122","Medtr1g033100"
"123","Medtr1g033130"
"124","Medtr1g033340"
"125","Medtr1g033750"
"126","Medtr1g033810"
"127","Medtr1g033850"
"128","Medtr1g034480"
"129","Medtr1g035190"
"130","Medtr1g035200"
"131","Medtr1g036420"
"132","Medtr1g036750"
"133","Medtr1g036800"
"134","Medtr1g037450"
"135","Medtr1g038650"
"136","Medtr1g039410"
"137","Medtr1g040315"
"138","Medtr1g040875"
"139","Medtr1g041285"
"140","Medtr1g041395"
"141","Medtr1g041895"
"142","Medtr1g043080"
"143","Medtr1g043320"
"144","Medtr1g043350"
"145","Medtr1g043760"
"146","Medtr1g043770"
"147","Medtr1g045120"
"148","Medtr1g045490"
"149","Medtr1g045550"
"150","Medtr1g045610"
"151","Medtr1g045880"
"152","Medtr1g046230"
"153","Medtr1g046580"
"154","Medtr1g050502"
"155","Medtr1g050510"
"156","Medtr1g051125"
"157","Medtr1g052115"
"158","Medtr1g052270"
"159","Medtr1g052505"
"160","Medtr1g052730"
"161","Medtr1g053525"
"162","Medtr1g054055"
"163","Medtr1g054665"
"164","Medtr1g054730"
"165","Medtr1g054735"
"166","Medtr1g055080"
"167","Medtr1g055325"
"168","Medtr1g056180"
"169","Medtr1g057290"
"170","Medtr1g057400"
"171","Medtr1g057940"
"172","Medtr1g059770"
"173","Medtr1g060040"
"174","Medtr1g060280"
"175","Medtr1g060300"
"176","Medtr1g060570"
"177","Medtr1g060830"
"178","Medtr1g061130"
"179","Medtr1g061190"
"180","Medtr1g061220"
"181","Medtr1g061250"
"182","Medtr1g061570"
"183","Medtr1g062160"
"184","Medtr1g062200"
"185","Medtr1g062710"
"186","Medtr1g062780"
"187","Medtr1g063020"
"188","Medtr1g063330"
"189","Medtr1g064560"
"190","Medtr1g066720"
"191","Medtr1g066800"
"192","Medtr1g067140"
"193","Medtr1g067320"
"194","Medtr1g067410"
"195","Medtr1g067530"
"196","Medtr1g068730"
"197","Medtr1g068830"
"198","Medtr1g069325"
"199","Medtr1g069430"
"200","Medtr1g069450"
"201","Medtr1g069460"
"202","Medtr1g069745"
"203","Medtr1g069940"
"204","Medtr1g070230"
"205","Medtr1g070250"
"206","Medtr1g070480"
"207","Medtr1g070520"
"208","Medtr1g070860"
"209","Medtr1g071150"
"210","Medtr1g071260"
"211","Medtr1g072130"
"212","Medtr1g072160"
"213","Medtr1g072580"
"214","Medtr1g072690"
"215","Medtr1g072720"
"216","Medtr1g072780"
"217","Medtr1g073540"
"218","Medtr1g073600"
"219","Medtr1g073740"
"220","Medtr1g077030"
"221","Medtr1g077480"
"222","Medtr1g077620"
"223","Medtr1g077940"
"224","Medtr1g078100"
"225","Medtr1g078160"
"226","Medtr1g078290"
"227","Medtr1g079400"
"228","Medtr1g079430"
"229","Medtr1g079440"
"230","Medtr1g080020"
"231","Medtr1g080320"
"232","Medtr1g080720"
"233","Medtr1g080820"
"234","Medtr1g081710"
"235","Medtr1g081830"
"236","Medtr1g081910"
"237","Medtr1g082300"
"238","Medtr1g082320"
"239","Medtr1g082360"
"240","Medtr1g082570"
"241","Medtr1g082740"
"242","Medtr1g082760"
"243","Medtr1g083020"
"244","Medtr1g083230"
"245","Medtr1g083450"
"246","Medtr1g084000"
"247","Medtr1g084160"
"248","Medtr1g084740"
"249","Medtr1g085040"
"250","Medtr1g085480"
"251","Medtr1g085530"
"252","Medtr1g085610"
"253","Medtr1g085640"
"254","Medtr1g086950"
"255","Medtr1g087015"
"256","Medtr1g087300"
"257","Medtr1g087330"
"258","Medtr1g087720"
"259","Medtr1g087730"
"260","Medtr1g088020"
"261","Medtr1g088225"
"262","Medtr1g088480"
"263","Medtr1g088640"
"264","Medtr1g088720"
"265","Medtr1g088750"
"266","Medtr1g089865"
"267","Medtr1g090150"
"268","Medtr1g090170"
"269","Medtr1g090270"
"270","Medtr1g090320"
"271","Medtr1g090620"
"272","Medtr1g090690"
"273","Medtr1g090743"
"274","Medtr1g090837"
"275","Medtr1g091010"
"276","Medtr1g092670"
"277","Medtr1g093060"
"278","Medtr1g093210"
"279","Medtr1g093240"
"280","Medtr1g093850"
"281","Medtr1g094185"
"282","Medtr1g094660"
"283","Medtr1g094740"
"284","Medtr1g094890"
"285","Medtr1g094960"
"286","Medtr1g095030"
"287","Medtr1g095080"
"288","Medtr1g095600"
"289","Medtr1g096200"
"290","Medtr1g096550"
"291","Medtr1g096790"
"292","Medtr1g096990"
"293","Medtr1g097870"
"294","Medtr1g097890"
"295","Medtr1g097910"
"296","Medtr1g098140"
"297","Medtr1g098450"
"298","Medtr1g098700"
"299","Medtr1g098870"
"300","Medtr1g098900"
"301","Medtr1g099280"
"302","Medtr1g099320"
"303","Medtr1g099500"
"304","Medtr1g099580"
"305","Medtr1g100200"
"306","Medtr1g100305"
"307","Medtr1g100860"
"308","Medtr1g100970"
"309","Medtr1g101030"
"310","Medtr1g101330"
"311","Medtr1g101440"
"312","Medtr1g102130"
"313","Medtr1g102160"
"314","Medtr1g102240"
"315","Medtr1g102390"
"316","Medtr1g102640"
"317","Medtr1g102890"
"318","Medtr1g103870"
"319","Medtr1g104555"
"320","Medtr1g104800"
"321","Medtr1g104810"
"322","Medtr1g104850"
"323","Medtr1g105020"
"324","Medtr1g105230"
"325","Medtr1g105545"
"326","Medtr1g105890"
"327","Medtr1g106060"
"328","Medtr1g106460"
"329","Medtr1g107235"
"330","Medtr1g107380"
"331","Medtr1g107385"
"332","Medtr1g107545"
"333","Medtr1g108330"
"334","Medtr1g108640"
"335","Medtr1g108780"
"336","Medtr1g110110"
"337","Medtr1g110120"
"338","Medtr1g110210"
"339","Medtr1g110260"
"340","Medtr1g110930"
"341","Medtr1g111660"
"342","Medtr1g111900"
"343","Medtr1g112730"
"344","Medtr1g112990"
"345","Medtr1g113730"
"346","Medtr1g113740"
"347","Medtr1g113760"
"348","Medtr1g114380"
"349","Medtr1g114490"
"350","Medtr1g114540"
"351","Medtr1g115280"
"352","Medtr1g115430"
"353","Medtr1g115820"
"354","Medtr1g115850"
"355","Medtr1g115920"
"356","Medtr1g115950"
"357","Medtr1g115980"
"358","Medtr1g116110"
"359","Medtr1g116270"
"360","Medtr1g116310"
"361","Medtr1g116470"
"362","Medtr1g117000"
"363","Medtr1g492590"
"364","Medtr1g492670"
"365","Medtr1g492700"
"366","Medtr2g005130"
"367","Medtr2g005330"
"368","Medtr2g006150"
"369","Medtr2g007300"
"370","Medtr2g007750"
"371","Medtr2g007950"
"372","Medtr2g007970"
"373","Medtr2g008226"
"374","Medtr2g008360"
"375","Medtr2g008850"
"376","Medtr2g008930"
"377","Medtr2g009890"
"378","Medtr2g010000"
"379","Medtr2g010600"
"380","Medtr2g010810"
"381","Medtr2g010860"
"382","Medtr2g010920"
"383","Medtr2g011170"
"384","Medtr2g011810"
"385","Medtr2g012270"
"386","Medtr2g012830"
"387","Medtr2g012920"
"388","Medtr2g012990"
"389","Medtr2g013000"
"390","Medtr2g013350"
"391","Medtr2g013640"
"392","Medtr2g014290"
"393","Medtr2g014860"
"394","Medtr2g015430"
"395","Medtr2g015710"
"396","Medtr2g015720"
"397","Medtr2g015850"
"398","Medtr2g015870"
"399","Medtr2g016390"
"400","Medtr2g016400"
"401","Medtr2g016710"
"402","Medtr2g017420"
"403","Medtr2g017800"
"404","Medtr2g017890"
"405","Medtr2g018270"
"406","Medtr2g019060"
"407","Medtr2g019230"
"408","Medtr2g019370"
"409","Medtr2g019390"
"410","Medtr2g019450"
"411","Medtr2g019640"
"412","Medtr2g020420"
"413","Medtr2g020450"
"414","Medtr2g020470"
"415","Medtr2g020630"
"416","Medtr2g022850"
"417","Medtr2g023150"
"418","Medtr2g023280"
"419","Medtr2g023320"
"420","Medtr2g023890"
"421","Medtr2g024080"
"422","Medtr2g024100"
"423","Medtr2g025740"
"424","Medtr2g025790"
"425","Medtr2g027090"
"426","Medtr2g027300"
"427","Medtr2g027540"
"428","Medtr2g027690"
"429","Medtr2g028380"
"430","Medtr2g029000"
"431","Medtr2g029990"
"432","Medtr2g030300"
"433","Medtr2g031420"
"434","Medtr2g031490"
"435","Medtr2g031510"
"436","Medtr2g031750"
"437","Medtr2g032030"
"438","Medtr2g032100"
"439","Medtr2g032550"
"440","Medtr2g034090"
"441","Medtr2g035020"
"442","Medtr2g035120"
"443","Medtr2g035470"
"444","Medtr2g036320"
"445","Medtr2g036390"
"446","Medtr2g037380"
"447","Medtr2g037770"
"448","Medtr2g038210"
"449","Medtr2g038510"
"450","Medtr2g039920"
"451","Medtr2g040230"
"452","Medtr2g040970"
"453","Medtr2g041170"
"454","Medtr2g044210"
"455","Medtr2g044440"
"456","Medtr2g045245"
"457","Medtr2g047912"
"458","Medtr2g048360"
"459","Medtr2g048900"
"460","Medtr2g049340"
"461","Medtr2g054940"
"462","Medtr2g059540"
"463","Medtr2g060070"
"464","Medtr2g060475"
"465","Medtr2g060520"
"466","Medtr2g060550"
"467","Medtr2g060630"
"468","Medtr2g062920"
"469","Medtr2g063000"
"470","Medtr2g063460"
"471","Medtr2g063620"
"472","Medtr2g065550"
"473","Medtr2g067600"
"474","Medtr2g067610"
"475","Medtr2g067860"
"476","Medtr2g069320"
"477","Medtr2g069430"
"478","Medtr2g069990"
"479","Medtr2g070070"
"480","Medtr2g070180"
"481","Medtr2g070200"
"482","Medtr2g070420"
"483","Medtr2g070570"
"484","Medtr2g070670"
"485","Medtr2g071620"
"486","Medtr2g071850"
"487","Medtr2g072810"
"488","Medtr2g072820"
"489","Medtr2g073020"
"490","Medtr2g075600"
"491","Medtr2g075770"
"492","Medtr2g076470"
"493","Medtr2g076590"
"494","Medtr2g076910"
"495","Medtr2g076960"
"496","Medtr2g076970"
"497","Medtr2g078350"
"498","Medtr2g078360"
"499","Medtr2g078370"
"500","Medtr2g078510"
"501","Medtr2g078620"
"502","Medtr2g078660"
"503","Medtr2g078760"
"504","Medtr2g079540"
"505","Medtr2g080210"
"506","Medtr2g080220"
"507","Medtr2g080260"
"508","Medtr2g080950"
"509","Medtr2g081490"
"510","Medtr2g081610"
"511","Medtr2g081770"
"512","Medtr2g081810"
"513","Medtr2g083220"
"514","Medtr2g083380"
"515","Medtr2g083520"
"516","Medtr2g083650"
"517","Medtr2g083810"
"518","Medtr2g083830"
"519","Medtr2g083930"
"520","Medtr2g084210"
"521","Medtr2g084230"
"522","Medtr2g084245"
"523","Medtr2g084270"
"524","Medtr2g084480"
"525","Medtr2g084545"
"526","Medtr2g084550"
"527","Medtr2g084620"
"528","Medtr2g084875"
"529","Medtr2g085065"
"530","Medtr2g086283"
"531","Medtr2g087125"
"532","Medtr2g087980"
"533","Medtr2g088080"
"534","Medtr2g088100"
"535","Medtr2g088107"
"536","Medtr2g088360"
"537","Medtr2g088700"
"538","Medtr2g088955"
"539","Medtr2g088990"
"540","Medtr2g089000"
"541","Medtr2g089040"
"542","Medtr2g089120"
"543","Medtr2g090080"
"544","Medtr2g090305"
"545","Medtr2g090405"
"546","Medtr2g090525"
"547","Medtr2g090595"
"548","Medtr2g090610"
"549","Medtr2g090695"
"550","Medtr2g090765"
"551","Medtr2g090875"
"552","Medtr2g090900"
"553","Medtr2g091120"
"554","Medtr2g091130"
"555","Medtr2g091135"
"556","Medtr2g091175"
"557","Medtr2g091220"
"558","Medtr2g093650"
"559","Medtr2g093750"
"560","Medtr2g093960"
"561","Medtr2g094090"
"562","Medtr2g094270"
"563","Medtr2g095030"
"564","Medtr2g095260"
"565","Medtr2g095700"
"566","Medtr2g096030"
"567","Medtr2g096160"
"568","Medtr2g096330"
"569","Medtr2g096630"
"570","Medtr2g096660"
"571","Medtr2g096970"
"572","Medtr2g097000"
"573","Medtr2g097540"
"574","Medtr2g097620"
"575","Medtr2g097710"
"576","Medtr2g097800"
"577","Medtr2g098070"
"578","Medtr2g098250"
"579","Medtr2g098420"
"580","Medtr2g098430"
"581","Medtr2g098850"
"582","Medtr2g099095"
"583","Medtr2g099175"
"584","Medtr2g099450"
"585","Medtr2g099710"
"586","Medtr2g099720"
"587","Medtr2g100000"
"588","Medtr2g100060"
"589","Medtr2g100200"
"590","Medtr2g100240"
"591","Medtr2g100660"
"592","Medtr2g101130"
"593","Medtr2g101520"
"594","Medtr2g101830"
"595","Medtr2g101920"
"596","Medtr2g102050"
"597","Medtr2g102080"
"598","Medtr2g102390"
"599","Medtr2g102640"
"600","Medtr2g103590"
"601","Medtr2g103870"
"602","Medtr2g104180"
"603","Medtr2g104650"
"604","Medtr2g104760"
"605","Medtr2g104930"
"606","Medtr2g426060"
"607","Medtr2g435310"
"608","Medtr2g435340"
"609","Medtr2g435540"
"610","Medtr2g436560"
"611","Medtr2g437230"
"612","Medtr2g437600"
"613","Medtr2g437660"
"614","Medtr2g437810"
"615","Medtr2g437910"
"616","Medtr2g438400"
"617","Medtr2g450480"
"618","Medtr2g451110"
"619","Medtr2g460590"
"620","Medtr2g461800"
"621","Medtr3g005340"
"622","Medtr3g005410"
"623","Medtr3g005440"
"624","Medtr3g006320"
"625","Medtr3g006350"
"626","Medtr3g006490"
"627","Medtr3g006810"
"628","Medtr3g007590"
"629","Medtr3g008270"
"630","Medtr3g008760"
"631","Medtr3g009490"
"632","Medtr3g009520"
"633","Medtr3g009960"
"634","Medtr3g010695"
"635","Medtr3g011390"
"636","Medtr3g011910"
"637","Medtr3g011930"
"638","Medtr3g012250"
"639","Medtr3g014660"
"640","Medtr3g015550"
"641","Medtr3g015560"
"642","Medtr3g017500"
"643","Medtr3g019030"
"644","Medtr3g020620"
"645","Medtr3g021340"
"646","Medtr3g022220"
"647","Medtr3g022400"
"648","Medtr3g022732"
"649","Medtr3g023720"
"650","Medtr3g024060"
"651","Medtr3g024110"
"652","Medtr3g024460"
"653","Medtr3g025260"
"654","Medtr3g026110"
"655","Medtr3g026620"
"656","Medtr3g026680"
"657","Medtr3g026950"
"658","Medtr3g027090"
"659","Medtr3g027240"
"660","Medtr3g027772"
"661","Medtr3g027890"
"662","Medtr3g028260"
"663","Medtr3g028560"
