"","x"
"1","Medtr0004s0510"
"2","Medtr0008s0390"
"3","Medtr0009s0390"
"4","Medtr0012s0100"
"5","Medtr0013s0120"
"6","Medtr0019s0210"
"7","Medtr0021s0140"
"8","Medtr0024s0240"
"9","Medtr0034s0190"
"10","Medtr0039s0080"
"11","Medtr0047s0040"
"12","Medtr0048s0220"
"13","Medtr0082s0060"
"14","Medtr0096s0020"
"15","Medtr0110s0030"
"16","Medtr0117s0080"
"17","Medtr0135s0090"
"18","Medtr0160s0040"
"19","Medtr0271s0010"
"20","Medtr1236s0010"
"21","Medtr1246s0010"
"22","Medtr1527s0010"
"23","Medtr1g008170"
"24","Medtr1g009613"
"25","Medtr1g009690"
"26","Medtr1g011540"
"27","Medtr1g011660"
"28","Medtr1g012960"
"29","Medtr1g014190"
"30","Medtr1g014240"
"31","Medtr1g014320"
"32","Medtr1g014700"
"33","Medtr1g019040"
"34","Medtr1g021290"
"35","Medtr1g021510"
"36","Medtr1g022040"
"37","Medtr1g023570"
"38","Medtr1g025550"
"39","Medtr1g026380"
"40","Medtr1g027520"
"41","Medtr1g027690"
"42","Medtr1g028300"
"43","Medtr1g028630"
"44","Medtr1g029660"
"45","Medtr1g029690"
"46","Medtr1g031470"
"47","Medtr1g031640"
"48","Medtr1g032290"
"49","Medtr1g032620"
"50","Medtr1g033390"
"51","Medtr1g033810"
"52","Medtr1g036580"
"53","Medtr1g037260"
"54","Medtr1g037370"
"55","Medtr1g039090"
"56","Medtr1g040420"
"57","Medtr1g041410"
"58","Medtr1g041870"
"59","Medtr1g042820"
"60","Medtr1g045140"
"61","Medtr1g049180"
"62","Medtr1g050140"
"63","Medtr1g050322"
"64","Medtr1g050448"
"65","Medtr1g050495"
"66","Medtr1g050845"
"67","Medtr1g051895"
"68","Medtr1g052680"
"69","Medtr1g054935"
"70","Medtr1g056490"
"71","Medtr1g057460"
"72","Medtr1g057830"
"73","Medtr1g059270"
"74","Medtr1g059960"
"75","Medtr1g060550"
"76","Medtr1g061870"
"77","Medtr1g067450"
"78","Medtr1g068880"
"79","Medtr1g069145"
"80","Medtr1g069530"
"81","Medtr1g069705"
"82","Medtr1g069805"
"83","Medtr1g072380"
"84","Medtr1g073170"
"85","Medtr1g073910"
"86","Medtr1g075470"
"87","Medtr1g076580"
"88","Medtr1g079465"
"89","Medtr1g079530"
"90","Medtr1g079760"
"91","Medtr1g080210"
"92","Medtr1g080300"
"93","Medtr1g080360"
"94","Medtr1g080475"
"95","Medtr1g081230"
"96","Medtr1g081960"
"97","Medtr1g082410"
"98","Medtr1g082730"
"99","Medtr1g083020"
"100","Medtr1g083110"
"101","Medtr1g083870"
"102","Medtr1g085460"
"103","Medtr1g086340"
"104","Medtr1g089610"
"105","Medtr1g090100"
"106","Medtr1g090853"
"107","Medtr1g090857"
"108","Medtr1g092430"
"109","Medtr1g093020"
"110","Medtr1g093990"
"111","Medtr1g094085"
"112","Medtr1g094255"
"113","Medtr1g095530"
"114","Medtr1g096750"
"115","Medtr1g096910"
"116","Medtr1g097870"
"117","Medtr1g098360"
"118","Medtr1g098680"
"119","Medtr1g098700"
"120","Medtr1g099230"
"121","Medtr1g099290"
"122","Medtr1g099400"
"123","Medtr1g100607"
"124","Medtr1g100623"
"125","Medtr1g100627"
"126","Medtr1g100753"
"127","Medtr1g100763"
"128","Medtr1g101600"
"129","Medtr1g103600"
"130","Medtr1g104700"
"131","Medtr1g105050"
"132","Medtr1g105580"
"133","Medtr1g105880"
"134","Medtr1g106000"
"135","Medtr1g107055"
"136","Medtr1g107155"
"137","Medtr1g107390"
"138","Medtr1g108640"
"139","Medtr1g109380"
"140","Medtr1g109620"
"141","Medtr1g111830"
"142","Medtr1g114210"
"143","Medtr1g115140"
"144","Medtr1g115190"
"145","Medtr1g492820"
"146","Medtr2g007130"
"147","Medtr2g008750"
"148","Medtr2g008995"
"149","Medtr2g009290"
"150","Medtr2g011640"
"151","Medtr2g011690"
"152","Medtr2g013230"
"153","Medtr2g015480"
"154","Medtr2g016060"
"155","Medtr2g016110"
"156","Medtr2g017450"
"157","Medtr2g018980"
"158","Medtr2g018990"
"159","Medtr2g019480"
"160","Medtr2g019780"
"161","Medtr2g020630"
"162","Medtr2g020675"
"163","Medtr2g020860"
"164","Medtr2g022250"
"165","Medtr2g023780"
"166","Medtr2g023860"
"167","Medtr2g024120"
"168","Medtr2g025120"
"169","Medtr2g025420"
"170","Medtr2g026210"
"171","Medtr2g026510"
"172","Medtr2g026645"
"173","Medtr2g029815"
"174","Medtr2g030300"
"175","Medtr2g030845"
"176","Medtr2g033630"
"177","Medtr2g034140"
"178","Medtr2g035620"
"179","Medtr2g036920"
"180","Medtr2g037200"
"181","Medtr2g037760"
"182","Medtr2g038500"
"183","Medtr2g040360"
"184","Medtr2g040570"
"185","Medtr2g040900"
"186","Medtr2g041270"
"187","Medtr2g043040"
"188","Medtr2g043050"
"189","Medtr2g044900"
"190","Medtr2g045410"
"191","Medtr2g047855"
"192","Medtr2g048340"
"193","Medtr2g048635"
"194","Medtr2g054750"
"195","Medtr2g060050"
"196","Medtr2g062360"
"197","Medtr2g063080"
"198","Medtr2g063813"
"199","Medtr2g064425"
"200","Medtr2g066130"
"201","Medtr2g066170"
"202","Medtr2g066200"
"203","Medtr2g067990"
"204","Medtr2g070460"
"205","Medtr2g072090"
"206","Medtr2g072450"
"207","Medtr2g073630"
"208","Medtr2g075480"
"209","Medtr2g078220"
"210","Medtr2g078770"
"211","Medtr2g078900"
"212","Medtr2g081620"
"213","Medtr2g084270"
"214","Medtr2g084400"
"215","Medtr2g084855"
"216","Medtr2g086150"
"217","Medtr2g086190"
"218","Medtr2g087090"
"219","Medtr2g088900"
"220","Medtr2g088940"
"221","Medtr2g089620"
"222","Medtr2g090015"
"223","Medtr2g090175"
"224","Medtr2g090255"
"225","Medtr2g090660"
"226","Medtr2g090975"
"227","Medtr2g090980"
"228","Medtr2g091110"
"229","Medtr2g095520"
"230","Medtr2g096040"
"231","Medtr2g096120"
"232","Medtr2g096330"
"233","Medtr2g096530"
"234","Medtr2g097520"
"235","Medtr2g098110"
"236","Medtr2g098315"
"237","Medtr2g098890"
"238","Medtr2g099560"
"239","Medtr2g099920"
"240","Medtr2g100200"
"241","Medtr2g100630"
"242","Medtr2g101360"
"243","Medtr2g101710"
"244","Medtr2g102520"
"245","Medtr2g102740"
"246","Medtr2g103440"
"247","Medtr2g103700"
"248","Medtr2g103910"
"249","Medtr2g105680"
"250","Medtr2g435370"
"251","Medtr2g445130"
"252","Medtr2g461970"
"253","Medtr3g005420"
"254","Medtr3g005520"
"255","Medtr3g006610"
"256","Medtr3g008350"
"257","Medtr3g008470"
"258","Medtr3g008580"
"259","Medtr3g013950"
"260","Medtr3g014040"
"261","Medtr3g016080"
"262","Medtr3g022920"
"263","Medtr3g023510"
"264","Medtr3g026280"
"265","Medtr3g026650"
"266","Medtr3g026920"
"267","Medtr3g027330"
"268","Medtr3g029590"
"269","Medtr3g029640"
"270","Medtr3g030620"
"271","Medtr3g031480"
"272","Medtr3g032110"
"273","Medtr3g032740"
"274","Medtr3g033110"
"275","Medtr3g034610"
"276","Medtr3g045010"
"277","Medtr3g046640"
"278","Medtr3g048785"
"279","Medtr3g054060"
"280","Medtr3g055120"
"281","Medtr3g055210"
"282","Medtr3g056700"
"283","Medtr3g057800"
"284","Medtr3g058410"
"285","Medtr3g061720"
"286","Medtr3g063160"
"287","Medtr3g063940"
"288","Medtr3g064090"
"289","Medtr3g064650"
"290","Medtr3g066170"
"291","Medtr3g068200"
"292","Medtr3g072460"
"293","Medtr3g072520"
"294","Medtr3g072560"
"295","Medtr3g072610"
"296","Medtr3g073280"
"297","Medtr3g073730"
"298","Medtr3g074390"
"299","Medtr3g074730"
"300","Medtr3g074890"
"301","Medtr3g075030"
"302","Medtr3g075100"
"303","Medtr3g075120"
"304","Medtr3g076960"
"305","Medtr3g077000"
"306","Medtr3g077430"
"307","Medtr3g077450"
"308","Medtr3g080020"
"309","Medtr3g080170"
"310","Medtr3g080360"
"311","Medtr3g081100"
"312","Medtr3g082340"
"313","Medtr3g083050"
"314","Medtr3g083700"
"315","Medtr3g083970"
"316","Medtr3g084110"
"317","Medtr3g086100"
"318","Medtr3g086250"
"319","Medtr3g087510"
"320","Medtr3g087910"
"321","Medtr3g087960"
"322","Medtr3g088110"
"323","Medtr3g088515"
"324","Medtr3g088820"
"325","Medtr3g088950"
"326","Medtr3g089090"
"327","Medtr3g090820"
"328","Medtr3g090900"
"329","Medtr3g091090"
"330","Medtr3g092220"
"331","Medtr3g092390"
"332","Medtr3g092400"
"333","Medtr3g092635"
"334","Medtr3g092640"
"335","Medtr3g092810"
"336","Medtr3g093010"
"337","Medtr3g093270"
"338","Medtr3g094060"
"339","Medtr3g095340"
"340","Medtr3g096050"
"341","Medtr3g096070"
"342","Medtr3g096890"
"343","Medtr3g098390"
"344","Medtr3g099010"
"345","Medtr3g099080"
"346","Medtr3g099140"
"347","Medtr3g100120"
"348","Medtr3g100200"
"349","Medtr3g100470"
"350","Medtr3g101750"
"351","Medtr3g102600"
"352","Medtr3g104570"
"353","Medtr3g104730"
"354","Medtr3g105390"
"355","Medtr3g105510"
"356","Medtr3g105650"
"357","Medtr3g105760"
"358","Medtr3g105890"
"359","Medtr3g106160"
"360","Medtr3g106520"
"361","Medtr3g107730"
"362","Medtr3g108010"
"363","Medtr3g109920"
"364","Medtr3g110195"
"365","Medtr3g110840"
"366","Medtr3g111430"
"367","Medtr3g111540"
"368","Medtr3g111690"
"369","Medtr3g112150"
"370","Medtr3g113170"
"371","Medtr3g114530"
"372","Medtr3g114890"
"373","Medtr3g116120"
"374","Medtr3g117220"
"375","Medtr3g117280"
"376","Medtr3g117370"
"377","Medtr3g117620"
"378","Medtr3g117750"
