"","x"
"1","Medtr0004s0650"
"2","Medtr0036s0140"
"3","Medtr0137s0080"
"4","Medtr0170s0030"
"5","Medtr0174s0090"
"6","Medtr0187s0030"
"7","Medtr0197s0090"
"8","Medtr0221s0060"
"9","Medtr0246s0040"
"10","Medtr0262s0020"
"11","Medtr0332s0010"
"12","Medtr1g006975"
"13","Medtr1g009210"
"14","Medtr1g009680"
"15","Medtr1g012390"
"16","Medtr1g015890"
"17","Medtr1g016370"
"18","Medtr1g019170"
"19","Medtr1g021270"
"20","Medtr1g027040"
"21","Medtr1g032600"
"22","Medtr1g036280"
"23","Medtr1g037560"
"24","Medtr1g040675"
"25","Medtr1g043110"
"26","Medtr1g045520"
"27","Medtr1g048970"
"28","Medtr1g051385"
"29","Medtr1g053470"
"30","Medtr1g053785"
"31","Medtr1g058560"
"32","Medtr1g060120"
"33","Medtr1g061870"
"34","Medtr1g063340"
"35","Medtr1g067350"
"36","Medtr1g067460"
"37","Medtr1g069145"
"38","Medtr1g071380"
"39","Medtr1g075530"
"40","Medtr1g078050"
"41","Medtr1g078390"
"42","Medtr1g080840"
"43","Medtr1g082815"
"44","Medtr1g086450"
"45","Medtr1g089180"
"46","Medtr1g090810"
"47","Medtr1g092880"
"48","Medtr1g097290"
"49","Medtr1g099350"
"50","Medtr1g101790"
"51","Medtr1g105900"
"52","Medtr1g107145"
"53","Medtr1g111210"
"54","Medtr1g112160"
"55","Medtr1g112280"
"56","Medtr1g116870"
"57","Medtr2g006790"
"58","Medtr2g007050"
"59","Medtr2g010890"
"60","Medtr2g013480"
"61","Medtr2g014480"
"62","Medtr2g014760"
"63","Medtr2g015510"
"64","Medtr2g015690"
"65","Medtr2g016030"
"66","Medtr2g017750"
"67","Medtr2g019345"
"68","Medtr2g019510"
"69","Medtr2g020660"
"70","Medtr2g020720"
"71","Medtr2g026130"
"72","Medtr2g040370"
"73","Medtr2g043250"
"74","Medtr2g047978"
"75","Medtr2g062350"
"76","Medtr2g064375"
"77","Medtr2g068920"
"78","Medtr2g069245"
"79","Medtr2g072210"
"80","Medtr2g072840"
"81","Medtr2g075760"
"82","Medtr2g078160"
"83","Medtr2g082880"
"84","Medtr2g082930"
"85","Medtr2g083620"
"86","Medtr2g085210"
"87","Medtr2g089650"
"88","Medtr2g094730"
"89","Medtr2g095050"
"90","Medtr2g097467"
"91","Medtr2g098315"
"92","Medtr2g099530"
"93","Medtr2g101960"
"94","Medtr2g426070"
"95","Medtr2g435870"
"96","Medtr2g436100"
"97","Medtr2g450870"
"98","Medtr3g006055"
"99","Medtr3g007660"
"100","Medtr3g012090"
"101","Medtr3g014240"
"102","Medtr3g031860"
"103","Medtr3g035635"
"104","Medtr3g035830"
"105","Medtr3g045210"
"106","Medtr3g048440"
"107","Medtr3g054230"
"108","Medtr3g055450"
"109","Medtr3g061885"
"110","Medtr3g067445"
"111","Medtr3g067585"
"112","Medtr3g067895"
"113","Medtr3g069500"
"114","Medtr3g071850"
"115","Medtr3g072190"
"116","Medtr3g074640"
"117","Medtr3g075240"
"118","Medtr3g079560"
"119","Medtr3g080090"
"120","Medtr3g080100"
"121","Medtr3g082330"
"122","Medtr3g088100"
"123","Medtr3g089070"
"124","Medtr3g092150"
"125","Medtr3g092330"
"126","Medtr3g092510"
"127","Medtr3g092670"
"128","Medtr3g094130"
"129","Medtr3g094180"
"130","Medtr3g099060"
"131","Medtr3g099580"
"132","Medtr3g104070"
"133","Medtr3g105000"
"134","Medtr3g105320"
"135","Medtr3g110660"
"136","Medtr3g113040"
"137","Medtr3g435000"
"138","Medtr3g461470"
"139","Medtr3g463910"
"140","Medtr4g016780"
"141","Medtr4g016850"
"142","Medtr4g019240"
"143","Medtr4g019750"
"144","Medtr4g021425"
"145","Medtr4g024595"
"146","Medtr4g027870"
"147","Medtr4g032995"
"148","Medtr4g037515"
"149","Medtr4g045977"
"150","Medtr4g048590"
"151","Medtr4g050130"
"152","Medtr4g061010"
"153","Medtr4g064480"
"154","Medtr4g064923"
"155","Medtr4g072230"
"156","Medtr4g073560"
"157","Medtr4g074970"
"158","Medtr4g078240"
"159","Medtr4g080083"
"160","Medtr4g081210"
"161","Medtr4g081230"
"162","Medtr4g084800"
"163","Medtr4g092515"
"164","Medtr4g092550"
"165","Medtr4g094222"
"166","Medtr4g094402"
"167","Medtr4g098920"
"168","Medtr4g100720"
"169","Medtr4g103810"
