"","x"
"1","Medtr0001s0120"
"2","Medtr0148s0110"
"3","Medtr1g009740"
"4","Medtr1g027940"
"5","Medtr1g045860"
"6","Medtr1g057110"
"7","Medtr1g061790"
"8","Medtr1g070350"
"9","Medtr1g072545"
"10","Medtr1g096670"
"11","Medtr1g099630"
"12","Medtr1g100597"
"13","Medtr1g104800"
"14","Medtr2g010200"
"15","Medtr2g011340"
"16","Medtr2g037200"
"17","Medtr2g082195"
"18","Medtr2g084020"
"19","Medtr2g100820"
"20","Medtr2g103140"
"21","Medtr3g012370"
"22","Medtr3g021320"
"23","Medtr3g047140"
"24","Medtr3g058520"
"25","Medtr3g095180"
"26","Medtr3g115970"
"27","Medtr4g010820"
"28","Medtr4g022370"
"29","Medtr4g028050"
"30","Medtr4g029490"
"31","Medtr4g050140"
"32","Medtr4g051658"
"33","Medtr4g053300"
"34","Medtr4g055190"
"35","Medtr4g069970"
"36","Medtr4g071110"
"37","Medtr4g082235"
"38","Medtr4g086590"
"39","Medtr4g088405"
"40","Medtr5g010430"
"41","Medtr5g025630"
"42","Medtr5g029320"
"43","Medtr5g084250"
"44","Medtr5g086670"
"45","Medtr5g091560"
"46","Medtr6g011020"
"47","Medtr6g024165"
"48","Medtr6g024240"
"49","Medtr6g074610"
"50","Medtr6g081280"
"51","Medtr6g463390"
"52","Medtr6g463710"
"53","Medtr7g012340"
"54","Medtr7g030030"
"55","Medtr7g079995"
"56","Medtr7g081340"
"57","Medtr7g081350"
"58","Medtr7g096370"
"59","Medtr7g106150"
"60","Medtr7g107110"
"61","Medtr7g117120"
"62","Medtr7g117150"
"63","Medtr7g117690"
"64","Medtr8g009525"
"65","Medtr8g028560"
"66","Medtr8g071090"
"67","Medtr8g071140"
"68","Medtr8g102510"
"69","Medtr8g107343"
