"","x"
"1","Medtr0001s0010"
"2","Medtr1g015710"
"3","Medtr1g051085"
"4","Medtr1g066810"
"5","Medtr1g078260"
"6","Medtr1g093900"
"7","Medtr1g096250"
"8","Medtr1g099040"
"9","Medtr2g023000"
"10","Medtr2g058430"
"11","Medtr2g059195"
"12","Medtr2g067230"
"13","Medtr2g076320"
"14","Medtr2g076710"
"15","Medtr2g078500"
"16","Medtr2g089300"
"17","Medtr3g005320"
"18","Medtr3g060860"
"19","Medtr3g087870"
"20","Medtr3g088200"
"21","Medtr3g110400"
"22","Medtr4g010890"
"23","Medtr4g014480"
"24","Medtr4g023450"
"25","Medtr4g024020"
"26","Medtr4g032290"
"27","Medtr4g048110"
"28","Medtr4g057665"
"29","Medtr4g071430"
"30","Medtr4g079610"
"31","Medtr4g083140"
"32","Medtr4g103590"
"33","Medtr4g105810"
"34","Medtr4g109090"
"35","Medtr4g123990"
"36","Medtr4g127140"
"37","Medtr4g133515"
"38","Medtr5g008850"
"39","Medtr5g018990"
"40","Medtr5g022020"
"41","Medtr5g025350"
"42","Medtr5g036540"
"43","Medtr5g043790"
"44","Medtr5g044250"
"45","Medtr5g065340"
"46","Medtr5g083100"
"47","Medtr5g084860"
"48","Medtr5g089560"
"49","Medtr5g091180"
"50","Medtr5g092530"
"51","Medtr6g017035"
"52","Medtr6g027730"
"53","Medtr6g037230"
"54","Medtr6g038980"
"55","Medtr7g021690"
"56","Medtr7g033710"
"57","Medtr7g039540"
"58","Medtr7g065290"
"59","Medtr7g065590"
"60","Medtr7g066120"
"61","Medtr7g075370"
"62","Medtr7g079280"
"63","Medtr7g086240"
"64","Medtr7g091190"
"65","Medtr7g094120"
"66","Medtr7g094800"
"67","Medtr7g096700"
"68","Medtr7g450780"
"69","Medtr8g005120"
"70","Medtr8g006525"
"71","Medtr8g031010"
"72","Medtr8g035520"
"73","Medtr8g036050"
"74","Medtr8g066310"
"75","Medtr8g075220"
"76","Medtr8g092970"
