"","x"
"1","Medtr0002s0890"
"2","Medtr0008s0280"
"3","Medtr0009s0230"
"4","Medtr0012s0150"
"5","Medtr0019s0020"
"6","Medtr0019s0070"
"7","Medtr0024s0320"
"8","Medtr0032s0080"
"9","Medtr0043s0110"
"10","Medtr0054s0080"
"11","Medtr0063s0090"
"12","Medtr0082s0180"
"13","Medtr0117s0080"
"14","Medtr0144s0010"
"15","Medtr0184s0030"
"16","Medtr0242s0020"
"17","Medtr0428s0010"
"18","Medtr0449s0030"
"19","Medtr0451s0010"
"20","Medtr0549s0020"
"21","Medtr0570s0040"
"22","Medtr0939s0010"
"23","Medtr1319s0010"
"24","Medtr1372s0010"
"25","Medtr1643s0010"
"26","Medtr1g007180"
"27","Medtr1g008220"
"28","Medtr1g009270"
"29","Medtr1g010240"
"30","Medtr1g012430"
"31","Medtr1g012470"
"32","Medtr1g013130"
"33","Medtr1g014220"
"34","Medtr1g014510"
"35","Medtr1g015300"
"36","Medtr1g016080"
"37","Medtr1g016620"
"38","Medtr1g018910"
"39","Medtr1g019610"
"40","Medtr1g019650"
"41","Medtr1g021295"
"42","Medtr1g022350"
"43","Medtr1g026160"
"44","Medtr1g027470"
"45","Medtr1g028370"
"46","Medtr1g028680"
"47","Medtr1g028710"
"48","Medtr1g029520"
"49","Medtr1g029690"
"50","Medtr1g030580"
"51","Medtr1g031530"
"52","Medtr1g031535"
"53","Medtr1g031560"
"54","Medtr1g034060"
"55","Medtr1g037010"
"56","Medtr1g037250"
"57","Medtr1g037650"
"58","Medtr1g038260"
"59","Medtr1g038680"
"60","Medtr1g038803"
"61","Medtr1g038810"
"62","Medtr1g040430"
"63","Medtr1g040875"
"64","Medtr1g041525"
"65","Medtr1g041695"
"66","Medtr1g043180"
"67","Medtr1g043775"
"68","Medtr1g044105"
"69","Medtr1g044125"
"70","Medtr1g048750"
"71","Medtr1g049240"
"72","Medtr1g050322"
"73","Medtr1g051175"
"74","Medtr1g054265"
"75","Medtr1g054270"
"76","Medtr1g057130"
"77","Medtr1g060540"
"78","Medtr1g060550"
"79","Medtr1g060850"
"80","Medtr1g061640"
"81","Medtr1g062190"
"82","Medtr1g062980"
"83","Medtr1g063210"
"84","Medtr1g067320"
"85","Medtr1g069215"
"86","Medtr1g070280"
"87","Medtr1g072540"
"88","Medtr1g074160"
"89","Medtr1g074190"
"90","Medtr1g075250"
"91","Medtr1g075640"
"92","Medtr1g075890"
"93","Medtr1g077210"
"94","Medtr1g077660"
"95","Medtr1g077840"
"96","Medtr1g077890"
"97","Medtr1g080210"
"98","Medtr1g080810"
"99","Medtr1g081610"
"100","Medtr1g081900"
"101","Medtr1g085460"
"102","Medtr1g085570"
"103","Medtr1g089890"
"104","Medtr1g090480"
"105","Medtr1g090667"
"106","Medtr1g090673"
"107","Medtr1g091023"
"108","Medtr1g093020"
"109","Medtr1g093120"
"110","Medtr1g094750"
"111","Medtr1g095390"
"112","Medtr1g095530"
"113","Medtr1g098760"
"114","Medtr1g100110"
"115","Medtr1g102940"
"116","Medtr1g105050"
"117","Medtr1g105360"
"118","Medtr1g105855"
"119","Medtr1g105860"
"120","Medtr1g107055"
"121","Medtr1g108800"
"122","Medtr1g109110"
"123","Medtr1g110110"
"124","Medtr1g111300"
"125","Medtr1g111740"
"126","Medtr1g112240"
"127","Medtr1g112940"
"128","Medtr1g115210"
"129","Medtr1g116660"
"130","Medtr1g116790"
"131","Medtr2g006740"
"132","Medtr2g008630"
"133","Medtr2g009310"
"134","Medtr2g010740"
"135","Medtr2g011820"
"136","Medtr2g012890"
"137","Medtr2g014020"
"138","Medtr2g014950"
"139","Medtr2g015740"
"140","Medtr2g015887"
"141","Medtr2g015890"
"142","Medtr2g016020"
"143","Medtr2g016110"
"144","Medtr2g017925"
"145","Medtr2g018990"
"146","Medtr2g020830"
"147","Medtr2g020860"
"148","Medtr2g022110"
"149","Medtr2g022190"
"150","Medtr2g022710"
"151","Medtr2g022900"
"152","Medtr2g022940"
"153","Medtr2g022960"
"154","Medtr2g023070"
"155","Medtr2g024060"
"156","Medtr2g025120"
"157","Medtr2g025790"
"158","Medtr2g029750"
"159","Medtr2g030845"
"160","Medtr2g031930"
"161","Medtr2g034250"
"162","Medtr2g034260"
"163","Medtr2g036650"
"164","Medtr2g041200"
"165","Medtr2g045780"
"166","Medtr2g048130"
"167","Medtr2g049020"
"168","Medtr2g061480"
"169","Medtr2g064310"
"170","Medtr2g064405"
"171","Medtr2g064425"
"172","Medtr2g064660"
"173","Medtr2g064930"
"174","Medtr2g069010"
"175","Medtr2g069030"
"176","Medtr2g070140"
"177","Medtr2g070150"
"178","Medtr2g071760"
"179","Medtr2g072790"
"180","Medtr2g072820"
"181","Medtr2g072910"
"182","Medtr2g076400"
"183","Medtr2g076490"
"184","Medtr2g078730"
"185","Medtr2g079630"
"186","Medtr2g079670"
"187","Medtr2g081360"
"188","Medtr2g082190"
"189","Medtr2g084080"
"190","Medtr2g084630"
"191","Medtr2g085300"
"192","Medtr2g085370"
"193","Medtr2g086150"
"194","Medtr2g086460"
"195","Medtr2g087740"
"196","Medtr2g088000"
"197","Medtr2g088980"
"198","Medtr2g089865"
"199","Medtr2g089930"
"200","Medtr2g089985"
"201","Medtr2g090675"
"202","Medtr2g091110"
"203","Medtr2g094093"
"204","Medtr2g094430"
"205","Medtr2g094650"
"206","Medtr2g094970"
"207","Medtr2g096080"
"208","Medtr2g096670"
"209","Medtr2g097460"
"210","Medtr2g099950"
"211","Medtr2g100340"
"212","Medtr2g100350"
"213","Medtr2g101870"
"214","Medtr2g102140"
"215","Medtr2g102520"
"216","Medtr2g104120"
"217","Medtr2g104900"
"218","Medtr2g105360"
"219","Medtr2g436350"
"220","Medtr2g437380"
"221","Medtr2g437560"
"222","Medtr2g437930"
"223","Medtr2g449800"
"224","Medtr2g481150"
"225","Medtr2g481160"
"226","Medtr3g005420"
"227","Medtr3g006610"
"228","Medtr3g008350"
"229","Medtr3g008410"
"230","Medtr3g008540"
"231","Medtr3g008960"
"232","Medtr3g009010"
"233","Medtr3g009500"
"234","Medtr3g010660"
"235","Medtr3g012470"
"236","Medtr3g015080"
"237","Medtr3g019040"
"238","Medtr3g020780"
"239","Medtr3g021060"
"240","Medtr3g022260"
"241","Medtr3g031640"
"242","Medtr3g032110"
"243","Medtr3g032200"
"244","Medtr3g032760"
"245","Medtr3g033110"
"246","Medtr3g034290"
"247","Medtr3g037690"
"248","Medtr3g046640"
"249","Medtr3g048280"
"250","Medtr3g048860"
"251","Medtr3g049150"
"252","Medtr3g049400"
"253","Medtr3g053980"
"254","Medtr3g054060"
"255","Medtr3g055870"
"256","Medtr3g056410"
"257","Medtr3g058390"
"258","Medtr3g058710"
"259","Medtr3g058930"
"260","Medtr3g061570"
"261","Medtr3g063360"
"262","Medtr3g064480"
"263","Medtr3g067437"
"264","Medtr3g068095"
"265","Medtr3g069190"
"266","Medtr3g069210"
"267","Medtr3g071740"
"268","Medtr3g072030"
"269","Medtr3g072040"
"270","Medtr3g072680"
"271","Medtr3g073280"
"272","Medtr3g073960"
"273","Medtr3g074830"
"274","Medtr3g076960"
"275","Medtr3g077280"
"276","Medtr3g077670"
"277","Medtr3g078730"
"278","Medtr3g079240"
"279","Medtr3g079390"
"280","Medtr3g080000"
"281","Medtr3g081030"
"282","Medtr3g081430"
"283","Medtr3g081490"
"284","Medtr3g082750"
"285","Medtr3g082890"
"286","Medtr3g084400"
"287","Medtr3g084830"
"288","Medtr3g084850"
"289","Medtr3g086940"
"290","Medtr3g087280"
"291","Medtr3g087740"
"292","Medtr3g087840"
"293","Medtr3g087890"
"294","Medtr3g088030"
"295","Medtr3g088590"
"296","Medtr3g089045"
"297","Medtr3g089055"
"298","Medtr3g089940"
"299","Medtr3g089970"
"300","Medtr3g090530"
"301","Medtr3g090820"
"302","Medtr3g091840"
"303","Medtr3g092140"
"304","Medtr3g093010"
"305","Medtr3g094040"
"306","Medtr3g094060"
"307","Medtr3g095040"
"308","Medtr3g095440"
"309","Medtr3g096200"
"310","Medtr3g096370"
"311","Medtr3g099650"
"312","Medtr3g100465"
"313","Medtr3g101350"
"314","Medtr3g101390"
"315","Medtr3g102600"
"316","Medtr3g103350"
"317","Medtr3g103560"
"318","Medtr3g103590"
"319","Medtr3g104560"
"320","Medtr3g104620"
"321","Medtr3g104920"
"322","Medtr3g105580"
"323","Medtr3g105590"
"324","Medtr3g105690"
"325","Medtr3g105980"
"326","Medtr3g107500"
"327","Medtr3g107830"
"328","Medtr3g108760"
"329","Medtr3g108990"
"330","Medtr3g109520"
"331","Medtr3g109950"
"332","Medtr3g110840"
"333","Medtr3g111095"
"334","Medtr3g111290"
"335","Medtr3g111820"
"336","Medtr3g112120"
"337","Medtr3g112350"
"338","Medtr3g114010"
"339","Medtr3g114675"
"340","Medtr3g115270"
"341","Medtr3g115490"
"342","Medtr3g117370"
"343","Medtr3g117530"
"344","Medtr3g117750"
"345","Medtr3g460790"
"346","Medtr3g461470"
"347","Medtr3g465470"
"348","Medtr3g465870"
"349","Medtr3g467430"
"350","Medtr3g479460"
"351","Medtr3g479610"
"352","Medtr3g498865"
"353","Medtr4g006610"
"354","Medtr4g007830"
"355","Medtr4g009340"
"356","Medtr4g012510"
"357","Medtr4g013245"
"358","Medtr4g013255"
"359","Medtr4g013310"
"360","Medtr4g014440"
"361","Medtr4g014460"
"362","Medtr4g015650"
"363","Medtr4g016850"
"364","Medtr4g018790"
"365","Medtr4g019320"
"366","Medtr4g019640"
"367","Medtr4g020720"
"368","Medtr4g021170"
"369","Medtr4g021725"
"370","Medtr4g021865"
"371","Medtr4g021870"
"372","Medtr4g022930"
"373","Medtr4g023040"
"374","Medtr4g029730"
"375","Medtr4g033325"
"376","Medtr4g033400"
"377","Medtr4g034790"
"378","Medtr4g035650"
"379","Medtr4g035880"
"380","Medtr4g035885"
"381","Medtr4g035905"
"382","Medtr4g036715"
"383","Medtr4g037055"
"384","Medtr4g040420"
"385","Medtr4g046040"
"386","Medtr4g048000"
"387","Medtr4g050590"
"388","Medtr4g050880"
"389","Medtr4g051375"
"390","Medtr4g055510"
"391","Medtr4g057515"
"392","Medtr4g059630"
"393","Medtr4g059670"
"394","Medtr4g063780"
"395","Medtr4g063930"
"396","Medtr4g063940"
"397","Medtr4g063945"
"398","Medtr4g066640"
"399","Medtr4g071330"
"400","Medtr4g071710"
"401","Medtr4g071900"
"402","Medtr4g072320"
"403","Medtr4g073240"
"404","Medtr4g078535"
"405","Medtr4g080060"
"406","Medtr4g081570"
"407","Medtr4g082060"
"408","Medtr4g082950"
"409","Medtr4g084550"
"410","Medtr4g086835"
"411","Medtr4g086860"
"412","Medtr4g087300"
"413","Medtr4g087810"
"414","Medtr4g088695"
"415","Medtr4g089190"
"416","Medtr4g090525"
"417","Medtr4g090545"
"418","Medtr4g094218"
"419","Medtr4g094302"
"420","Medtr4g094328"
"421","Medtr4g094610"
"422","Medtr4g094868"
"423","Medtr4g094925"
"424","Medtr4g094998"
"425","Medtr4g097480"
"426","Medtr4g098850"
"427","Medtr4g098940"
"428","Medtr4g103760"
"429","Medtr4g105090"
"430","Medtr4g106515"
"431","Medtr4g106800"
"432","Medtr4g106860"
"433","Medtr4g107210"
"434","Medtr4g109920"
"435","Medtr4g110130"
"436","Medtr4g111965"
"437","Medtr4g112440"
"438","Medtr4g113240"
"439","Medtr4g114000"
"440","Medtr4g114730"
"441","Medtr4g117180"
"442","Medtr4g119650"
"443","Medtr4g122960"
"444","Medtr4g122970"
"445","Medtr4g125940"
"446","Medtr4g127360"
"447","Medtr4g127870"
"448","Medtr4g128190"
"449","Medtr4g129860"
"450","Medtr4g129940"
"451","Medtr4g132400"
"452","Medtr4g132430"
"453","Medtr4g133952"
"454","Medtr4g134130"
"455","Medtr4g134140"
"456","Medtr5g006160"
"457","Medtr5g006400"
"458","Medtr5g006430"
"459","Medtr5g006970"
"460","Medtr5g007070"
"461","Medtr5g009670"
"462","Medtr5g009770"
"463","Medtr5g010890"
"464","Medtr5g011310"
"465","Medtr5g011450"
"466","Medtr5g011540"
