"","x"
"1","Medtr0001s0570"
"2","Medtr0002s1270"
"3","Medtr0003s0660"
"4","Medtr0004s0650"
"5","Medtr0006s0160"
"6","Medtr0006s0240"
"7","Medtr0013s0150"
"8","Medtr0015s0060"
"9","Medtr0016s0050"
"10","Medtr0018s0220"
"11","Medtr0018s0230"
"12","Medtr0018s0310"
"13","Medtr0019s0120"
"14","Medtr0020s0020"
"15","Medtr0025s0110"
"16","Medtr0026s0200"
"17","Medtr0026s0210"
"18","Medtr0032s0080"
"19","Medtr0036s0140"
"20","Medtr0036s0320"
"21","Medtr0042s0130"
"22","Medtr0043s0110"
"23","Medtr0048s0110"
"24","Medtr0052s0130"
"25","Medtr0055s0140"
"26","Medtr0057s0130"
"27","Medtr0059s0060"
"28","Medtr0089s0100"
"29","Medtr0103s0090"
"30","Medtr0113s0040"
"31","Medtr0123s0070"
"32","Medtr0137s0070"
"33","Medtr0160s0040"
"34","Medtr0185s0010"
"35","Medtr0197s0090"
"36","Medtr0200s0050"
"37","Medtr0209s0040"
"38","Medtr0221s0020"
"39","Medtr0246s0020"
"40","Medtr0246s0040"
"41","Medtr0249s0070"
"42","Medtr0252s0030"
"43","Medtr0276s0050"
"44","Medtr0294s0020"
"45","Medtr0318s0020"
"46","Medtr0339s0030"
"47","Medtr0340s0030"
"48","Medtr0361s0030"
"49","Medtr0368s0010"
"50","Medtr0400s0010"
"51","Medtr0438s0020"
"52","Medtr0468s0010"
"53","Medtr0493s0010"
"54","Medtr0493s0030"
"55","Medtr0530s0020"
"56","Medtr0590s0010"
"57","Medtr0598s0020"
"58","Medtr0623s0010"
"59","Medtr0795s0020"
"60","Medtr1142s0010"
"61","Medtr1252s0010"
"62","Medtr1301s0010"
"63","Medtr1g006600"
"64","Medtr1g006660"
"65","Medtr1g006975"
"66","Medtr1g007157"
"67","Medtr1g007880"
"68","Medtr1g007950"
"69","Medtr1g008220"
"70","Medtr1g008380"
"71","Medtr1g008610"
"72","Medtr1g009570"
"73","Medtr1g009840"
"74","Medtr1g009860"
"75","Medtr1g011510"
"76","Medtr1g012370"
"77","Medtr1g012390"
"78","Medtr1g012550"
"79","Medtr1g012610"
"80","Medtr1g012820"
"81","Medtr1g012910"
"82","Medtr1g012950"
"83","Medtr1g012960"
"84","Medtr1g013560"
"85","Medtr1g013580"
"86","Medtr1g013700"
"87","Medtr1g014260"
"88","Medtr1g014320"
"89","Medtr1g014510"
"90","Medtr1g014640"
"91","Medtr1g014690"
"92","Medtr1g014730"
"93","Medtr1g015165"
"94","Medtr1g015890"
"95","Medtr1g016340"
"96","Medtr1g016370"
"97","Medtr1g016800"
"98","Medtr1g016890"
"99","Medtr1g016900"
"100","Medtr1g016920"
"101","Medtr1g016950"
"102","Medtr1g016970"
"103","Medtr1g017400"
"104","Medtr1g018750"
"105","Medtr1g019170"
"106","Medtr1g019250"
"107","Medtr1g019290"
"108","Medtr1g019430"
"109","Medtr1g019490"
"110","Medtr1g019510"
"111","Medtr1g019620"
"112","Medtr1g019670"
"113","Medtr1g021040"
"114","Medtr1g021270"
"115","Medtr1g021955"
"116","Medtr1g021970"
"117","Medtr1g022135"
"118","Medtr1g023660"
"119","Medtr1g024165"
"120","Medtr1g024175"
"121","Medtr1g025140"
"122","Medtr1g025200"
"123","Medtr1g025550"
"124","Medtr1g026140"
"125","Medtr1g026400"
"126","Medtr1g026540"
"127","Medtr1g026710"
"128","Medtr1g026880"
"129","Medtr1g026920"
"130","Medtr1g027180"
"131","Medtr1g027420"
"132","Medtr1g027600"
"133","Medtr1g027940"
"134","Medtr1g027960"
"135","Medtr1g028220"
"136","Medtr1g028250"
"137","Medtr1g029190"
"138","Medtr1g029550"
"139","Medtr1g029720"
"140","Medtr1g030430"
"141","Medtr1g030760"
"142","Medtr1g030770"
"143","Medtr1g031180"
"144","Medtr1g031200"
"145","Medtr1g031650"
"146","Medtr1g033950"
"147","Medtr1g034050"
"148","Medtr1g034060"
"149","Medtr1g035140"
"150","Medtr1g035570"
"151","Medtr1g035750"
"152","Medtr1g036280"
"153","Medtr1g036830"
"154","Medtr1g037580"
"155","Medtr1g038680"
"156","Medtr1g038850"
"157","Medtr1g040155"
"158","Medtr1g040675"
"159","Medtr1g040725"
"160","Medtr1g040730"
"161","Medtr1g040905"
"162","Medtr1g041320"
"163","Medtr1g041380"
"164","Medtr1g043775"
"165","Medtr1g043810"
"166","Medtr1g045520"
"167","Medtr1g045790"
"168","Medtr1g046480"
"169","Medtr1g046500"
"170","Medtr1g046620"
"171","Medtr1g047990"
"172","Medtr1g048360"
"173","Medtr1g048970"
"174","Medtr1g048990"
"175","Medtr1g049140"
"176","Medtr1g049210"
"177","Medtr1g050145"
"178","Medtr1g050428"
"179","Medtr1g050445"
"180","Medtr1g050475"
"181","Medtr1g050545"
