"","x"
"1","Medtr0001s0160"
"2","Medtr0002s0090"
"3","Medtr0002s0820"
"4","Medtr0002s1160"
"5","Medtr0003s0060"
"6","Medtr0003s0610"
"7","Medtr0004s0250"
"8","Medtr0011s0020"
"9","Medtr0016s0050"
"10","Medtr0017s0200"
"11","Medtr0042s0170"
"12","Medtr0052s0030"
"13","Medtr0052s0070"
"14","Medtr0052s0080"
"15","Medtr0055s0030"
"16","Medtr0055s0050"
"17","Medtr0071s0030"
"18","Medtr0092s0060"
"19","Medtr0094s0120"
"20","Medtr0103s0010"
"21","Medtr0110s0030"
"22","Medtr0117s0040"
"23","Medtr0144s0020"
"24","Medtr0153s0020"
"25","Medtr0153s0030"
"26","Medtr0194s0020"
"27","Medtr0197s0040"
"28","Medtr0224s0030"
"29","Medtr0248s0010"
"30","Medtr0287s0060"
"31","Medtr0291s0010"
"32","Medtr0295s0020"
"33","Medtr0363s0030"
"34","Medtr0415s0060"
"35","Medtr0419s0020"
"36","Medtr0433s0040"
"37","Medtr0531s0010"
"38","Medtr0549s0010"
"39","Medtr0568s0010"
"40","Medtr0879s0010"
"41","Medtr0911s0020"
"42","Medtr1240s0010"
"43","Medtr1246s0010"
"44","Medtr1g007540"
"45","Medtr1g009260"
"46","Medtr1g009315"
"47","Medtr1g009980"
"48","Medtr1g011710"
"49","Medtr1g012160"
"50","Medtr1g012740"
"51","Medtr1g015040"
"52","Medtr1g015480"
"53","Medtr1g015810"
"54","Medtr1g018320"
"55","Medtr1g018470"
"56","Medtr1g020060"
"57","Medtr1g020090"
"58","Medtr1g021730"
"59","Medtr1g021820"
"60","Medtr1g022395"
"61","Medtr1g023140"
"62","Medtr1g026170"
"63","Medtr1g026190"
"64","Medtr1g026340"
"65","Medtr1g028150"
"66","Medtr1g028170"
"67","Medtr1g028330"
"68","Medtr1g028920"
"69","Medtr1g029420"
"70","Medtr1g029480"
"71","Medtr1g030250"
"72","Medtr1g030290"
"73","Medtr1g032010"
"74","Medtr1g032560"
"75","Medtr1g033590"
"76","Medtr1g033960"
"77","Medtr1g034390"
"78","Medtr1g034960"
"79","Medtr1g040360"
"80","Medtr1g041390"
"81","Medtr1g041395"
"82","Medtr1g043200"
"83","Medtr1g043240"
"84","Medtr1g044785"
"85","Medtr1g048470"
"86","Medtr1g049070"
"87","Medtr1g049170"
"88","Medtr1g050520"
"89","Medtr1g051585"
"90","Medtr1g052165"
"91","Medtr1g052680"
"92","Medtr1g053780"
"93","Medtr1g053860"
"94","Medtr1g054260"
"95","Medtr1g054540"
"96","Medtr1g054550"
"97","Medtr1g054750"
"98","Medtr1g056470"
"99","Medtr1g057250"
"100","Medtr1g057600"
"101","Medtr1g059660"
"102","Medtr1g060060"
"103","Medtr1g060570"
"104","Medtr1g060750"
"105","Medtr1g062500"
"106","Medtr1g062760"
"107","Medtr1g063970"
"108","Medtr1g068865"
"109","Medtr1g068920"
"110","Medtr1g068970"
"111","Medtr1g069945"
"112","Medtr1g070100"
"113","Medtr1g070230"
"114","Medtr1g070295"
"115","Medtr1g070395"
"116","Medtr1g073890"
"117","Medtr1g075170"
"118","Medtr1g075190"
"119","Medtr1g075200"
"120","Medtr1g076150"
"121","Medtr1g076210"
"122","Medtr1g076270"
"123","Medtr1g076500"
"124","Medtr1g078190"
"125","Medtr1g082370"
"126","Medtr1g082480"
"127","Medtr1g082880"
"128","Medtr1g083180"
"129","Medtr1g083240"
"130","Medtr1g083350"
"131","Medtr1g083570"
"132","Medtr1g083710"
"133","Medtr1g084080"
"134","Medtr1g084660"
"135","Medtr1g084920"
"136","Medtr1g085230"
"137","Medtr1g086095"
"138","Medtr1g087140"
"139","Medtr1g087720"
"140","Medtr1g088620"
"141","Medtr1g088660"
"142","Medtr1g088825"
"143","Medtr1g088840"
"144","Medtr1g092490"
"145","Medtr1g093350"
"146","Medtr1g094085"
"147","Medtr1g094160"
"148","Medtr1g094615"
"149","Medtr1g094680"
"150","Medtr1g096260"
"151","Medtr1g096890"
"152","Medtr1g097320"
"153","Medtr1g097560"
"154","Medtr1g098970"
"155","Medtr1g100040"
"156","Medtr1g103290"
"157","Medtr1g104835"
"158","Medtr1g105555"
"159","Medtr1g105615"
"160","Medtr1g105630"
"161","Medtr1g106910"
"162","Medtr1g107145"
"163","Medtr1g107365"
"164","Medtr1g108490"
"165","Medtr1g109590"
"166","Medtr1g109630"
"167","Medtr1g110500"
"168","Medtr1g111310"
"169","Medtr1g111480"
"170","Medtr1g114510"
"171","Medtr1g115420"
"172","Medtr1g116205"
"173","Medtr1g116940"
"174","Medtr1g423960"
"175","Medtr1g442820"
"176","Medtr2g007120"
"177","Medtr2g007170"
"178","Medtr2g007530"
"179","Medtr2g007820"
"180","Medtr2g008070"
"181","Medtr2g008100"
"182","Medtr2g008730"
"183","Medtr2g009070"
"184","Medtr2g010600"
"185","Medtr2g010730"
"186","Medtr2g012260"
"187","Medtr2g012360"
"188","Medtr2g012380"
"189","Medtr2g013470"
"190","Medtr2g013570"
"191","Medtr2g014910"
"192","Medtr2g015545"
"193","Medtr2g016030"
"194","Medtr2g016680"
"195","Medtr2g017450"
"196","Medtr2g017955"
"197","Medtr2g017965"
"198","Medtr2g018125"
"199","Medtr2g019410"
"200","Medtr2g020030"
"201","Medtr2g021820"
"202","Medtr2g023010"
"203","Medtr2g023980"
"204","Medtr2g024290"
"205","Medtr2g026160"
"206","Medtr2g026585"
"207","Medtr2g027130"
"208","Medtr2g028470"
"209","Medtr2g029170"
"210","Medtr2g029730"
"211","Medtr2g030335"
"212","Medtr2g033600"
"213","Medtr2g034350"
"214","Medtr2g034370"
"215","Medtr2g034790"
"216","Medtr2g035760"
"217","Medtr2g035800"
"218","Medtr2g037460"
"219","Medtr2g038090"
"220","Medtr2g038200"
"221","Medtr2g038580"
"222","Medtr2g038710"
"223","Medtr2g040040"
"224","Medtr2g041440"
"225","Medtr2g041650"
"226","Medtr2g041670"
"227","Medtr2g042430"
"228","Medtr2g045140"
"229","Medtr2g045240"
"230","Medtr2g048140"
"231","Medtr2g050020"
"232","Medtr2g054130"
"233","Medtr2g055320"
"234","Medtr2g059790"
"235","Medtr2g059890"
"236","Medtr2g060360"
"237","Medtr2g061490"
"238","Medtr2g061690"
"239","Medtr2g062340"
"240","Medtr2g062350"
"241","Medtr2g067210"
"242","Medtr2g067620"
"243","Medtr2g070060"
"244","Medtr2g071880"
"245","Medtr2g072030"
"246","Medtr2g072110"
"247","Medtr2g073520"
"248","Medtr2g073560"
"249","Medtr2g076070"
"250","Medtr2g076470"
"251","Medtr2g077490"
"252","Medtr2g078100"
"253","Medtr2g078470"
"254","Medtr2g078480"
"255","Medtr2g079180"
"256","Medtr2g081860"
"257","Medtr2g082450"
"258","Medtr2g083130"
"259","Medtr2g084375"
"260","Medtr2g086700"
"261","Medtr2g088955"
"262","Medtr2g090340"
"263","Medtr2g090365"
"264","Medtr2g090735"
"265","Medtr2g091150"
"266","Medtr2g093030"
"267","Medtr2g094730"
"268","Medtr2g094790"
"269","Medtr2g094810"
"270","Medtr2g095430"
"271","Medtr2g097500"
"272","Medtr2g097900"
"273","Medtr2g098230"
"274","Medtr2g100260"
"275","Medtr2g101675"
"276","Medtr2g102020"
"277","Medtr2g102243"
"278","Medtr2g102675"
"279","Medtr2g103400"
"280","Medtr2g103480"
"281","Medtr2g103640"
"282","Medtr2g103660"
"283","Medtr2g105080"
"284","Medtr2g105300"
"285","Medtr2g105340"
"286","Medtr2g105740"
"287","Medtr2g105800"
"288","Medtr2g105830"
"289","Medtr2g435810"
"290","Medtr2g436090"
"291","Medtr2g437110"
"292","Medtr2g461310"
"293","Medtr3g005460"
"294","Medtr3g007910"
"295","Medtr3g007920"
"296","Medtr3g008290"
"297","Medtr3g009260"
