"","x"
"1","Medtr0005s0220"
"2","Medtr0050s0010"
"3","Medtr0219s0070"
"4","Medtr0361s0010"
"5","Medtr0459s0020"
"6","Medtr0618s0020"
"7","Medtr0881s0020"
"8","Medtr1113s0010"
"9","Medtr1g012190"
"10","Medtr1g022340"
"11","Medtr1g036840"
"12","Medtr1g043220"
"13","Medtr1g068630"
"14","Medtr1g090450"
"15","Medtr1g090590"
"16","Medtr1g102740"
"17","Medtr1g103270"
"18","Medtr1g110160"
"19","Medtr2g020580"
"20","Medtr2g022930"
"21","Medtr2g035290"
"22","Medtr2g045135"
"23","Medtr2g061920"
"24","Medtr2g063837"
"25","Medtr2g103070"
"26","Medtr2g438030"
"27","Medtr3g015260"
"28","Medtr3g048785"
"29","Medtr3g053480"
"30","Medtr3g056615"
"31","Medtr3g058810"
"32","Medtr3g058820"
"33","Medtr3g070320"
"34","Medtr3g072215"
"35","Medtr3g078120"
"36","Medtr3g080390"
"37","Medtr3g087330"
"38","Medtr3g088615"
"39","Medtr3g088970"
"40","Medtr3g103370"
"41","Medtr3g105060"
"42","Medtr3g107650"
"43","Medtr3g115410"
"44","Medtr3g434860"
"45","Medtr3g461440"
"46","Medtr4g054970"
"47","Medtr4g065660"
"48","Medtr4g094678"
"49","Medtr5g007470"
"50","Medtr5g008150"
"51","Medtr5g022620"
"52","Medtr5g030880"
"53","Medtr5g056420"
"54","Medtr5g058700"
"55","Medtr5g059880"
"56","Medtr5g069490"
"57","Medtr5g087370"
"58","Medtr5g089090"
"59","Medtr6g005480"
"60","Medtr6g009563"
"61","Medtr6g022170"
"62","Medtr6g037190"
"63","Medtr6g051965"
"64","Medtr6g071400"
"65","Medtr7g015230"
"66","Medtr7g026030"
"67","Medtr7g035290"
"68","Medtr7g037420"
"69","Medtr7g055900"
"70","Medtr7g073030"
"71","Medtr7g075540"
"72","Medtr7g081270"
"73","Medtr7g096610"
"74","Medtr7g096870"
"75","Medtr7g104200"
"76","Medtr7g106140"
"77","Medtr8g010150"
"78","Medtr8g023740"
"79","Medtr8g062090"
"80","Medtr8g080970"
"81","Medtr8g093780"
"82","Medtr8g098500"
"83","Medtr8g469360"
"84","Medtr8g469570"
