"","x"
"1","Medtr0014s0260"
"2","Medtr0022s0200"
"3","Medtr0026s0210"
"4","Medtr0137s0040"
"5","Medtr0393s0050"
"6","Medtr1g007450"
"7","Medtr1g009760"
"8","Medtr1g015920"
"9","Medtr1g017940"
"10","Medtr1g021955"
"11","Medtr1g025680"
"12","Medtr1g027730"
"13","Medtr1g027850"
"14","Medtr1g027880"
"15","Medtr1g050518"
"16","Medtr1g063420"
"17","Medtr1g066630"
"18","Medtr1g067050"
"19","Medtr1g067660"
"20","Medtr1g069000"
"21","Medtr1g069915"
"22","Medtr1g075870"
"23","Medtr1g080360"
"24","Medtr1g085355"
"25","Medtr1g086650"
"26","Medtr1g094780"
"27","Medtr1g102840"
"28","Medtr1g105150"
"29","Medtr1g109700"
"30","Medtr1g112050"
"31","Medtr1g112370"
"32","Medtr1g112740"
"33","Medtr2g005700"
"34","Medtr2g010870"
"35","Medtr2g020760"
"36","Medtr2g021255"
"37","Medtr2g022730"
"38","Medtr2g024270"
"39","Medtr2g025170"
"40","Medtr2g030200"
"41","Medtr2g035100"
"42","Medtr2g035630"
"43","Medtr2g037565"
"44","Medtr2g039870"
"45","Medtr2g061790"
"46","Medtr2g062720"
"47","Medtr2g067310"
"48","Medtr2g072160"
"49","Medtr2g078130"
"50","Medtr2g079340"
"51","Medtr2g083510"
"52","Medtr2g086090"
"53","Medtr2g087610"
"54","Medtr2g088220"
"55","Medtr2g089190"
"56","Medtr2g092930"
"57","Medtr2g093220"
"58","Medtr2g097580"
"59","Medtr2g099465"
"60","Medtr2g101940"
"61","Medtr2g104970"
"62","Medtr2g105710"
"63","Medtr2g436930"
"64","Medtr3g010277"
"65","Medtr3g018710"
"66","Medtr3g026775"
"67","Medtr3g026785"
"68","Medtr3g027470"
"69","Medtr3g035990"
"70","Medtr3g037450"
"71","Medtr3g065800"
"72","Medtr3g073180"
"73","Medtr3g090620"
"74","Medtr3g098660"
"75","Medtr3g103360"
"76","Medtr3g104900"
"77","Medtr3g107330"
"78","Medtr3g113620"
"79","Medtr3g116060"
"80","Medtr3g408440"
"81","Medtr3g452020"
"82","Medtr4g005430"
"83","Medtr4g010770"
"84","Medtr4g011090"
"85","Medtr4g013240"
"86","Medtr4g014570"
"87","Medtr4g016740"
"88","Medtr4g017280"
"89","Medtr4g017700"
"90","Medtr4g019080"
"91","Medtr4g033235"
"92","Medtr4g037755"
"93","Medtr4g045990"
"94","Medtr4g050863"
"95","Medtr4g050940"
"96","Medtr4g063775"
"97","Medtr4g068860"
"98","Medtr4g070140"
"99","Medtr4g070720"
"100","Medtr4g076970"
"101","Medtr4g081560"
"102","Medtr4g082365"
"103","Medtr4g084520"
"104","Medtr4g086020"
"105","Medtr4g088490"
"106","Medtr4g100750"
"107","Medtr4g101880"
"108","Medtr4g106990"
"109","Medtr4g107120"
"110","Medtr4g107630"
"111","Medtr4g108050"
"112","Medtr4g109320"
"113","Medtr4g114850"
"114","Medtr4g115490"
"115","Medtr4g116320"
"116","Medtr4g126220"
"117","Medtr4g130690"
"118","Medtr4g134210"
"119","Medtr4g134270"
"120","Medtr5g004970"
"121","Medtr5g006900"
"122","Medtr5g008920"
"123","Medtr5g010840"
"124","Medtr5g019970"
"125","Medtr5g022640"
"126","Medtr5g024670"
"127","Medtr5g025430"
"128","Medtr5g027220"
"129","Medtr5g029580"
"130","Medtr5g029935"
"131","Medtr5g033720"
"132","Medtr5g043680"
"133","Medtr5g048910"
"134","Medtr5g054940"
"135","Medtr5g056735"
"136","Medtr5g058530"
"137","Medtr5g059820"
"138","Medtr5g073400"
"139","Medtr5g073620"
"140","Medtr5g080030"
"141","Medtr5g082560"
"142","Medtr5g082580"
"143","Medtr5g084260"
"144","Medtr5g084870"
"145","Medtr5g086690"
"146","Medtr5g091180"
"147","Medtr5g091340"
"148","Medtr5g093050"
"149","Medtr5g095050"
"150","Medtr6g008950"
"151","Medtr6g016000"
"152","Medtr6g016985"
"153","Medtr6g017170"
"154","Medtr6g027700"
"155","Medtr6g028120"
"156","Medtr6g034965"
"157","Medtr6g035265"
"158","Medtr6g039110"
"159","Medtr6g048290"
"160","Medtr6g069170"
"161","Medtr6g069860"
"162","Medtr6g071190"
"163","Medtr6g074880"
"164","Medtr6g077800"
"165","Medtr6g079600"
"166","Medtr6g080680"
"167","Medtr6g462100"
"168","Medtr7g012090"
"169","Medtr7g026320"
"170","Medtr7g033960"
"171","Medtr7g034345"
"172","Medtr7g059010"
"173","Medtr7g059150"
"174","Medtr7g062880"
"175","Medtr7g063730"
"176","Medtr7g065050"
"177","Medtr7g074850"
"178","Medtr7g075120"
"179","Medtr7g078370"
"180","Medtr7g078730"
"181","Medtr7g079830"
"182","Medtr7g081710"
"183","Medtr7g083500"
"184","Medtr7g084990"
"185","Medtr7g092530"
"186","Medtr7g092910"
"187","Medtr7g105450"
"188","Medtr7g108260"
"189","Medtr7g113640"
"190","Medtr7g115420"
"191","Medtr7g116840"
"192","Medtr7g405710"
"193","Medtr8g007000"
"194","Medtr8g011280"
"195","Medtr8g021010"
"196","Medtr8g024650"
"197","Medtr8g027760"
"198","Medtr8g036235"
"199","Medtr8g062080"
"200","Medtr8g068590"
"201","Medtr8g087730"
"202","Medtr8g088410"
"203","Medtr8g091530"
"204","Medtr8g095500"
"205","Medtr8g096120"
"206","Medtr8g098910"
"207","Medtr8g099720"
"208","Medtr8g101585"
"209","Medtr8g102760"
"210","Medtr8g103490"
"211","Medtr8g442360"
"212","Medtr8g461270"
