"","x"
"1","Medtr0019s0110"
"2","Medtr0094s0010"
"3","Medtr0444s0010"
"4","Medtr1g015740"
"5","Medtr1g021990"
"6","Medtr1g023700"
"7","Medtr1g028060"
"8","Medtr1g029990"
"9","Medtr1g044520"
"10","Medtr1g052130"
"11","Medtr1g053575"
"12","Medtr1g070175"
"13","Medtr1g073640"
"14","Medtr1g079860"
"15","Medtr1g084830"
"16","Medtr1g110860"
"17","Medtr1g117030"
"18","Medtr2g099400"
"19","Medtr3g007830"
"20","Medtr3g028040"
"21","Medtr3g069120"
"22","Medtr3g093160"
"23","Medtr3g117260"
"24","Medtr4g009055"
"25","Medtr4g013265"
"26","Medtr4g029210"
"27","Medtr4g079760"
"28","Medtr4g088005"
"29","Medtr4g094450"
"30","Medtr4g099230"
"31","Medtr4g126990"
"32","Medtr5g019940"
"33","Medtr5g043780"
"34","Medtr5g060470"
"35","Medtr5g065520"
"36","Medtr5g066070"
"37","Medtr5g069810"
"38","Medtr5g085770"
"39","Medtr5g097150"
"40","Medtr5g097370"
"41","Medtr6g004210"
"42","Medtr6g029420"
"43","Medtr6g042030"
"44","Medtr6g092180"
"45","Medtr6g465360"
"46","Medtr7g007230"
"47","Medtr7g010790"
"48","Medtr7g018620"
"49","Medtr7g025620"
"50","Medtr7g062750"
"51","Medtr7g078060"
"52","Medtr7g079720"
"53","Medtr7g080260"
"54","Medtr7g093310"
"55","Medtr7g103390"
"56","Medtr7g112950"
"57","Medtr8g036030"
"58","Medtr8g046230"
"59","Medtr8g079970"
"60","Medtr8g087535"
"61","Medtr8g088890"
"62","Medtr8g092980"
"63","Medtr8g093450"
