"","x"
"1","Medtr0002s1060"
"2","Medtr0009s0020"
"3","Medtr0011s0280"
"4","Medtr0019s0010"
"5","Medtr0019s0020"
"6","Medtr0019s0070"
"7","Medtr0019s0120"
"8","Medtr0021s0370"
"9","Medtr0063s0090"
"10","Medtr0082s0180"
"11","Medtr0082s0250"
"12","Medtr0088s0100"
"13","Medtr0092s0090"
"14","Medtr0094s0120"
"15","Medtr0103s0090"
"16","Medtr0118s0070"
"17","Medtr0144s0010"
"18","Medtr0160s0030"
"19","Medtr0202s0070"
"20","Medtr0216s0030"
"21","Medtr0221s0030"
"22","Medtr0246s0020"
"23","Medtr0273s0030"
"24","Medtr0392s0020"
"25","Medtr0415s0010"
"26","Medtr0451s0010"
"27","Medtr0549s0020"
"28","Medtr0570s0040"
"29","Medtr0915s0010"
"30","Medtr1173s0010"
"31","Medtr1252s0010"
"32","Medtr1319s0010"
"33","Medtr1g007180"
"34","Medtr1g007385"
"35","Medtr1g011700"
"36","Medtr1g012470"
"37","Medtr1g012820"
"38","Medtr1g013760"
"39","Medtr1g014510"
"40","Medtr1g015300"
"41","Medtr1g015410"
"42","Medtr1g015490"
"43","Medtr1g015890"
"44","Medtr1g018600"
"45","Medtr1g019870"
"46","Medtr1g021855"
"47","Medtr1g025420"
"48","Medtr1g025950"
"49","Medtr1g026070"
"50","Medtr1g026140"
"51","Medtr1g026160"
"52","Medtr1g027580"
"53","Medtr1g028130"
"54","Medtr1g028720"
"55","Medtr1g029190"
"56","Medtr1g030295"
"57","Medtr1g030600"
"58","Medtr1g031200"
"59","Medtr1g031520"
"60","Medtr1g031560"
"61","Medtr1g033450"
"62","Medtr1g033950"
"63","Medtr1g034060"
"64","Medtr1g034340"
"65","Medtr1g036720"
"66","Medtr1g037630"
"67","Medtr1g043220"
"68","Medtr1g043775"
"69","Medtr1g051315"
"70","Medtr1g052720"
"71","Medtr1g053485"
"72","Medtr1g053510"
"73","Medtr1g056530"
"74","Medtr1g057810"
"75","Medtr1g061570"
"76","Medtr1g061840"
"77","Medtr1g062190"
"78","Medtr1g062350"
"79","Medtr1g062690"
"80","Medtr1g063210"
"81","Medtr1g063340"
"82","Medtr1g064040"
"83","Medtr1g067260"
"84","Medtr1g068690"
"85","Medtr1g069110"
"86","Medtr1g069725"
"87","Medtr1g070220"
"88","Medtr1g070280"
"89","Medtr1g071450"
"90","Medtr1g073430"
"91","Medtr1g074040"
"92","Medtr1g074120"
"93","Medtr1g074160"
"94","Medtr1g075730"
"95","Medtr1g077300"
"96","Medtr1g078050"
"97","Medtr1g081610"
"98","Medtr1g081780"
"99","Medtr1g081900"
"100","Medtr1g082480"
"101","Medtr1g082830"
"102","Medtr1g082900"
"103","Medtr1g083190"
"104","Medtr1g084670"
"105","Medtr1g085350"
"106","Medtr1g086510"
"107","Medtr1g086550"
"108","Medtr1g089090"
"109","Medtr1g089980"
"110","Medtr1g090580"
"111","Medtr1g090807"
"112","Medtr1g095080"
"113","Medtr1g095730"
"114","Medtr1g096860"
"115","Medtr1g097440"
"116","Medtr1g098030"
"117","Medtr1g098760"
"118","Medtr1g100587"
"119","Medtr1g100733"
"120","Medtr1g102750"
"121","Medtr1g106470"
"122","Medtr1g107215"
"123","Medtr1g108440"
"124","Medtr1g108800"
"125","Medtr1g110270"
"126","Medtr1g110510"
"127","Medtr1g111030"
"128","Medtr1g111450"
"129","Medtr1g112990"
"130","Medtr1g114050"
"131","Medtr1g114290"
"132","Medtr1g115210"
"133","Medtr1g115270"
"134","Medtr1g115825"
"135","Medtr1g471050"
"136","Medtr2g005330"
"137","Medtr2g006740"
"138","Medtr2g008590"
"139","Medtr2g009270"
"140","Medtr2g009340"
"141","Medtr2g010300"
"142","Medtr2g010810"
"143","Medtr2g011580"
"144","Medtr2g011590"
"145","Medtr2g011760"
"146","Medtr2g013160"
"147","Medtr2g013900"
"148","Medtr2g014040"
"149","Medtr2g014860"
"150","Medtr2g015545"
"151","Medtr2g015740"
"152","Medtr2g016230"
