"","x"
"1","Medtr0001s0010"
"2","Medtr0015s0030"
"3","Medtr0036s0210"
"4","Medtr0036s0240"
"5","Medtr0041s0140"
"6","Medtr0095s0120"
"7","Medtr0129s0050"
"8","Medtr0425s0030"
"9","Medtr0652s0020"
"10","Medtr0886s0010"
"11","Medtr1588s0010"
"12","Medtr1g007950"
"13","Medtr1g009980"
"14","Medtr1g012440"
"15","Medtr1g014930"
"16","Medtr1g015710"
"17","Medtr1g018970"
"18","Medtr1g022375"
"19","Medtr1g026070"
"20","Medtr1g026820"
"21","Medtr1g028130"
"22","Medtr1g031650"
"23","Medtr1g032490"
"24","Medtr1g032720"
"25","Medtr1g033840"
"26","Medtr1g034260"
"27","Medtr1g034340"
"28","Medtr1g045510"
"29","Medtr1g051075"
"30","Medtr1g052700"
"31","Medtr1g053255"
"32","Medtr1g054100"
"33","Medtr1g054750"
"34","Medtr1g056910"
"35","Medtr1g058490"
"36","Medtr1g059890"
"37","Medtr1g059960"
"38","Medtr1g061260"
"39","Medtr1g063920"
"40","Medtr1g064230"
"41","Medtr1g066810"
"42","Medtr1g068970"
"43","Medtr1g069235"
"44","Medtr1g070840"
"45","Medtr1g077300"
"46","Medtr1g078260"
"47","Medtr1g081280"
"48","Medtr1g085520"
"49","Medtr1g086210"
"50","Medtr1g087540"
"51","Medtr1g088680"
"52","Medtr1g090687"
"53","Medtr1g090737"
"54","Medtr1g090960"
"55","Medtr1g093900"
"56","Medtr1g098200"
"57","Medtr1g100890"
"58","Medtr1g101710"
"59","Medtr1g102365"
"60","Medtr1g102800"
"61","Medtr1g103680"
"62","Medtr1g105230"
"63","Medtr1g105290"
"64","Medtr1g106775"
"65","Medtr1g109060"
"66","Medtr1g109100"
"67","Medtr1g112960"
"68","Medtr1g114070"
"69","Medtr1g114200"
"70","Medtr2g006000"
"71","Medtr2g006290"
"72","Medtr2g008610"
"73","Medtr2g013330"
"74","Medtr2g013570"
"75","Medtr2g014430"
"76","Medtr2g015790"
"77","Medtr2g016190"
"78","Medtr2g018670"
"79","Medtr2g019750"
"80","Medtr2g019760"
"81","Medtr2g021810"
"82","Medtr2g022770"
"83","Medtr2g023000"
"84","Medtr2g023810"
"85","Medtr2g025495"
"86","Medtr2g026210"
"87","Medtr2g031530"
"88","Medtr2g031600"
"89","Medtr2g031980"
"90","Medtr2g034340"
"91","Medtr2g036780"
"92","Medtr2g038680"
"93","Medtr2g039410"
"94","Medtr2g041520"
"95","Medtr2g049305"
"96","Medtr2g054870"
"97","Medtr2g058430"
