"","x"
"1","Medtr0007s0060"
"2","Medtr0007s0390"
"3","Medtr0018s0320"
"4","Medtr0040s0110"
"5","Medtr0047s0040"
"6","Medtr0082s0080"
"7","Medtr0126s0080"
"8","Medtr0153s0030"
"9","Medtr0177s0060"
"10","Medtr0197s0070"
"11","Medtr0238s0050"
"12","Medtr0257s0060"
"13","Medtr0361s0030"
"14","Medtr0794s0020"
"15","Medtr0874s0020"
"16","Medtr0912s0010"
"17","Medtr1301s0010"
"18","Medtr1g007060"
"19","Medtr1g009840"
"20","Medtr1g013680"
"21","Medtr1g016740"
"22","Medtr1g018030"
"23","Medtr1g021955"
"24","Medtr1g021990"
"25","Medtr1g022455"
"26","Medtr1g023125"
"27","Medtr1g030268"
"28","Medtr1g032590"
"29","Medtr1g032710"
"30","Medtr1g036820"
"31","Medtr1g036860"
"32","Medtr1g039010"
"33","Medtr1g049200"
"34","Medtr1g051380"
"35","Medtr1g053260"
"36","Medtr1g053570"
"37","Medtr1g064710"
"38","Medtr1g067660"
"39","Medtr1g069725"
"40","Medtr1g070230"
"41","Medtr1g070870"
"42","Medtr1g071920"
"43","Medtr1g073950"
"44","Medtr1g075030"
"45","Medtr1g075730"
"46","Medtr1g081610"
"47","Medtr1g082810"
"48","Medtr1g083110"
"49","Medtr1g088795"
"50","Medtr1g090230"
"51","Medtr1g094115"
"52","Medtr1g094780"
"53","Medtr1g096820"
"54","Medtr1g098300"
"55","Medtr1g098680"
"56","Medtr1g099520"
"57","Medtr1g103660"
"58","Medtr1g105895"
"59","Medtr1g106790"
"60","Medtr1g112940"
"61","Medtr1g115825"
"62","Medtr2g006740"
"63","Medtr2g008170"
"64","Medtr2g008400"
"65","Medtr2g008960"
"66","Medtr2g010810"
"67","Medtr2g010935"
"68","Medtr2g015740"
"69","Medtr2g016200"
"70","Medtr2g019170"
"71","Medtr2g023600"
"72","Medtr2g027550"
"73","Medtr2g028450"
"74","Medtr2g031450"
"75","Medtr2g035100"
"76","Medtr2g035470"
"77","Medtr2g037460"
"78","Medtr2g037600"
"79","Medtr2g038090"
"80","Medtr2g040150"
"81","Medtr2g041200"
"82","Medtr2g042720"
"83","Medtr2g044900"
"84","Medtr2g047852"
"85","Medtr2g048610"
"86","Medtr2g054670"
"87","Medtr2g058870"
"88","Medtr2g067030"
"89","Medtr2g067310"
"90","Medtr2g071820"
"91","Medtr2g072030"
"92","Medtr2g079310"
"93","Medtr2g079500"
"94","Medtr2g088320"
"95","Medtr2g089190"
"96","Medtr2g090730"
"97","Medtr2g095210"
"98","Medtr2g095960"
"99","Medtr2g096530"
"100","Medtr2g096780"
"101","Medtr2g100260"
"102","Medtr2g100290"
"103","Medtr2g101330"
"104","Medtr2g102550"
"105","Medtr2g103410"
"106","Medtr2g437480"
"107","Medtr3g008430"
"108","Medtr3g008470"
"109","Medtr3g008530"
"110","Medtr3g009260"
"111","Medtr3g013970"
"112","Medtr3g014880"
"113","Medtr3g015430"
"114","Medtr3g019080"
"115","Medtr3g020970"
"116","Medtr3g021320"
"117","Medtr3g022920"
"118","Medtr3g023280"
"119","Medtr3g027470"
"120","Medtr3g041720"
"121","Medtr3g044960"
"122","Medtr3g052330"
"123","Medtr3g053790"
"124","Medtr3g056575"
"125","Medtr3g063340"
"126","Medtr3g064490"
"127","Medtr3g067730"
"128","Medtr3g070290"
"129","Medtr3g071990"
"130","Medtr3g072570"
"131","Medtr3g073560"
"132","Medtr3g074390"
"133","Medtr3g074490"
