"","x"
"1","Medtr0019s0320"
"2","Medtr0129s0120"
"3","Medtr0360s0010"
"4","Medtr1g013030"
"5","Medtr1g025720"
"6","Medtr1g030740"
"7","Medtr1g034450"
"8","Medtr1g050395"
"9","Medtr1g064580"
"10","Medtr2g028170"
"11","Medtr2g029010"
"12","Medtr2g040320"
"13","Medtr2g042640"
"14","Medtr2g069070"
"15","Medtr2g089380"
"16","Medtr2g099105"
"17","Medtr2g103810"
"18","Medtr2g104340"
"19","Medtr2g104950"
"20","Medtr3g019240"
"21","Medtr3g073510"
"22","Medtr3g080850"
"23","Medtr3g094630"
"24","Medtr3g452170"
"25","Medtr3g456030"
"26","Medtr4g032420"
"27","Medtr4g034030"
"28","Medtr4g052770"
"29","Medtr4g068453"
"30","Medtr4g083660"
"31","Medtr4g117460"
"32","Medtr4g131630"
"33","Medtr5g009990"
"34","Medtr5g040700"
"35","Medtr5g045130"
"36","Medtr5g098230"
"37","Medtr6g007470"
"38","Medtr6g009590"
"39","Medtr6g033660"
"40","Medtr6g034745"
"41","Medtr6g086765"
"42","Medtr6g465850"
"43","Medtr7g015620"
"44","Medtr7g072585"
"45","Medtr7g078400"
"46","Medtr7g079820"
"47","Medtr7g082120"
"48","Medtr7g084720"
"49","Medtr7g086960"
"50","Medtr8g018120"
"51","Medtr8g068990"
"52","Medtr8g079365"
