"","x"
"1","Medtr0003s0480"
"2","Medtr0004s0210"
"3","Medtr0004s0220"
"4","Medtr0005s0130"
"5","Medtr0008s0390"
"6","Medtr0011s0020"
"7","Medtr0011s0290"
"8","Medtr0011s0310"
"9","Medtr0012s0110"
"10","Medtr0013s0150"
"11","Medtr0014s0040"
"12","Medtr0015s0090"
"13","Medtr0016s0030"
"14","Medtr0024s0260"
"15","Medtr0032s0050"
"16","Medtr0040s0110"
"17","Medtr0042s0190"
"18","Medtr0049s0110"
"19","Medtr0050s0180"
"20","Medtr0054s0080"
"21","Medtr0057s0130"
"22","Medtr0066s0040"
"23","Medtr0069s0040"
"24","Medtr0070s0040"
"25","Medtr0082s0040"
"26","Medtr0083s0100"
"27","Medtr0086s0060"
"28","Medtr0087s0090"
"29","Medtr0092s0090"
"30","Medtr0103s0090"
"31","Medtr0110s0040"
"32","Medtr0148s0080"
"33","Medtr0152s0100"
"34","Medtr0165s0050"
"35","Medtr0172s0030"
"36","Medtr0221s0020"
"37","Medtr0224s0030"
"38","Medtr0256s0050"
"39","Medtr0271s0070"
"40","Medtr0295s0020"
"41","Medtr0332s0020"
"42","Medtr0339s0020"
"43","Medtr0366s0020"
"44","Medtr0421s0020"
"45","Medtr0425s0010"
"46","Medtr0449s0040"
"47","Medtr0493s0010"
"48","Medtr0874s0010"
"49","Medtr0907s0020"
"50","Medtr0939s0010"
"51","Medtr1588s0010"
"52","Medtr1g006490"
"53","Medtr1g006600"
"54","Medtr1g007157"
"55","Medtr1g007385"
"56","Medtr1g008910"
"57","Medtr1g010030"
"58","Medtr1g010070"
"59","Medtr1g010150"
"60","Medtr1g011540"
"61","Medtr1g011640"
"62","Medtr1g011650"
"63","Medtr1g012335"
"64","Medtr1g012440"
"65","Medtr1g012910"
"66","Medtr1g012950"
"67","Medtr1g012960"
"68","Medtr1g013060"
"69","Medtr1g013150"
"70","Medtr1g013280"
"71","Medtr1g013430"
"72","Medtr1g013790"
"73","Medtr1g015470"
"74","Medtr1g015540"
"75","Medtr1g016120"
"76","Medtr1g016890"
"77","Medtr1g016970"
"78","Medtr1g017450"
"79","Medtr1g017870"
"80","Medtr1g018030"
"81","Medtr1g019410"
"82","Medtr1g019720"
"83","Medtr1g021510"
"84","Medtr1g021760"
"85","Medtr1g022150"
"86","Medtr1g022265"
"87","Medtr1g022375"
"88","Medtr1g023700"
"89","Medtr1g023720"
"90","Medtr1g025340"
"91","Medtr1g025960"
"92","Medtr1g026125"
"93","Medtr1g026400"
"94","Medtr1g026750"
"95","Medtr1g026860"
"96","Medtr1g027700"
"97","Medtr1g027720"
"98","Medtr1g028020"
"99","Medtr1g028130"
"100","Medtr1g028300"
"101","Medtr1g028350"
"102","Medtr1g028890"
"103","Medtr1g029620"
"104","Medtr1g029670"
"105","Medtr1g030265"
"106","Medtr1g030295"
"107","Medtr1g030480"
"108","Medtr1g031900"
"109","Medtr1g032220"
"110","Medtr1g032430"
"111","Medtr1g032490"
"112","Medtr1g035720"
"113","Medtr1g035770"
"114","Medtr1g036830"
"115","Medtr1g039010"
"116","Medtr1g040210"
"117","Medtr1g040525"
"118","Medtr1g041410"
"119","Medtr1g043690"
"120","Medtr1g044315"
"121","Medtr1g045140"
"122","Medtr1g045870"
"123","Medtr1g046620"
"124","Medtr1g047720"
"125","Medtr1g048110"
"126","Medtr1g049170"
"127","Medtr1g050382"
"128","Medtr1g050425"
"129","Medtr1g050525"
"130","Medtr1g050530"
"131","Medtr1g050545"
"132","Medtr1g050845"
"133","Medtr1g051110"
"134","Medtr1g051670"
"135","Medtr1g052065"
"136","Medtr1g052135"
"137","Medtr1g053070"
"138","Medtr1g054305"
"139","Medtr1g054675"
"140","Medtr1g054885"
"141","Medtr1g054935"
"142","Medtr1g055425"
"143","Medtr1g057420"
"144","Medtr1g057460"
"145","Medtr1g059660"
"146","Medtr1g059960"
"147","Medtr1g060070"
"148","Medtr1g060360"
"149","Medtr1g061050"
"150","Medtr1g061540"
"151","Medtr1g062090"
"152","Medtr1g062590"
"153","Medtr1g062860"
"154","Medtr1g062880"
"155","Medtr1g062940"
"156","Medtr1g063230"
"157","Medtr1g063400"
"158","Medtr1g063920"
"159","Medtr1g064630"
"160","Medtr1g064750"
"161","Medtr1g068865"
"162","Medtr1g069140"
"163","Medtr1g069300"
"164","Medtr1g069575"
"165","Medtr1g069705"
"166","Medtr1g070135"
"167","Medtr1g071730"
"168","Medtr1g071800"
"169","Medtr1g071810"
"170","Medtr1g073170"
"171","Medtr1g073380"
"172","Medtr1g073580"
"173","Medtr1g073910"
"174","Medtr1g074950"
"175","Medtr1g075520"
"176","Medtr1g075650"
"177","Medtr1g076150"
"178","Medtr1g076430"
"179","Medtr1g076470"
"180","Medtr1g076910"
