"","x"
"1","Medtr0003s0630"
"2","Medtr0007s0060"
"3","Medtr0009s0240"
"4","Medtr0011s0280"
"5","Medtr0012s0150"
"6","Medtr0014s0300"
"7","Medtr0016s0020"
"8","Medtr0018s0320"
"9","Medtr0019s0070"
"10","Medtr0020s0130"
"11","Medtr0022s0360"
"12","Medtr0024s0110"
"13","Medtr0027s0200"
"14","Medtr0027s0220"
"15","Medtr0032s0070"
"16","Medtr0039s0080"
"17","Medtr0043s0110"
"18","Medtr0047s0100"
"19","Medtr0063s0090"
"20","Medtr0082s0140"
"21","Medtr0094s0110"
"22","Medtr0095s0070"
"23","Medtr0144s0010"
"24","Medtr0177s0070"
"25","Medtr0180s0070"
"26","Medtr0184s0030"
"27","Medtr0189s0010"
"28","Medtr0202s0060"
"29","Medtr0212s0080"
"30","Medtr0257s0060"
"31","Medtr0288s0020"
"32","Medtr0374s0050"
"33","Medtr0475s0020"
"34","Medtr0511s0010"
"35","Medtr0591s0010"
"36","Medtr0623s0010"
"37","Medtr0874s0020"
"38","Medtr0912s0010"
"39","Medtr0929s0010"
"40","Medtr1301s0010"
"41","Medtr1319s0010"
"42","Medtr1396s0010"
"43","Medtr1g007180"
"44","Medtr1g009770"
"45","Medtr1g010210"
"46","Medtr1g010240"
"47","Medtr1g010260"
"48","Medtr1g012480"
"49","Medtr1g012590"
"50","Medtr1g013130"
"51","Medtr1g014710"
"52","Medtr1g015300"
"53","Medtr1g015410"
"54","Medtr1g015860"
"55","Medtr1g016080"
"56","Medtr1g016480"
"57","Medtr1g017090"
"58","Medtr1g017890"
"59","Medtr1g017910"
"60","Medtr1g018480"
"61","Medtr1g019430"
"62","Medtr1g021295"
"63","Medtr1g021380"
"64","Medtr1g021610"
"65","Medtr1g022380"
"66","Medtr1g023125"
"67","Medtr1g025075"
"68","Medtr1g025150"
"69","Medtr1g026760"
"70","Medtr1g027020"
"71","Medtr1g027320"
"72","Medtr1g027360"
"73","Medtr1g028970"
"74","Medtr1g029440"
"75","Medtr1g029520"
"76","Medtr1g029840"
"77","Medtr1g029990"
"78","Medtr1g030580"
"79","Medtr1g030890"
"80","Medtr1g031080"
"81","Medtr1g031560"
"82","Medtr1g032340"
"83","Medtr1g032580"
"84","Medtr1g032590"
"85","Medtr1g033000"
"86","Medtr1g033440"
"87","Medtr1g033600"
"88","Medtr1g034290"
"89","Medtr1g034330"
"90","Medtr1g037020"
"91","Medtr1g038680"
"92","Medtr1g040063"
"93","Medtr1g040430"
"94","Medtr1g040575"
"95","Medtr1g041465"
"96","Medtr1g041525"
"97","Medtr1g041545"
"98","Medtr1g042735"
"99","Medtr1g042820"
"100","Medtr1g043610"
"101","Medtr1g047610"
"102","Medtr1g048060"
"103","Medtr1g049200"
"104","Medtr1g050322"
"105","Medtr1g051170"
"106","Medtr1g051195"
"107","Medtr1g053130"
"108","Medtr1g054270"
"109","Medtr1g054990"
"110","Medtr1g058110"
"111","Medtr1g058230"
"112","Medtr1g058610"
"113","Medtr1g060540"
"114","Medtr1g060850"
"115","Medtr1g061170"
"116","Medtr1g061710"
"117","Medtr1g062980"
"118","Medtr1g063000"
"119","Medtr1g063210"
"120","Medtr1g063780"
"121","Medtr1g064430"
"122","Medtr1g069055"
"123","Medtr1g069155"
"124","Medtr1g069215"
"125","Medtr1g069370"
"126","Medtr1g069750"
"127","Medtr1g070070"
"128","Medtr1g070085"
"129","Medtr1g071780"
"130","Medtr1g071870"
"131","Medtr1g073260"
"132","Medtr1g074030"
"133","Medtr1g075030"
"134","Medtr1g076570"
"135","Medtr1g076640"
"136","Medtr1g078030"
"137","Medtr1g080680"
"138","Medtr1g080780"
"139","Medtr1g080860"
"140","Medtr1g083110"
"141","Medtr1g083290"
"142","Medtr1g083310"
"143","Medtr1g083770"
"144","Medtr1g083983"
"145","Medtr1g084720"
"146","Medtr1g084790"
"147","Medtr1g084820"
"148","Medtr1g084980"
"149","Medtr1g086510"
"150","Medtr1g088120"
"151","Medtr1g088170"
"152","Medtr1g088250"
"153","Medtr1g088630"
"154","Medtr1g088795"
"155","Medtr1g088880"
"156","Medtr1g089085"
"157","Medtr1g089890"
"158","Medtr1g089900"
"159","Medtr1g089920"
"160","Medtr1g090070"
"161","Medtr1g090100"
"162","Medtr1g090230"
"163","Medtr1g090673"
"164","Medtr1g090693"
"165","Medtr1g090990"
"166","Medtr1g091023"
"167","Medtr1g094760"
"168","Medtr1g094930"
"169","Medtr1g095510"
"170","Medtr1g095530"
"171","Medtr1g095550"
"172","Medtr1g096640"
"173","Medtr1g096820"
"174","Medtr1g098310"
"175","Medtr1g098430"
"176","Medtr1g098550"
"177","Medtr1g098733"
"178","Medtr1g098760"
"179","Medtr1g100150"
"180","Medtr1g100260"
"181","Medtr1g100783"
"182","Medtr1g102430"
"183","Medtr1g102550"
"184","Medtr1g103840"
"185","Medtr1g104933"
"186","Medtr1g105360"
"187","Medtr1g105895"
"188","Medtr1g106055"
"189","Medtr1g106105"
"190","Medtr1g106790"
"191","Medtr1g107225"
"192","Medtr1g108770"
"193","Medtr1g108990"
"194","Medtr1g109320"
"195","Medtr1g109380"
"196","Medtr1g109420"
"197","Medtr1g111450"
"198","Medtr1g111890"
"199","Medtr1g112240"
"200","Medtr1g112430"
"201","Medtr1g112940"
"202","Medtr1g114690"
"203","Medtr1g114750"
"204","Medtr1g115560"
"205","Medtr1g115870"
"206","Medtr1g116020"
"207","Medtr1g116180"
"208","Medtr1g116810"
"209","Medtr1g116875"
"210","Medtr1g485000"
"211","Medtr1g492720"
"212","Medtr2g006040"
"213","Medtr2g008170"
"214","Medtr2g008190"
"215","Medtr2g008220"
"216","Medtr2g008430"
"217","Medtr2g008960"
"218","Medtr2g009980"
"219","Medtr2g010010"
"220","Medtr2g010740"
"221","Medtr2g010935"
"222","Medtr2g011210"
"223","Medtr2g011230"
"224","Medtr2g012890"
"225","Medtr2g014950"
"226","Medtr2g015480"
"227","Medtr2g015740"
"228","Medtr2g017440"
"229","Medtr2g017925"
"230","Medtr2g018870"
"231","Medtr2g019900"
"232","Medtr2g021590"
"233","Medtr2g022080"
"234","Medtr2g022110"
"235","Medtr2g022900"
"236","Medtr2g023390"
"237","Medtr2g023600"
"238","Medtr2g025760"
"239","Medtr2g026040"
"240","Medtr2g026595"
"241","Medtr2g026715"
"242","Medtr2g028160"
"243","Medtr2g030835"
"244","Medtr2g031930"
"245","Medtr2g034280"
"246","Medtr2g034550"
"247","Medtr2g037855"
"248","Medtr2g037890"
"249","Medtr2g041200"
"250","Medtr2g041400"
"251","Medtr2g043380"
"252","Medtr2g044830"
"253","Medtr2g048610"
"254","Medtr2g050180"
"255","Medtr2g054670"
"256","Medtr2g055750"
"257","Medtr2g055840"
"258","Medtr2g064160"
"259","Medtr2g064310"
"260","Medtr2g067030"
"261","Medtr2g067220"
"262","Medtr2g067240"
"263","Medtr2g067830"
"264","Medtr2g068685"
"265","Medtr2g069010"
"266","Medtr2g069920"
"267","Medtr2g070140"
"268","Medtr2g070150"
"269","Medtr2g071740"
"270","Medtr2g071760"
"271","Medtr2g072260"
"272","Medtr2g073040"
"273","Medtr2g073190"
"274","Medtr2g076990"
"275","Medtr2g078180"
"276","Medtr2g079280"
"277","Medtr2g079310"
"278","Medtr2g079610"
"279","Medtr2g081250"
"280","Medtr2g081600"
"281","Medtr2g082180"
"282","Medtr2g082190"
"283","Medtr2g083210"
"284","Medtr2g083480"
"285","Medtr2g083920"
"286","Medtr2g086190"
"287","Medtr2g086450"
"288","Medtr2g086660"
"289","Medtr2g087590"
"290","Medtr2g089050"
"291","Medtr2g089865"
"292","Medtr2g090060"
"293","Medtr2g090730"
"294","Medtr2g090845"
"295","Medtr2g091215"
"296","Medtr2g091290"
"297","Medtr2g093160"
"298","Medtr2g093990"
"299","Medtr2g094520"
"300","Medtr2g095290"
"301","Medtr2g095920"
"302","Medtr2g095960"
"303","Medtr2g095980"
"304","Medtr2g096040"
"305","Medtr2g097460"
"306","Medtr2g097690"
"307","Medtr2g097860"
"308","Medtr2g099040"
"309","Medtr2g099950"
"310","Medtr2g100340"
"311","Medtr2g100350"
"312","Medtr2g100440"
"313","Medtr2g100780"
"314","Medtr2g100880"
"315","Medtr2g101340"
"316","Medtr2g101560"
"317","Medtr2g102267"
"318","Medtr2g105670"
"319","Medtr2g435500"
"320","Medtr2g435740"
"321","Medtr2g436440"
"322","Medtr2g437070"
"323","Medtr2g437920"
"324","Medtr2g437990"
"325","Medtr2g449800"
"326","Medtr2g450040"
"327","Medtr2g461270"
"328","Medtr2g461720"
"329","Medtr3g007650"
"330","Medtr3g007880"
"331","Medtr3g008140"
"332","Medtr3g008350"
"333","Medtr3g008960"
"334","Medtr3g009010"
"335","Medtr3g009250"
"336","Medtr3g010190"
"337","Medtr3g011420"
"338","Medtr3g011480"
"339","Medtr3g011660"
"340","Medtr3g012470"
"341","Medtr3g013450"
"342","Medtr3g014880"
"343","Medtr3g019390"
"344","Medtr3g021330"
"345","Medtr3g022260"
"346","Medtr3g023280"
"347","Medtr3g023700"
"348","Medtr3g025830"
"349","Medtr3g028010"
"350","Medtr3g028195"
"351","Medtr3g032110"
"352","Medtr3g033380"
"353","Medtr3g034100"
"354","Medtr3g034650"
"355","Medtr3g037110"
"356","Medtr3g037690"
"357","Medtr3g039810"
"358","Medtr3g041560"
"359","Medtr3g046640"
"360","Medtr3g048283"
"361","Medtr3g048300"
"362","Medtr3g049440"
"363","Medtr3g054010"
"364","Medtr3g055720"
"365","Medtr3g058000"
"366","Medtr3g058110"
"367","Medtr3g058710"
"368","Medtr3g058810"
"369","Medtr3g060570"
"370","Medtr3g061490"
"371","Medtr3g063210"
"372","Medtr3g063340"
"373","Medtr3g063940"
"374","Medtr3g064070"
"375","Medtr3g064210"
"376","Medtr3g066070"
"377","Medtr3g067437"
"378","Medtr3g069190"
"379","Medtr3g069210"
"380","Medtr3g070140"
"381","Medtr3g070620"
"382","Medtr3g071990"
"383","Medtr3g072570"
"384","Medtr3g073390"
"385","Medtr3g073960"
"386","Medtr3g074390"
"387","Medtr3g076650"
"388","Medtr3g077120"
"389","Medtr3g077500"
"390","Medtr3g078250"
"391","Medtr3g078590"
"392","Medtr3g079380"
"393","Medtr3g079680"
"394","Medtr3g080000"
"395","Medtr3g080025"
"396","Medtr3g080790"
"397","Medtr3g081430"
"398","Medtr3g082250"
"399","Medtr3g082725"
"400","Medtr3g084250"
"401","Medtr3g084850"
