"","x"
"1","Medtr0001s0430"
"2","Medtr0001s0570"
"3","Medtr0002s0020"
"4","Medtr0003s0170"
"5","Medtr0004s0130"
"6","Medtr0004s0240"
"7","Medtr0006s0140"
"8","Medtr0008s0280"
"9","Medtr0010s0050"
"10","Medtr0016s0170"
"11","Medtr0018s0090"
"12","Medtr0018s0240"
"13","Medtr0019s0100"
"14","Medtr0019s0120"
"15","Medtr0036s0260"
"16","Medtr0050s0240"
"17","Medtr0055s0120"
"18","Medtr0056s0160"
"19","Medtr0067s0100"
"20","Medtr0071s0100"
"21","Medtr0092s0060"
"22","Medtr0123s0070"
"23","Medtr0126s0080"
"24","Medtr0135s0080"
"25","Medtr0147s0060"
"26","Medtr0153s0060"
"27","Medtr0153s0070"
"28","Medtr0155s0010"
"29","Medtr0189s0040"
"30","Medtr0194s0030"
"31","Medtr0212s0030"
"32","Medtr0246s0020"
"33","Medtr0251s0050"
"34","Medtr0252s0060"
"35","Medtr0273s0030"
"36","Medtr0331s0010"
"37","Medtr0365s0010"
"38","Medtr0380s0040"
"39","Medtr0419s0020"
"40","Medtr0449s0030"
"41","Medtr0460s0010"
"42","Medtr0536s0020"
"43","Medtr0652s0010"
"44","Medtr0768s0010"
"45","Medtr1160s0010"
"46","Medtr1291s0010"
"47","Medtr1526s0010"
"48","Medtr1840s0010"
"49","Medtr1995s0010"
"50","Medtr1g006695"
"51","Medtr1g007230"
"52","Medtr1g007840"
"53","Medtr1g007905"
"54","Medtr1g010080"
"55","Medtr1g010090"
"56","Medtr1g010100"
"57","Medtr1g010130"
"58","Medtr1g010170"
"59","Medtr1g011380"
"60","Medtr1g012600"
"61","Medtr1g012620"
"62","Medtr1g012740"
"63","Medtr1g013450"
"64","Medtr1g014210"
"65","Medtr1g014300"
"66","Medtr1g014420"
"67","Medtr1g015230"
"68","Medtr1g015390"
"69","Medtr1g015450"
"70","Medtr1g015490"
"71","Medtr1g015650"
"72","Medtr1g015730"
"73","Medtr1g016010"
"74","Medtr1g016440"
"75","Medtr1g016780"
"76","Medtr1g016830"
"77","Medtr1g017900"
"78","Medtr1g018180"
"79","Medtr1g018320"
"80","Medtr1g018760"
"81","Medtr1g018840"
"82","Medtr1g019110"
"83","Medtr1g019530"
"84","Medtr1g019620"
"85","Medtr1g019940"
"86","Medtr1g020020"
"87","Medtr1g020060"
"88","Medtr1g020090"
"89","Medtr1g021040"
"90","Medtr1g021110"
"91","Medtr1g021470"
"92","Medtr1g021730"
"93","Medtr1g021740"
"94","Medtr1g021820"
"95","Medtr1g021855"
"96","Medtr1g021875"
"97","Medtr1g022040"
"98","Medtr1g022190"
"99","Medtr1g022250"
"100","Medtr1g022300"
"101","Medtr1g022395"
"102","Medtr1g022485"
"103","Medtr1g022505"
"104","Medtr1g023050"
"105","Medtr1g023210"
"106","Medtr1g023230"
"107","Medtr1g023730"
"108","Medtr1g023810"
"109","Medtr1g023820"
"110","Medtr1g026072"
"111","Medtr1g026170"
"112","Medtr1g026340"
"113","Medtr1g026370"
"114","Medtr1g026650"
"115","Medtr1g026710"
"116","Medtr1g026790"
"117","Medtr1g026810"
"118","Medtr1g026910"
"119","Medtr1g026940"
"120","Medtr1g027830"
"121","Medtr1g028070"
"122","Medtr1g028150"
"123","Medtr1g029420"
"124","Medtr1g029500"
"125","Medtr1g030420"
"126","Medtr1g030820"
"127","Medtr1g031750"
"128","Medtr1g032010"
"129","Medtr1g032440"
"130","Medtr1g032730"
"131","Medtr1g033230"
"132","Medtr1g033450"
"133","Medtr1g034030"
"134","Medtr1g035260"
"135","Medtr1g036850"
"136","Medtr1g037630"
"137","Medtr1g037690"
"138","Medtr1g037730"
"139","Medtr1g040175"
"140","Medtr1g040545"
"141","Medtr1g040615"
"142","Medtr1g040625"
"143","Medtr1g041155"
"144","Medtr1g041535"
"145","Medtr1g041635"
"146","Medtr1g042260"
"147","Medtr1g042745"
"148","Medtr1g043170"
"149","Medtr1g043340"
"150","Medtr1g043400"
"151","Medtr1g044470"
"152","Medtr1g045663"
"153","Medtr1g045860"
"154","Medtr1g045930"
"155","Medtr1g046380"
"156","Medtr1g047400"
"157","Medtr1g047990"
"158","Medtr1g048080"
"159","Medtr1g050512"
"160","Medtr1g050670"
"161","Medtr1g051115"
"162","Medtr1g051205"
"163","Medtr1g051245"
"164","Medtr1g052175"
"165","Medtr1g052425"
"166","Medtr1g052510"
"167","Medtr1g052530"
"168","Medtr1g053175"
"169","Medtr1g054265"
"170","Medtr1g054365"
"171","Medtr1g054545"
"172","Medtr1g054605"
"173","Medtr1g054630"
"174","Medtr1g054835"
"175","Medtr1g056160"
"176","Medtr1g056810"
"177","Medtr1g057700"
"178","Medtr1g057790"
"179","Medtr1g059520"
"180","Medtr1g059580"
"181","Medtr1g059820"
"182","Medtr1g060990"
"183","Medtr1g061590"
"184","Medtr1g061600"
"185","Medtr1g061690"
"186","Medtr1g061730"
"187","Medtr1g061840"
"188","Medtr1g062250"
"189","Medtr1g063100"
"190","Medtr1g063870"
"191","Medtr1g063950"
"192","Medtr1g064040"
"193","Medtr1g066430"
"194","Medtr1g066760"
"195","Medtr1g066850"
"196","Medtr1g066940"
"197","Medtr1g067110"
"198","Medtr1g067180"
"199","Medtr1g067400"
"200","Medtr1g067480"
"201","Medtr1g069185"
"202","Medtr1g069355"
"203","Medtr1g069805"
"204","Medtr1g070455"
"205","Medtr1g070830"
"206","Medtr1g070940"
"207","Medtr1g071300"
"208","Medtr1g072320"
"209","Medtr1g072360"
"210","Medtr1g072650"
"211","Medtr1g073200"
"212","Medtr1g073390"
"213","Medtr1g073530"
"214","Medtr1g073630"
"215","Medtr1g073770"
"216","Medtr1g073790"
"217","Medtr1g074040"
"218","Medtr1g074190"
"219","Medtr1g074230"
"220","Medtr1g076190"
"221","Medtr1g076990"
"222","Medtr1g077420"
"223","Medtr1g077750"
"224","Medtr1g077870"
"225","Medtr1g078150"
"226","Medtr1g078490"
"227","Medtr1g079180"
"228","Medtr1g079340"
"229","Medtr1g079375"
"230","Medtr1g079410"
"231","Medtr1g079510"
"232","Medtr1g079800"
"233","Medtr1g079820"
"234","Medtr1g079870"
"235","Medtr1g080120"
"236","Medtr1g080410"
"237","Medtr1g080990"
"238","Medtr1g081780"
"239","Medtr1g081790"
"240","Medtr1g081950"
"241","Medtr1g082370"
"242","Medtr1g082650"
"243","Medtr1g083580"
"244","Medtr1g083780"
"245","Medtr1g084060"
"246","Medtr1g085140"
"247","Medtr1g085240"
"248","Medtr1g086790"
"249","Medtr1g087050"
"250","Medtr1g087200"
"251","Medtr1g088920"
"252","Medtr1g088925"
"253","Medtr1g089110"
"254","Medtr1g089310"
"255","Medtr1g090010"
"256","Medtr1g090280"
"257","Medtr1g090370"
"258","Medtr1g090540"
"259","Medtr1g090683"
"260","Medtr1g090720"
"261","Medtr1g091043"
"262","Medtr1g092420"
"263","Medtr1g092760"
"264","Medtr1g093730"
"265","Medtr1g094160"
"266","Medtr1g094220"
"267","Medtr1g094620"
"268","Medtr1g094830"
"269","Medtr1g095480"
"270","Medtr1g095950"
"271","Medtr1g096230"
"272","Medtr1g096260"
"273","Medtr1g096780"
"274","Medtr1g097280"
"275","Medtr1g097380"
"276","Medtr1g098250"
"277","Medtr1g098360"
"278","Medtr1g098790"
"279","Medtr1g098820"
"280","Medtr1g099010"
"281","Medtr1g099030"
"282","Medtr1g100090"
"283","Medtr1g100395"
"284","Medtr1g100643"
"285","Medtr1g100733"
"286","Medtr1g100767"
"287","Medtr1g100777"
"288","Medtr1g100820"
"289","Medtr1g100890"
"290","Medtr1g101630"
"291","Medtr1g101680"
"292","Medtr1g102335"
"293","Medtr1g102740"
"294","Medtr1g102880"
"295","Medtr1g103550"
"296","Medtr1g103710"
"297","Medtr1g103900"
"298","Medtr1g104820"
"299","Medtr1g104890"
"300","Medtr1g105010"
"301","Medtr1g105555"
"302","Medtr1g105730"
"303","Medtr1g105800"
"304","Medtr1g105930"
"305","Medtr1g106065"
"306","Medtr1g106430"
"307","Medtr1g106730"
"308","Medtr1g106785"
"309","Medtr1g106910"
"310","Medtr1g107425"
"311","Medtr1g108690"
"312","Medtr1g108700"
"313","Medtr1g109390"
"314","Medtr1g109470"
"315","Medtr1g109590"
"316","Medtr1g110510"
"317","Medtr1g111310"
"318","Medtr1g111350"
"319","Medtr1g111390"
"320","Medtr1g111530"
"321","Medtr1g111570"
"322","Medtr1g111580"
"323","Medtr1g112330"
"324","Medtr1g112340"
"325","Medtr1g112850"
"326","Medtr1g112950"
"327","Medtr1g114570"
"328","Medtr1g114620"
"329","Medtr1g115270"
"330","Medtr1g115340"
"331","Medtr1g115355"
"332","Medtr1g115400"
"333","Medtr1g116170"
"334","Medtr1g116780"
"335","Medtr1g476030"
"336","Medtr1g484830"
"337","Medtr2g005245"
"338","Medtr2g005940"
"339","Medtr2g006100"
"340","Medtr2g006770"
"341","Medtr2g007330"
"342","Medtr2g007530"
"343","Medtr2g007810"
"344","Medtr2g008120"
"345","Medtr2g008330"
"346","Medtr2g008810"
"347","Medtr2g009040"
"348","Medtr2g009070"
"349","Medtr2g009520"
"350","Medtr2g010460"
"351","Medtr2g010730"
"352","Medtr2g011335"
"353","Medtr2g011660"
"354","Medtr2g012850"
"355","Medtr2g013080"
"356","Medtr2g013460"
"357","Medtr2g013500"
"358","Medtr2g013720"
"359","Medtr2g013780"
"360","Medtr2g014240"
"361","Medtr2g014260"
"362","Medtr2g014340"
"363","Medtr2g014430"
"364","Medtr2g015040"
"365","Medtr2g015310"
"366","Medtr2g015560"
"367","Medtr2g016140"
"368","Medtr2g016150"
"369","Medtr2g016230"
"370","Medtr2g016640"
"371","Medtr2g016650"
"372","Medtr2g016800"
"373","Medtr2g017450"
"374","Medtr2g017520"
"375","Medtr2g017530"
"376","Medtr2g017540"
"377","Medtr2g017550"
"378","Medtr2g017805"
"379","Medtr2g018090"
"380","Medtr2g018350"
"381","Medtr2g018780"
"382","Medtr2g018860"
"383","Medtr2g020000"
"384","Medtr2g020040"
"385","Medtr2g020280"
"386","Medtr2g020440"
"387","Medtr2g020675"
"388","Medtr2g021400"
"389","Medtr2g021580"
"390","Medtr2g021630"
"391","Medtr2g021800"
"392","Medtr2g021820"
"393","Medtr2g021910"
"394","Medtr2g022060"
"395","Medtr2g022210"
"396","Medtr2g022880"
"397","Medtr2g022950"
"398","Medtr2g023120"
"399","Medtr2g025050"
"400","Medtr2g025470"
"401","Medtr2g025690"
"402","Medtr2g026695"
"403","Medtr2g027130"
"404","Medtr2g027530"
"405","Medtr2g028340"
"406","Medtr2g028600"
"407","Medtr2g029125"
"408","Medtr2g029815"
"409","Medtr2g029860"
"410","Medtr2g030130"
"411","Medtr2g030170"
"412","Medtr2g030430"
"413","Medtr2g031350"
"414","Medtr2g031590"
"415","Medtr2g031770"
"416","Medtr2g032870"
"417","Medtr2g034140"
"418","Medtr2g034350"
"419","Medtr2g034370"
"420","Medtr2g034470"
"421","Medtr2g034880"
"422","Medtr2g035440"
"423","Medtr2g035460"
"424","Medtr2g035840"
"425","Medtr2g036380"
"426","Medtr2g036900"
"427","Medtr2g037760"
"428","Medtr2g037970"
"429","Medtr2g038220"
"430","Medtr2g038310"
"431","Medtr2g039320"
"432","Medtr2g040510"
"433","Medtr2g040830"
"434","Medtr2g041070"
"435","Medtr2g041620"
"436","Medtr2g041700"
"437","Medtr2g042330"
"438","Medtr2g043890"
"439","Medtr2g044910"
"440","Medtr2g044960"
"441","Medtr2g045140"
"442","Medtr2g045420"
"443","Medtr2g046020"
