"","x"
"1","Medtr0093s0090"
"2","Medtr0095s0120"
"3","Medtr1g042735"
"4","Medtr1g081620"
"5","Medtr1g094820"
"6","Medtr1g102770"
"7","Medtr1g105900"
"8","Medtr1g110130"
"9","Medtr1g115145"
"10","Medtr1g485020"
"11","Medtr2g005075"
"12","Medtr2g006730"
"13","Medtr2g010320"
"14","Medtr2g027650"
"15","Medtr2g082490"
"16","Medtr2g084280"
"17","Medtr2g105570"
"18","Medtr3g021160"
"19","Medtr3g034100"
"20","Medtr3g034990"
"21","Medtr3g056360"
"22","Medtr3g061110"
"23","Medtr3g063410"
"24","Medtr3g085130"
"25","Medtr3g096110"
"26","Medtr3g451690"
"27","Medtr3g463050"
"28","Medtr4g006140"
"29","Medtr4g015990"
"30","Medtr4g057675"
"31","Medtr4g061340"
"32","Medtr4g070490"
"33","Medtr4g077570"
"34","Medtr4g078750"
"35","Medtr4g086340"
"36","Medtr4g097470"
"37","Medtr4g105200"
"38","Medtr5g018520"
"39","Medtr5g021440"
"40","Medtr5g024500"
"41","Medtr5g025460"
"42","Medtr5g026620"
"43","Medtr5g045430"
"44","Medtr5g085980"
"45","Medtr5g087820"
"46","Medtr6g011380"
"47","Medtr6g013380"
"48","Medtr6g013440"
"49","Medtr6g013470"
"50","Medtr6g034200"
"51","Medtr6g048050"
"52","Medtr6g071317"
"53","Medtr6g072027"
"54","Medtr6g079590"
"55","Medtr7g034425"
"56","Medtr7g089600"
"57","Medtr7g096780"
"58","Medtr7g117930"
"59","Medtr8g012705"
"60","Medtr8g012805"
"61","Medtr8g015040"
"62","Medtr8g056060"
"63","Medtr8g070020"
"64","Medtr8g086270"
"65","Medtr8g445560"
