"","x"
"1","Medtr0002s0930"
"2","Medtr0004s0510"
"3","Medtr0005s0210"
"4","Medtr0006s0110"
"5","Medtr0009s0080"
"6","Medtr0019s0310"
"7","Medtr0024s0080"
"8","Medtr0025s0110"
"9","Medtr0031s0130"
"10","Medtr0032s0080"
"11","Medtr0034s0170"
"12","Medtr0035s0150"
"13","Medtr0038s0060"
"14","Medtr0041s0100"
"15","Medtr0047s0160"
"16","Medtr0048s0110"
"17","Medtr0052s0170"
"18","Medtr0055s0130"
"19","Medtr0064s0170"
"20","Medtr0091s0080"
"21","Medtr0091s0090"
"22","Medtr0110s0030"
"23","Medtr0147s0020"
"24","Medtr0181s0020"
"25","Medtr0200s0050"
"26","Medtr0211s0080"
"27","Medtr0236s0050"
"28","Medtr0249s0070"
"29","Medtr0268s0070"
"30","Medtr0271s0050"
"31","Medtr0277s0010"
"32","Medtr0277s0020"
"33","Medtr0286s0040"
"34","Medtr0308s0020"
"35","Medtr0339s0030"
"36","Medtr0428s0040"
"37","Medtr0530s0020"
"38","Medtr0603s0010"
"39","Medtr0693s0030"
"40","Medtr0804s0020"
"41","Medtr0927s0010"
"42","Medtr1514s0010"
"43","Medtr1g007020"
"44","Medtr1g007950"
"45","Medtr1g008500"
"46","Medtr1g009450"
"47","Medtr1g009600"
"48","Medtr1g009740"
"49","Medtr1g009860"
"50","Medtr1g011740"
"51","Medtr1g012370"
"52","Medtr1g012490"
"53","Medtr1g012550"
"54","Medtr1g013190"
"55","Medtr1g014690"
"56","Medtr1g014730"
"57","Medtr1g015040"
"58","Medtr1g015165"
"59","Medtr1g016920"
"60","Medtr1g017300"
"61","Medtr1g017920"
"62","Medtr1g018700"
"63","Medtr1g018970"
"64","Medtr1g019240"
"65","Medtr1g019265"
"66","Medtr1g019370"
"67","Medtr1g019750"
"68","Medtr1g021100"
"69","Medtr1g021638"
"70","Medtr1g021915"
"71","Medtr1g021945"
"72","Medtr1g021970"
"73","Medtr1g022455"
"74","Medtr1g022990"
"75","Medtr1g023800"
"76","Medtr1g023830"
"77","Medtr1g023920"
"78","Medtr1g024065"
"79","Medtr1g025560"
"80","Medtr1g026880"
"81","Medtr1g026970"
"82","Medtr1g027540"
"83","Medtr1g027870"
"84","Medtr1g028160"
"85","Medtr1g028700"
"86","Medtr1g029010"
"87","Medtr1g029190"
"88","Medtr1g030060"
"89","Medtr1g031060"
"90","Medtr1g031110"
"91","Medtr1g031210"
"92","Medtr1g031230"
"93","Medtr1g031640"
"94","Medtr1g031650"
"95","Medtr1g033730"
"96","Medtr1g033740"
"97","Medtr1g035570"
"98","Medtr1g035690"
"99","Medtr1g036520"
"100","Medtr1g037010"
"101","Medtr1g037300"
"102","Medtr1g037650"
"103","Medtr1g039080"
"104","Medtr1g040555"
"105","Medtr1g040725"
"106","Medtr1g040735"
"107","Medtr1g041810"
"108","Medtr1g041815"
"109","Medtr1g043050"
"110","Medtr1g044190"
"111","Medtr1g045790"
"112","Medtr1g046480"
"113","Medtr1g046640"
"114","Medtr1g047730"
"115","Medtr1g048130"
"116","Medtr1g048610"
"117","Medtr1g048710"
"118","Medtr1g048950"
"119","Medtr1g049210"
"120","Medtr1g050428"
"121","Medtr1g050475"
"122","Medtr1g050550"
"123","Medtr1g050765"
"124","Medtr1g051365"
"125","Medtr1g052720"
"126","Medtr1g053320"
"127","Medtr1g053625"
"128","Medtr1g054175"
"129","Medtr1g057150"
"130","Medtr1g057640"
"131","Medtr1g057810"
"132","Medtr1g057830"
"133","Medtr1g058120"
"134","Medtr1g058190"
"135","Medtr1g058350"
"136","Medtr1g058490"
"137","Medtr1g059990"
"138","Medtr1g060190"
"139","Medtr1g060470"
"140","Medtr1g060520"
"141","Medtr1g061550"
"142","Medtr1g062630"
"143","Medtr1g064160"
"144","Medtr1g064680"
"145","Medtr1g066620"
"146","Medtr1g066900"
"147","Medtr1g066950"
"148","Medtr1g067210"
"149","Medtr1g068810"
"150","Medtr1g068835"
"151","Medtr1g068880"
"152","Medtr1g069065"
"153","Medtr1g069465"
"154","Medtr1g069680"
"155","Medtr1g069735"
"156","Medtr1g069865"
"157","Medtr1g070010"
"158","Medtr1g070315"
"159","Medtr1g070900"
"160","Medtr1g071213"
"161","Medtr1g071450"
"162","Medtr1g071880"
"163","Medtr1g072540"
"164","Medtr1g072545"
"165","Medtr1g072850"
"166","Medtr1g074120"
"167","Medtr1g075320"
"168","Medtr1g075410"
"169","Medtr1g075660"
"170","Medtr1g075700"
"171","Medtr1g076370"
"172","Medtr1g077140"
"173","Medtr1g077540"
"174","Medtr1g077890"
"175","Medtr1g078090"
"176","Medtr1g079250"
"177","Medtr1g080110"
"178","Medtr1g080510"
"179","Medtr1g082430"
"180","Medtr1g082515"
"181","Medtr1g083170"
"182","Medtr1g083540"
"183","Medtr1g083870"
"184","Medtr1g083990"
"185","Medtr1g084010"
