"","x"
"1","Medtr0002s0930"
"2","Medtr0005s0210"
"3","Medtr0006s0230"
"4","Medtr0014s0250"
"5","Medtr0019s0010"
"6","Medtr0019s0310"
"7","Medtr0024s0080"
"8","Medtr0031s0130"
"9","Medtr0040s0110"
"10","Medtr0041s0100"
"11","Medtr0047s0160"
"12","Medtr0049s0080"
"13","Medtr0050s0180"
"14","Medtr0055s0130"
"15","Medtr0057s0100"
"16","Medtr0064s0170"
"17","Medtr0082s0090"
"18","Medtr0082s0290"
"19","Medtr0110s0040"
"20","Medtr0133s0020"
"21","Medtr0133s0030"
"22","Medtr0147s0020"
"23","Medtr0148s0080"
"24","Medtr0148s0110"
"25","Medtr0157s0070"
"26","Medtr0172s0030"
"27","Medtr0180s0080"
"28","Medtr0181s0020"
"29","Medtr0211s0080"
"30","Medtr0230s0010"
"31","Medtr0268s0020"
"32","Medtr0271s0010"
"33","Medtr0275s0010"
"34","Medtr0308s0060"
"35","Medtr0392s0020"
"36","Medtr0393s0050"
"37","Medtr0449s0030"
"38","Medtr0484s0010"
"39","Medtr0603s0010"
"40","Medtr0693s0030"
"41","Medtr0804s0020"
"42","Medtr0874s0010"
"43","Medtr1160s0010"
"44","Medtr1514s0010"
"45","Medtr1g006990"
"46","Medtr1g007020"
"47","Medtr1g008300"
"48","Medtr1g008500"
"49","Medtr1g009310"
"50","Medtr1g009450"
"51","Medtr1g009740"
"52","Medtr1g009760"
"53","Medtr1g010030"
"54","Medtr1g013190"
"55","Medtr1g013430"
"56","Medtr1g015410"
"57","Medtr1g016280"
"58","Medtr1g016790"
"59","Medtr1g018700"
"60","Medtr1g019265"
"61","Medtr1g019650"
"62","Medtr1g021990"
"63","Medtr1g022075"
"64","Medtr1g022375"
"65","Medtr1g022990"
"66","Medtr1g023830"
"67","Medtr1g024065"
"68","Medtr1g024840"
"69","Medtr1g025370"
"70","Medtr1g025560"
"71","Medtr1g027870"
"72","Medtr1g027950"
"73","Medtr1g028350"
"74","Medtr1g029010"
"75","Medtr1g030060"
"76","Medtr1g031060"
"77","Medtr1g031580"
"78","Medtr1g033310"
"79","Medtr1g033730"
"80","Medtr1g035690"
"81","Medtr1g035770"
"82","Medtr1g040215"
"83","Medtr1g041805"
"84","Medtr1g041810"
"85","Medtr1g041815"
"86","Medtr1g043770"
"87","Medtr1g044190"
"88","Medtr1g045140"
"89","Medtr1g045860"
"90","Medtr1g046640"
"91","Medtr1g048130"
"92","Medtr1g048950"
"93","Medtr1g050518"
"94","Medtr1g050525"
"95","Medtr1g050530"
"96","Medtr1g051315"
"97","Medtr1g053625"
"98","Medtr1g054575"
"99","Medtr1g055425"
"100","Medtr1g055435"
"101","Medtr1g058190"
"102","Medtr1g058380"
"103","Medtr1g060190"
"104","Medtr1g064680"
"105","Medtr1g066630"
"106","Medtr1g066900"
"107","Medtr1g067150"
"108","Medtr1g067210"
"109","Medtr1g068835"
"110","Medtr1g069145"
"111","Medtr1g069235"
"112","Medtr1g069865"
"113","Medtr1g071213"
"114","Medtr1g071380"
"115","Medtr1g071470"
"116","Medtr1g071880"
"117","Medtr1g073380"
"118","Medtr1g074170"
"119","Medtr1g075650"
"120","Medtr1g076470"
"121","Medtr1g077880"
"122","Medtr1g078040"
"123","Medtr1g078390"
"124","Medtr1g079370"
"125","Medtr1g079540"
"126","Medtr1g080210"
"127","Medtr1g080340"
"128","Medtr1g082515"
"129","Medtr1g084200"
"130","Medtr1g085140"
"131","Medtr1g085550"
"132","Medtr1g086670"
"133","Medtr1g087400"
"134","Medtr1g087760"
"135","Medtr1g088230"
"136","Medtr1g088860"
"137","Medtr1g088990"
"138","Medtr1g090120"
"139","Medtr1g090430"
"140","Medtr1g090820"
"141","Medtr1g092760"
"142","Medtr1g092990"
"143","Medtr1g093095"
"144","Medtr1g093280"
"145","Medtr1g093780"
"146","Medtr1g093980"
"147","Medtr1g094035"
"148","Medtr1g095450"
"149","Medtr1g096670"
"150","Medtr1g097220"
"151","Medtr1g097290"
"152","Medtr1g097430"
"153","Medtr1g099390"
"154","Medtr1g100597"
"155","Medtr1g100783"
"156","Medtr1g101970"
"157","Medtr1g101985"
"158","Medtr1g102940"
"159","Medtr1g103570"
"160","Medtr1g103700"
"161","Medtr1g104513"
"162","Medtr1g104800"
"163","Medtr1g105150"
"164","Medtr1g106420"
"165","Medtr1g107370"
"166","Medtr1g110910"
"167","Medtr1g111300"
"168","Medtr1g111670"
"169","Medtr1g112050"
"170","Medtr1g112500"
"171","Medtr1g114570"
"172","Medtr1g115330"
"173","Medtr1g115535"
"174","Medtr1g115830"
"175","Medtr1g475240"
"176","Medtr1g492600"
"177","Medtr1g492790"
"178","Medtr2g006270"
"179","Medtr2g007460"
"180","Medtr2g007640"
"181","Medtr2g007840"
"182","Medtr2g008350"
"183","Medtr2g009340"
"184","Medtr2g010330"
"185","Medtr2g010800"
"186","Medtr2g010940"
"187","Medtr2g011450"
"188","Medtr2g011630"
"189","Medtr2g012520"
"190","Medtr2g013370"
"191","Medtr2g013500"
"192","Medtr2g014550"
"193","Medtr2g015270"
"194","Medtr2g016270"
"195","Medtr2g017610"
"196","Medtr2g017700"
"197","Medtr2g018350"
"198","Medtr2g019160"
"199","Medtr2g019190"
"200","Medtr2g019760"
"201","Medtr2g020240"
"202","Medtr2g021255"
"203","Medtr2g022730"
"204","Medtr2g022980"
"205","Medtr2g023340"
"206","Medtr2g024260"
"207","Medtr2g024300"
"208","Medtr2g025040"
"209","Medtr2g025170"
"210","Medtr2g026110"
"211","Medtr2g026530"
"212","Medtr2g026595"
"213","Medtr2g029240"
"214","Medtr2g029830"
"215","Medtr2g030200"
"216","Medtr2g030210"
"217","Medtr2g030845"
"218","Medtr2g031410"
"219","Medtr2g031710"
"220","Medtr2g032070"
"221","Medtr2g033370"
"222","Medtr2g034280"
"223","Medtr2g034440"
"224","Medtr2g035050"
"225","Medtr2g037420"
"226","Medtr2g038270"
"227","Medtr2g039320"
"228","Medtr2g040220"
"229","Medtr2g040740"
"230","Medtr2g041280"
"231","Medtr2g041450"
"232","Medtr2g042720"
"233","Medtr2g044100"
"234","Medtr2g044880"
"235","Medtr2g045060"
"236","Medtr2g045780"
"237","Medtr2g048210"
"238","Medtr2g049355"
"239","Medtr2g049710"
"240","Medtr2g055290"
"241","Medtr2g058330"
"242","Medtr2g059195"
"243","Medtr2g061460"
