"","x"
"1","Medtr0004s0650"
"2","Medtr0007s0220"
"3","Medtr0011s0320"
"4","Medtr0022s0430"
"5","Medtr0025s0060"
"6","Medtr0036s0250"
"7","Medtr0067s0070"
"8","Medtr0133s0020"
"9","Medtr0147s0030"
"10","Medtr0268s0020"
"11","Medtr0279s0020"
"12","Medtr0340s0020"
"13","Medtr0421s0010"
"14","Medtr0458s0010"
"15","Medtr0511s0020"
"16","Medtr1g007740"
"17","Medtr1g007860"
"18","Medtr1g008610"
"19","Medtr1g008620"
"20","Medtr1g008675"
"21","Medtr1g009660"
"22","Medtr1g012840"
"23","Medtr1g012870"
"24","Medtr1g015020"
"25","Medtr1g015120"
"26","Medtr1g016210"
"27","Medtr1g017170"
"28","Medtr1g018090"
"29","Medtr1g018350"
"30","Medtr1g018420"
"31","Medtr1g019285"
"32","Medtr1g019490"
"33","Medtr1g021070"
"34","Medtr1g021835"
"35","Medtr1g022005"
"36","Medtr1g022480"
"37","Medtr1g022950"
"38","Medtr1g023050"
"39","Medtr1g023510"
"40","Medtr1g025250"
"41","Medtr1g027710"
"42","Medtr1g027990"
"43","Medtr1g029140"
"44","Medtr1g029460"
"45","Medtr1g029710"
"46","Medtr1g030630"
"47","Medtr1g031780"
"48","Medtr1g033080"
"49","Medtr1g034480"
"50","Medtr1g037130"
"51","Medtr1g037310"
"52","Medtr1g040100"
"53","Medtr1g040315"
"54","Medtr1g040555"
"55","Medtr1g041245"
"56","Medtr1g041275"
"57","Medtr1g043840"
"58","Medtr1g044155"
"59","Medtr1g045120"
"60","Medtr1g052115"
"61","Medtr1g052170"
"62","Medtr1g053480"
"63","Medtr1g053790"
"64","Medtr1g053900"
"65","Medtr1g054175"
"66","Medtr1g054340"
"67","Medtr1g054370"
"68","Medtr1g054575"
"69","Medtr1g054605"
"70","Medtr1g054630"
"71","Medtr1g054880"
"72","Medtr1g055255"
"73","Medtr1g055270"
"74","Medtr1g057400"
"75","Medtr1g057700"
"76","Medtr1g057940"
"77","Medtr1g058390"
"78","Medtr1g059770"
"79","Medtr1g059780"
"80","Medtr1g059810"
"81","Medtr1g060490"
"82","Medtr1g061220"
"83","Medtr1g061250"
"84","Medtr1g062740"
"85","Medtr1g066390"
"86","Medtr1g066940"
"87","Medtr1g068830"
"88","Medtr1g069305"
"89","Medtr1g069325"
"90","Medtr1g069405"
"91","Medtr1g069410"
"92","Medtr1g069450"
"93","Medtr1g069630"
"94","Medtr1g069650"
"95","Medtr1g069935"
"96","Medtr1g070080"
"97","Medtr1g070160"
"98","Medtr1g070345"
"99","Medtr1g072570"
"100","Medtr1g072580"
